playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6N0O3KZi22V9miAwpBwALf,258773,2,1,4,0.000452,0.378,0.896,0,0.194,-4.066,0.0407,0.469,174.302,spotify:track:5qqabIl2vWzo9ApSC317sa
spotify:playlist:6N0O3KZi22V9miAwpBwALf,258467,10,0,4,0.0000559,0.404,0.72,0.836,0.0466,-9.18,0.0623,0.475,121.864,spotify:track:6GtX0jaNL8IjVQfrDBx81z
spotify:playlist:6N0O3KZi22V9miAwpBwALf,240693,8,1,4,0.0655,0.647,0.514,0,0.398,-10.05,0.0593,0.387,79.974,spotify:track:7lQWRAjyhTpCWFC0jmclT4
spotify:playlist:6N0O3KZi22V9miAwpBwALf,203133,1,1,4,0.0799,0.498,0.801,0,0.051,-5.919,0.254,0.55,92.126,spotify:track:4WamMWxFi6ts3xkIhivF5c
spotify:playlist:6N0O3KZi22V9miAwpBwALf,218733,3,1,4,0.652,0.461,0.129,0,0.07,-14.189,0.0565,0.246,129.19,spotify:track:3CMVjlbvNJMHDfYPX7xCpi
spotify:playlist:6N0O3KZi22V9miAwpBwALf,143400,2,1,4,0.00771,0.363,0.984,0.0000449,0.0793,-4.71,0.107,0.346,149.819,spotify:track:3y6aldPuiRmCzamj6pivBM
spotify:playlist:6N0O3KZi22V9miAwpBwALf,143560,0,1,4,0.0000865,0.454,0.93,0.054,0.0843,-5.986,0.0472,0.932,169.648,spotify:track:2WheuVAKcZsQOZREbYtMvm
spotify:playlist:6N0O3KZi22V9miAwpBwALf,237080,7,0,3,0.378,0.336,0.47,0.00332,0.0953,-10.541,0.0319,0.163,154.649,spotify:track:3OwtuzRo8mc7lgsBau9MWk
spotify:playlist:6N0O3KZi22V9miAwpBwALf,144933,0,1,4,0.00853,0.612,0.86,0.00000438,0.191,-8.183,0.178,0.648,160.13,spotify:track:22rKejpnd5nNs80PINE0f8
spotify:playlist:6N0O3KZi22V9miAwpBwALf,208400,0,1,4,0.559,0.64,0.948,0,0.212,-7.819,0.084,0.618,129.978,spotify:track:7kOMpFK3lFZbB3e06XccF3
spotify:playlist:6N0O3KZi22V9miAwpBwALf,134200,6,1,4,0.00468,0.499,0.873,0,0.165,-3.902,0.0386,0.864,142.726,spotify:track:2JdzB67NvIa90K4gEZPLeX
spotify:playlist:6N0O3KZi22V9miAwpBwALf,112507,0,1,4,0.673,0.549,0.331,0,0.188,-10.612,0.15,0.789,141.103,spotify:track:4XnfQNQHoHasd6mcQNwZ8s
spotify:playlist:6N0O3KZi22V9miAwpBwALf,303320,0,1,4,0.0665,0.327,0.982,0.0000479,0.491,-3.038,0.0937,0.1,136.96,spotify:track:0awZMpokrVSdvtYe1MdcWM
spotify:playlist:6N0O3KZi22V9miAwpBwALf,275493,2,1,4,0.0297,0.492,0.845,0.00121,0.209,-5.686,0.0442,0.495,86.988,spotify:track:4xqw8JSmfNdHLCuT23pHiv
spotify:playlist:6N0O3KZi22V9miAwpBwALf,270133,5,1,4,0.0000781,0.481,0.899,0.00775,0.61,-4.571,0.0442,0.363,126.381,spotify:track:2nFrcLeLcshDMc9HOTHGI9
spotify:playlist:6N0O3KZi22V9miAwpBwALf,350773,2,1,4,0.174,0.397,0.581,0.000864,0.0702,-9.144,0.068,0.615,163.691,spotify:track:4DagGvTxTMtd8ZQfR7iF8H
spotify:playlist:6N0O3KZi22V9miAwpBwALf,163053,4,0,4,0.000123,0.426,0.919,0.00216,0.168,-5.476,0.052,0.731,150.713,spotify:track:1coo2jAGqY2j9htPZJyZEU
spotify:playlist:6N0O3KZi22V9miAwpBwALf,193773,7,1,4,0.077,0.639,0.58,0.0000109,0.313,-9.402,0.0285,0.663,90.732,spotify:track:2wbOO38fVqZj0Hz2nRe0Dz
spotify:playlist:6N0O3KZi22V9miAwpBwALf,245707,7,1,4,0.00968,0.617,0.838,0,0.105,-8.577,0.0498,0.686,134.639,spotify:track:5fxfwjQ1OmbnkOlg39HsSO
spotify:playlist:6N0O3KZi22V9miAwpBwALf,248640,0,1,4,0.00565,0.439,0.709,0.00152,0.131,-3.545,0.026,0.319,81.331,spotify:track:3iHvXVAXLpoGMWnDhpFspL
spotify:playlist:6N0O3KZi22V9miAwpBwALf,276493,10,0,4,0.00499,0.552,0.613,0.00213,0.339,-7.915,0.0271,0.444,95.053,spotify:track:7vsKJujwwQ3W91tGIBp1wZ
spotify:playlist:6N0O3KZi22V9miAwpBwALf,324500,11,1,4,0.263,0.391,0.427,0.00000862,0.174,-9.271,0.0438,0.45,93.192,spotify:track:5vVmnv4EN3X2VBa5Fo3UFM
spotify:playlist:6N0O3KZi22V9miAwpBwALf,340467,4,1,4,0.168,0.202,0.441,0.774,0.342,-10.495,0.0284,0.176,99.779,spotify:track:3m5MLdIz1jmbDjbIkgHOt3
spotify:playlist:6N0O3KZi22V9miAwpBwALf,210707,4,1,4,0.00733,0.404,0.767,0.000892,0.142,-7.722,0.0541,0.275,139.545,spotify:track:5bylaCp22328sFwlzLNC0n
spotify:playlist:6N0O3KZi22V9miAwpBwALf,216227,2,1,4,0.00126,0.483,0.98,0.0322,0.227,-6.746,0.0449,0.607,160.017,spotify:track:7EvpxFBQzgGL0LEXaZBdyd
spotify:playlist:6N0O3KZi22V9miAwpBwALf,310800,9,1,4,0.0301,0.527,0.856,0.0154,0.152,-7.952,0.0369,0.586,120.929,spotify:track:5hZFZLSaCLYemTX7aHoQYS
spotify:playlist:6N0O3KZi22V9miAwpBwALf,207000,9,1,4,0.000967,0.624,0.586,0.058,0.0664,-8.271,0.041,0.889,115.932,spotify:track:7Mh6yMRAIXYHKa7o19k6X6
spotify:playlist:6N0O3KZi22V9miAwpBwALf,285067,5,1,4,0.0446,0.639,0.839,0.00000374,0.468,-4.703,0.0634,0.603,101.447,spotify:track:41DpvNasaZdQzQqQYntd0o
spotify:playlist:6N0O3KZi22V9miAwpBwALf,294240,9,0,4,0.0259,0.686,0.779,0.00759,0.0725,-7.386,0.0306,0.627,97.948,spotify:track:0cLH7BXqfm0RqnjueCPLfW
spotify:playlist:6N0O3KZi22V9miAwpBwALf,361107,6,0,4,0.2,0.601,0.48,0.0955,0.0297,-11.41,0.0732,0.802,188.214,spotify:track:4QXhRjZacZ1gZUeL7Ukktw
spotify:playlist:6N0O3KZi22V9miAwpBwALf,144333,9,1,4,0.138,0.646,0.962,0,0.471,-4.862,0.0536,0.961,164.79,spotify:track:41kg2RvdwBuIv0OPpvBS4v
spotify:playlist:6N0O3KZi22V9miAwpBwALf,206467,5,1,4,0.0175,0.605,0.923,0,0.83,-4.602,0.0459,0.951,126.624,spotify:track:7DVr6Az7HukAZeK7v3cGZx
spotify:playlist:6N0O3KZi22V9miAwpBwALf,278133,0,1,4,0.000316,0.48,0.848,0.00523,0.152,-4.44,0.0455,0.354,134.227,spotify:track:5l2DXYLyBVZWhdpgqa3a9k
spotify:playlist:6N0O3KZi22V9miAwpBwALf,231733,6,1,4,0.00228,0.411,0.826,0.0042,0.357,-7.285,0.0453,0.0866,90.67,spotify:track:7ndelVxF4Y8K6xg8WXUVMV
spotify:playlist:6N0O3KZi22V9miAwpBwALf,291800,7,1,4,0.063,0.133,0.793,0.411,0.123,-7.537,0.0683,0.134,187.827,spotify:track:3ZzJkuppQw26ZciijHwK3W
spotify:playlist:6N0O3KZi22V9miAwpBwALf,339893,9,1,4,0.00673,0.443,0.813,0.0177,0.0983,-9.066,0.0819,0.735,169.969,spotify:track:52QqxUwMHSmeDZlZBABefY
spotify:playlist:6N0O3KZi22V9miAwpBwALf,233360,9,1,3,0.00141,0.261,0.964,0.0000287,0.183,-6.654,0.0638,0.326,162.902,spotify:track:2wO8aOvN1ogLy1N8XT1WJE
spotify:playlist:6N0O3KZi22V9miAwpBwALf,351627,0,1,4,0.0057,0.314,0.797,0.0000559,0.0718,-9.026,0.038,0.569,145.393,spotify:track:2fXKyAyPrEa24c6PJyqznF
spotify:playlist:6N0O3KZi22V9miAwpBwALf,249493,4,1,4,0.21,0.665,0.834,0,0.452,-7.737,0.0576,0.411,105.292,spotify:track:3jS7bB0oXVOwGFZn3aE5NV
spotify:playlist:6N0O3KZi22V9miAwpBwALf,261427,2,1,4,0.000345,0.589,0.973,0.103,0.161,-6.394,0.0543,0.576,129.473,spotify:track:5WzdX4iArSQZELuxI0Oq5Q
