playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,231400,10,0,4,0.0928,0.918,0.609,0,0.139,-5.64,0.0791,0.304,128.008,spotify:track:0CAfXk7DXMnon4gLudAp7J
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,215160,11,0,4,0.000308,0.537,0.866,0.00000138,0.382,-3.08,0.0445,0.416,126.003,spotify:track:49KhRYxcukqBtmeSy44s2B
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,202573,3,0,4,0.131,0.683,0.744,0,0.306,-4.918,0.0301,0.493,132.022,spotify:track:7bV3mzlyEXz6xepVunU02D
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,262467,5,1,4,0.188,0.638,0.656,0,0.146,-5.886,0.0357,0.225,104.036,spotify:track:7wZUrN8oemZfsEd1CGkbXE
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,203347,9,1,4,0.00172,0.542,0.905,0.0104,0.136,-5.653,0.054,0.374,153.398,spotify:track:0ntQJM78wzOLVeCUAW7Y45
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,179640,5,1,4,0.00223,0.699,0.76,0,0.132,-3.173,0.0677,0.696,129.996,spotify:track:25ZttbpeUKDOm3aghD2oBJ
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,241933,1,0,4,0.0264,0.822,0.739,0.0000426,0.181,-4.541,0.0311,0.745,118.992,spotify:track:1dzQoRqT5ucxXVaAhTcT0J
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,264373,8,0,4,0.0521,0.466,0.759,0,0.0587,-4.978,0.199,0.328,160.033,spotify:track:1jUA4rb6ZCv4gby4YU53xq
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,242187,11,1,4,0.595,0.686,0.457,0,0.105,-8.322,0.0468,0.718,150.953,spotify:track:1EzrEOXmMH3G43AXT1y7pA
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,297587,7,1,4,0.0212,0.7,0.864,0,0.0956,-3.629,0.0283,0.887,102.997,spotify:track:5rX6C5QVvvZB7XckETNych
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,179947,4,1,4,0.00221,0.618,0.955,0.00000309,0.486,-3.836,0.0798,0.79,150.034,spotify:track:5619Ojc6t9evEEs3B7Drhe
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,267080,6,0,4,0.0376,0.844,0.659,0.0000807,0.0523,-5.587,0.0626,0.54,122.683,spotify:track:62LHRv9uwSNlBmByQF5jdE
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,245680,11,0,4,0.00154,0.673,0.686,0,0.382,-5.745,0.0454,0.34,118.43,spotify:track:1LTCbCarP9j2f5GwkORPjM
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,237200,4,1,4,0.118,0.851,0.806,0.00000164,0.121,-4.62,0.0787,0.787,118.999,spotify:track:1QV6tiMFM6fSOKOGLMHYYg
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,245080,2,1,4,0.00592,0.705,0.911,0.00154,0.0603,-4.873,0.0717,0.803,113.032,spotify:track:1dDNz8h95Gsu0W4QdxVVln
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,220227,7,1,4,0.0000795,0.706,0.841,0,0.0688,-3.956,0.0418,0.861,132.032,spotify:track:1ulXmqjktxSdrdT1bzc69H
spotify:playlist:6OAk3B9eN0qv6bazX0cVBU,236253,2,1,4,0.195,0.629,0.722,0,0.108,-5.693,0.0277,0.58,118.003,spotify:track:3vIVCdRx0jaxegLrtuGYvH
