playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,262147,5,0,4,0.0206,0.751,0.736,0,0.265,-4.168,0.156,0.352,130.014,spotify:track:7mitXLIMCflkhZiD34uEQI
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,244893,0,1,4,0.571,0.864,0.515,0.0000792,0.0947,-6.967,0.0367,0.755,129.048,spotify:track:1qk9ujVgudgU8CyhKOx8ji
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,202813,9,1,4,0.0122,0.716,0.776,0,0.331,-4.483,0.0451,0.616,128.072,spotify:track:750zma5WOx5qYlX4humPmT
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,285240,9,1,4,0.893,0.554,0.321,0,0.0996,-8.251,0.028,0.288,135.047,spotify:track:6QPKYGnAW9QozVz2dSWqRg
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,228093,8,1,4,0.138,0.73,0.77,0,0.0473,-5.114,0.0298,0.507,104.948,spotify:track:1eq1wUnLVLg4pdEfx9kajC
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,199480,7,1,4,0.1,0.707,0.861,0,0.191,-4.225,0.316,0.795,130.021,spotify:track:70Vdd1gx5tn84jkAU31ASv
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,252307,3,1,4,0.161,0.673,0.934,0,0.279,-3.206,0.156,0.485,129.027,spotify:track:3QFbOgWOqXEtOD02FMcX7K
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,260253,11,1,4,0.00327,0.587,0.828,0,0.331,-5.108,0.161,0.494,123.907,spotify:track:30XU4suKzCeoCK9YFzdufg
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,223053,5,1,4,0.0294,0.636,0.831,0.00000385,0.272,-3.945,0.182,0.668,175.015,spotify:track:2fTsFCKRFQ5M0igJgabnLA
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,230907,11,1,4,0.0848,0.758,0.686,0.00127,0.142,-6.346,0.0792,0.444,130.007,spotify:track:0Oe49j06Bjrxs8PltuVeaW
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,243533,1,1,4,0.0113,0.767,0.682,0.00016,0.104,-5.02,0.042,0.833,127.975,spotify:track:0C4ejWmOTMv8vuYj85mf8m
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,215227,1,1,4,0.025,0.734,0.766,0.00138,0.108,-4.485,0.0383,0.6,127.986,spotify:track:6qn9YLKt13AGvpq9jfO8py
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,195987,7,1,4,0.0597,0.813,0.732,0.00137,0.0826,-5.636,0.03,0.731,130.02,spotify:track:2gTUJ0vJMGoYzaPwfJSqbS
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,190213,11,1,4,0.332,0.738,0.804,0,0.279,-3.851,0.0621,0.949,174.943,spotify:track:1ExfPZEiahqhLyajhybFeS
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,229573,6,1,4,0.0172,0.615,0.877,0,0.366,-5.217,0.174,0.778,151.6,spotify:track:1CUk09iecf4kLvLuhxerdS
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,246587,3,1,4,0.726,0.349,0.348,0,0.12,-6.142,0.0316,0.0886,74.541,spotify:track:0HZhYMZOcUzZKSFwPOti6m
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,200013,11,1,4,0.269,0.72,0.861,0.00000511,0.601,-4.339,0.209,0.669,126.991,spotify:track:2jSwKQBouf0brIcxGfA9CZ
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,245040,0,0,4,0.0679,0.604,0.787,0.15,0.127,-3.674,0.103,0.301,126.062,spotify:track:0TDLuuLlV54CkRRUOahJb4
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,197587,11,1,4,0.0305,0.679,0.808,0.00125,0.105,-5.137,0.0333,0.88,130.018,spotify:track:0ELgmt7slRKsOFfkb2lSoe
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,248133,1,0,4,0.0588,0.706,0.89,0.00286,0.306,-4.444,0.0688,0.684,128.011,spotify:track:2LEF1A8DOZ9wRYikWgVlZ8
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,223253,2,0,4,0.146,0.706,0.558,0,0.118,-7.237,0.0593,0.227,110.443,spotify:track:2tJulUYLDKOg9XrtVkMgcJ
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,219427,0,0,4,0.186,0.659,0.628,0,0.105,-8.685,0.179,0.262,94.05,spotify:track:3JA9Jsuxr4xgHXEawAdCp4
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,239600,5,0,4,0.145,0.733,0.71,0.115,0.0956,-5.849,0.0292,0.965,127.975,spotify:track:7w87IxuO7BDcJ3YUqCyMTT
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,258373,9,1,4,0.669,0.642,0.289,0,0.18,-9.918,0.0367,0.407,84.996,spotify:track:1XpYodsD36XN7ygcdF7mJJ
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,192200,1,0,4,0.0165,0.668,0.718,0,0.104,-4.736,0.0605,0.345,91.993,spotify:track:4fINc8dnfcz7AdhFYVA4i7
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,243667,8,1,4,0.133,0.711,0.748,0,0.461,-7.318,0.131,0.489,127.99,spotify:track:5S4J5QVt1X0ZACiPOrOCoq
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,182160,7,1,4,0.00279,0.637,0.887,0,0.0458,-3.363,0.0384,0.901,117.978,spotify:track:0xZgdvjmnEHdpDVm0evG0g
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,227880,8,1,4,0.139,0.638,0.826,0,0.0803,-4.968,0.0479,0.649,124.072,spotify:track:4FLRw7sFTaKX66TKAHDstv
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,210960,9,1,4,0.0319,0.646,0.795,0,0.267,-3.293,0.0976,0.796,89.99,spotify:track:0qOnSQQF0yzuPWsXrQ9paz
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,241667,11,0,4,0.000369,0.705,0.882,0.00000116,0.0934,-3.201,0.0445,0.7,130,spotify:track:2QtxlzvSBONjs1bDC34ixs
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,230720,3,0,4,0.00122,0.651,0.815,0.0000136,0.658,-3.827,0.0434,0.721,126.025,spotify:track:4Ky5Y0DJcNBp42P0XHvFtE
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,230120,10,1,4,0.332,0.62,0.832,0,0.104,-4.848,0.036,0.481,144.926,spotify:track:22PMfvdz35fFKYnJyMn077
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,231293,0,0,4,0.0242,0.651,0.884,0.00000536,0.202,-3.986,0.0533,0.285,125.941,spotify:track:79R98MwYRcQZdAzjjzUbiX
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,206080,2,0,4,0.02,0.671,0.808,0,0.134,-4.861,0.0652,0.637,121.956,spotify:track:1r3myKmjWoOqRip99CmSj1
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,264093,7,0,4,0.00105,0.597,0.839,0.00000116,0.617,-3.946,0.389,0.412,129.942,spotify:track:4NGikVnR4wpcB79gZE7tgg
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,215693,7,0,4,0.0191,0.668,0.857,0.00000671,0.0385,-2.944,0.0535,0.748,131.959,spotify:track:16Of7eeW44kt0a1M0nitHM
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,238693,7,1,4,0.158,0.392,0.839,0,0.3,-1.921,0.193,0.232,168.001,spotify:track:6Iocm6VMu6bVNYwiDoyQFW
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,222187,2,0,4,0.0334,0.779,0.963,0.493,0.664,-2.125,0.0399,0.759,127.941,spotify:track:36cmM3MBMWWCFIiQ90U4J8
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,320547,9,1,4,0.000323,0.583,0.768,0.0162,0.109,-6.477,0.041,0.357,127.952,spotify:track:57F80059mWaWFvWG3tBTbO
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,216218,9,0,4,0.0614,0.712,0.839,0.000867,0.0948,-4.633,0.0388,0.61,127.002,spotify:track:3BifasjnwlHpiNRZdHb33t
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,261747,9,1,4,0.018,0.572,0.913,0,0.293,-3.626,0.0425,0.724,79.986,spotify:track:5Lm8wha7kmEuqyjJ237HNM
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,208133,2,1,4,0.227,0.608,0.614,0.00000406,0.157,-3.727,0.0285,0.402,127.884,spotify:track:3UN6cIn3VIyg0z1LCuFSum
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,206413,7,1,4,0.000972,0.707,0.924,0.00703,0.204,-2.842,0.031,0.919,127.937,spotify:track:1gihuPhrLraKYrJMAEONyc
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,200467,4,1,4,0.0764,0.686,0.783,0,0.163,-4.977,0.119,0.814,99.978,spotify:track:2i0AUcEnsDm3dsqLrFWUCq
spotify:playlist:6OQxJWSFml74e1IW4PuDmf,201680,10,1,4,0.189,0.754,0.812,0,0.135,-3.772,0.101,0.857,124.981,spotify:track:5l0RudD17f3y9vwhgr2obT
