playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,290320,7,1,4,0.00286,0.908,0.669,0,0.237,-2.827,0.0738,0.662,112.238,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,196160,1,0,4,0.236,0.793,0.832,0.0000112,0.202,-4.862,0.0406,0.872,107.661,spotify:track:2lnzGkdtDj5mtlcOW2yRtG
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,213240,11,0,4,0.000154,0.59,0.976,0.293,0.155,-4.866,0.0488,0.686,114.996,spotify:track:7FNIEfhhBlzsZFxCwI5Nwh
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,289160,2,0,4,0.227,0.727,0.552,0.000164,0.198,-8.074,0.14,0.607,168.189,spotify:track:0ARK753YaiJbpLUk7z5yIM
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,213973,1,1,4,0.0193,0.607,0.923,0.0000011,0.0924,-6.777,0.0948,0.868,184.819,spotify:track:6UEfyhyfhYQsyipxOd95Ie
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,237493,11,1,4,0.323,0.56,0.825,0,0.161,-3.862,0.0379,0.268,94.931,spotify:track:4w1lzcaoZ1IC2K5TwjalRP
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,199987,11,1,4,0.56,0.617,0.613,0,0.13,-5.431,0.0337,0.312,119.838,spotify:track:6sJcSe0vjMLcAEhlionL3P
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,244507,5,1,4,0.0572,0.585,0.776,0.00000774,0.3,-5.898,0.0459,0.427,77.987,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,264240,7,1,4,0.136,0.346,0.641,0.0000084,0.108,-5.627,0.0504,0.159,77.281,spotify:track:1PAgmT6YqGhd6zT9kN9gIo
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,204400,4,0,4,0.00369,0.705,0.717,0.461,0.0701,-4.944,0.125,0.554,97.036,spotify:track:5TWL2K9Q9QuUTW15I6ZLpP
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,230013,1,0,4,0.00312,0.734,0.848,0.0000116,0.313,-5.285,0.0309,0.863,117.31,spotify:track:0ndXb2CwhrqtyHK6o6eVNd
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,224067,8,1,4,0.686,0.616,0.597,0,0.104,-5.328,0.0415,0.362,165.508,spotify:track:15f8Cv8RXUlOOCIf2oaceN
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,219240,10,1,4,0.123,0.666,0.968,0,0.347,-3.196,0.046,0.834,135.099,spotify:track:0HNXnhNZZtRZFLhP4hfyCP
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,248053,9,0,4,0.181,0.365,0.767,0.000856,0.0942,-6.185,0.0681,0.422,94.174,spotify:track:6crBy2sODw2HS53xquM6us
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,191667,11,0,4,0.00127,0.806,0.902,0,0.212,-3.387,0.0475,0.961,128.943,spotify:track:2u1hMwcB9TwziV6P7jdyxX
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,228240,11,0,4,0.206,0.956,0.745,0,0.0615,-4.753,0.12,0.912,107.075,spotify:track:04KTF78FFg8sOHC1BADqbY
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,214307,10,1,4,0.333,0.555,0.496,0,0.0956,-6.136,0.028,0.27,79.01,spotify:track:7tbJozWewwmFvTkXCUFtt0
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,234055,6,0,4,0.00102,0.519,0.94,0.102,0.472,-6.244,0.0376,0.506,144.004,spotify:track:1kYsjscGQNV581Q1Jyk1Us
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,195293,0,1,4,0.00226,0.658,0.906,0.000212,0.294,-5.552,0.0354,0.713,121.998,spotify:track:2wTl6N4T0QNUEnNWqT5O72
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,202640,6,1,4,0.195,0.496,0.527,0,0.138,-7.234,0.0339,0.283,155.932,spotify:track:4w2Yq2cklbssmUtUy5Vh6H
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,257067,6,1,4,0.0554,0.874,0.768,0,0.041,-4.086,0.311,0.636,106.095,spotify:track:52gqeRlrBE7hqMlRxEsi6y
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,247840,1,1,4,0.0227,0.816,0.5,0.00000153,0.0733,-4.551,0.03,0.649,124.037,spotify:track:7J41dYQolQJEtj3UmKLu5r
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,235000,8,1,4,0.00107,0.565,0.942,0.000406,0.152,-6.821,0.0518,0.568,137.973,spotify:track:0KT6DLAELYSbgfUemzwGPX
spotify:playlist:6REeBDRlSE4IZdKfuQAbZO,221693,0,1,4,0.0733,0.382,0.416,0,0.0719,-9.303,0.0302,0.125,102.089,spotify:track:3TwtrR1yNLY1PMPsrGQpOp
