playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6SVFcvkCcVayTawCOeItNl,276627,0,1,4,0.00163,0.445,0.823,0,0.43,-5.415,0.0302,0.487,85.935,spotify:track:2pxxVkNhrRST8fpgA12ru8
spotify:playlist:6SVFcvkCcVayTawCOeItNl,248400,11,0,4,0.0154,0.536,0.928,0.00134,0.2,-6.492,0.0589,0.389,136.258,spotify:track:0gzqZ9d1jIKo9psEIthwXe
spotify:playlist:6SVFcvkCcVayTawCOeItNl,277667,0,1,4,0.0134,0.464,0.459,0.0149,0.0723,-8.218,0.029,0.144,159.541,spotify:track:3GcvxghJMdrNH92Rp2oMtV
spotify:playlist:6SVFcvkCcVayTawCOeItNl,241840,4,1,4,0.36,0.617,0.84,0.0000885,0.179,-4.063,0.0512,0.57,94.676,spotify:track:3LI4MmibTkXH5cGpCGZgyw
spotify:playlist:6SVFcvkCcVayTawCOeItNl,266773,11,1,4,0.00239,0.429,0.661,0.00013,0.234,-7.227,0.0281,0.285,173.365,spotify:track:3AJwUDP919kvQ9QcozQPxg
spotify:playlist:6SVFcvkCcVayTawCOeItNl,288027,6,1,4,0.128,0.712,0.908,0.000167,0.383,-7.414,0.221,0.408,98.946,spotify:track:4uy6dW3p4jLk8WQ1ztwBqo
spotify:playlist:6SVFcvkCcVayTawCOeItNl,329733,9,0,4,0.0021,0.592,0.767,0.00165,0.127,-2.788,0.027,0.328,96.483,spotify:track:34KTEhpPjq6IAgQg2yzJAL
spotify:playlist:6SVFcvkCcVayTawCOeItNl,227560,9,1,4,0.00112,0.468,0.924,0.0149,0.337,-3.937,0.041,0.593,152.694,spotify:track:592nTDJAy8AucV4KKIDCmA
spotify:playlist:6SVFcvkCcVayTawCOeItNl,218133,9,1,4,0.856,0.591,0.435,0,0.712,-10.276,0.0449,0.486,101.99,spotify:track:5UxnsvTlT6eGn8Rx2egG9X
spotify:playlist:6SVFcvkCcVayTawCOeItNl,211707,9,1,4,0.00315,0.584,0.931,0.772,0.133,-6.158,0.0344,0.694,131.275,spotify:track:0yEhNqCwEfy8LHUmnZoHpP
spotify:playlist:6SVFcvkCcVayTawCOeItNl,219053,11,0,4,0.00154,0.532,0.962,0,0.109,-4.177,0.0727,0.671,110.38,spotify:track:0EcdmJCR4pURncLgeeBYvl
spotify:playlist:6SVFcvkCcVayTawCOeItNl,221293,5,1,4,0.000271,0.496,0.803,0.00000724,0.128,-6.519,0.0331,0.656,140.538,spotify:track:3bPvCVoPh2ulmMHLu5tUuk
spotify:playlist:6SVFcvkCcVayTawCOeItNl,205600,2,1,4,0.00162,0.426,0.929,0.105,0.0789,-6.729,0.0701,0.539,127.059,spotify:track:1MQTmpYOZ6fcMQc56Hdo7T
spotify:playlist:6SVFcvkCcVayTawCOeItNl,168227,0,1,4,0.00576,0.551,0.965,0,0.171,-2.772,0.0452,0.708,137.841,spotify:track:4qjfQnccStTR8zNsb6Mizo
spotify:playlist:6SVFcvkCcVayTawCOeItNl,269880,10,1,4,0.165,0.47,0.57,0,0.108,-7.989,0.0291,0.0831,130.8,spotify:track:4bgqtct7IaI4RYwmvHL9lW
spotify:playlist:6SVFcvkCcVayTawCOeItNl,312387,8,1,4,0.276,0.627,0.377,0.012,0.15,-9.737,0.057,0.409,79.956,spotify:track:4Zx5cCFA2aEfuBX3HlCN5j
spotify:playlist:6SVFcvkCcVayTawCOeItNl,239693,5,1,4,0.00515,0.537,0.88,0,0.22,-5.486,0.0334,0.581,93.052,spotify:track:1B7tV3WzEnDUS7wXSKDXk3
spotify:playlist:6SVFcvkCcVayTawCOeItNl,256440,7,1,4,0.00203,0.502,0.934,0.00102,0.234,-5.145,0.05,0.67,134.898,spotify:track:1vziI0NCJKrqKiG94COHBa
spotify:playlist:6SVFcvkCcVayTawCOeItNl,198253,0,1,4,0.000122,0.229,0.918,0.00132,0.161,-4.178,0.0667,0.496,168.608,spotify:track:37spHpy4iNsewPdzaCLbXJ
