playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,271693,5,0,4,0.0721,0.616,0.967,0,0.813,-3.646,0.147,0.359,120.109,spotify:track:7aUCLXZ4D4UD5sCgIgxqjl
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,250627,7,1,4,0.0168,0.852,0.874,0.45,0.133,-11.208,0.0427,0.666,129.029,spotify:track:0CtkjgZpkgnW7U6WmHsakD
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,289533,11,0,3,0.00125,0.315,0.715,0.00000797,0.0942,-8.072,0.0362,0.497,155.925,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,298760,2,1,4,0.165,0.383,0.662,0,0.248,-5.162,0.0333,0.138,121.154,spotify:track:225xvV8r1yKMHErSWivnow
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,309754,1,1,4,0.734,0.739,0.374,0,0.0775,-9.939,0.0351,0.317,134.269,spotify:track:2NtjcyTvYQXdUFdzeYyQxG
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,234227,9,1,4,0.000352,0.302,0.996,0.0000123,0.556,-4.288,0.0938,0.293,148.373,spotify:track:2YDO9NmMDSagP2yLnZjMez
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,200293,1,0,4,0.0324,0.73,0.698,0,0.0928,-5.629,0.0288,0.602,115.033,spotify:track:7aOGFnnVDivtRO1PrYhx64
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,153467,7,1,4,0.183,0.475,0.432,0,0.161,-7.844,0.0302,0.648,94.605,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,194867,3,1,4,0.3,0.545,0.597,0,0.0783,-5.748,0.0336,0.559,133.678,spotify:track:7FCthfxjvvXyukvP1dULIW
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,235107,9,1,4,0.42,0.46,0.505,0,0.134,-5.487,0.0266,0.22,135.757,spotify:track:0vswnzoKvhNkT1ehc0Tt19
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,308333,10,1,4,0.108,0.662,0.628,0.0776,0.128,-8.502,0.0251,0.588,102.319,spotify:track:0AQHfKjzky28rf5ytfBANJ
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,331240,1,1,4,0.114,0.629,0.511,0.00000391,0.0588,-8.651,0.0326,0.181,128.038,spotify:track:5GorFaKkP2mLREQvhSblIg
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,261133,1,1,4,0.0335,0.818,0.653,0.00000546,0.22,-8.396,0.204,0.533,99.931,spotify:track:31bf9SEOppLU6lQ85d8om6
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,280000,4,1,1,0.732,0.428,0.276,0.00000533,0.117,-11.729,0.0312,0.0382,99.195,spotify:track:3oEHQmhvFLiE7ZYES0ulzv
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,201773,2,1,4,0.00403,0.682,0.988,0.606,0.284,-3.859,0.0354,0.801,140.037,spotify:track:0pBnOHQ2Ing6NpVvzM0XQF
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,188667,11,0,4,0.088,0.723,0.895,0,0.0717,-3.707,0.102,0.963,143.373,spotify:track:3SFXsFpeGmBTtQvKiwYMDA
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,294787,1,0,4,0.539,0.704,0.707,0.00106,0.318,-6.537,0.0391,0.761,93.145,spotify:track:6sHsXIJoEN5JpdkGMQDJxt
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,185667,9,1,4,0.209,0.712,0.927,0.11,0.0933,-3.493,0.0347,0.511,130.295,spotify:track:32F14OcdAGM9jQm9XxR5qv
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,216667,0,0,4,0.0261,0.717,0.948,0.0123,0.15,-6.119,0.0281,0.824,139.019,spotify:track:77DrA46Lf6Kr5Ro0YAFxcV
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,203200,0,0,4,0.158,0.702,0.922,0.000113,0.047,-6.479,0.0568,0.469,139.959,spotify:track:7pwBWXciUDqOyIvtj82Wcn
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,203640,2,1,4,0.0986,0.667,0.726,0,0.237,-5.087,0.0277,0.767,106.969,spotify:track:4JaUZ4rZaEtisZUiVx1qFJ
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,289533,10,1,4,0.507,0.639,0.502,0.00000395,0.188,-10.013,0.0435,0.735,73.865,spotify:track:49VAfcwX7Nwe6wfYKJgFzd
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,253560,6,1,4,0.0866,0.506,0.667,0.108,0.132,-8.857,0.0376,0.195,168.78,spotify:track:383UcYmgw1OsvVDtOROLFv
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,206773,3,1,4,0.0405,0.609,0.88,0,0.284,-7.407,0.0742,0.389,126.981,spotify:track:1bOJQnJsFW5LZOgGp4K2mb
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,249600,5,1,4,0.0636,0.854,0.827,0,0.123,-6.424,0.0335,0.961,104.001,spotify:track:37giHQffMdB94OqVy4ZBd8
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,172067,7,1,4,0.101,0.701,0.937,0.0000961,0.0674,-4.845,0.0299,0.923,108.993,spotify:track:0SHmApKzT0EWhbFKBjsOex
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,248667,7,1,4,0.0402,0.898,0.648,0.0377,0.0611,-8.779,0.0869,0.724,123.096,spotify:track:2nnU5UH4paoRkWCC7fSR2P
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,221107,0,1,4,0.275,0.804,0.801,0.0000329,0.215,-4.892,0.0305,0.826,98.12,spotify:track:3UpS7kBnkVQYG13pDDFTC4
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,221080,2,1,4,0.033,0.463,0.701,0,0.191,-7.292,0.0339,0.741,167.773,spotify:track:7pQOXNPLCi0Pv5H4mPxUJf
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,238880,7,1,4,0.0672,0.67,0.898,0.0419,0.691,-5.718,0.0818,0.917,103.868,spotify:track:0yRZalpZuAvAKk8WHw31G7
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,203533,0,1,4,0.00116,0.714,0.893,0,0.157,-4.45,0.0793,0.689,95.99,spotify:track:2lhkUpzW04NeYEicwePekH
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,274627,1,1,4,0.0357,0.73,0.553,0,0.0679,-7.84,0.0286,0.358,96.021,spotify:track:2aNG1zFgAuHqYWhNbiIOF8
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,286787,7,0,3,0.0856,0.519,0.559,0,0.19,-6.474,0.0283,0.343,162.076,spotify:track:6gsFth2s4hP8zXHSqNcsuY
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,223667,6,0,4,0.00124,0.705,0.94,0.0116,0.0646,-5.975,0.0352,0.972,123.005,spotify:track:7taHCCZyXC1VkApz0k1HVO
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,198067,6,0,4,0.0467,0.758,0.911,0.00252,0.687,-4.192,0.0409,0.911,109.974,spotify:track:42yb3aUH2iUYzbcIelm2f9
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,260907,5,0,4,0.00128,0.729,0.662,0.208,0.305,-7.191,0.337,0.359,124.149,spotify:track:1mv4lh1rW1K6xhxhJmEezy
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,244667,5,1,4,0.0647,0.575,0.886,0.000187,0.709,-5.182,0.034,0.609,96.309,spotify:track:1Jaah2tmN9Hv81A87KZ1MU
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,216040,1,1,4,0.112,0.721,0.74,0.0000412,0.0848,-5.453,0.0416,0.714,104.815,spotify:track:5LGqFIVBf3ZUeFBpc87CFS
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,204754,2,0,4,0.287,0.722,0.845,0,0.0561,-4.446,0.0308,0.965,130.13,spotify:track:3FteycP8CaXS1MhjcXekVT
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,232840,11,0,4,0.00475,0.737,0.855,0.0000167,0.163,-10.319,0.0646,0.583,116.023,spotify:track:4FiWYfYBJmlnIq8NkMbPtY
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,,,,,,,,,,,,,,
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,273000,2,1,4,0.0242,0.562,0.654,0,0.0942,-6.234,0.0416,0.222,90.978,spotify:track:2rN6NKR8ZjMhcBCXsZUDWi
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,239027,6,1,4,0.0082,0.652,0.917,0,0.0509,-6.72,0.0548,0.459,132.975,spotify:track:2goLsvvODILDzeeiT4dAoR
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,308800,1,1,4,0.647,0.606,0.665,0.0103,0.108,-10.265,0.0337,0.392,108.018,spotify:track:0AeSlENrgK8criEUCR5zBq
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,301067,6,0,4,0.0452,0.717,0.564,0.000464,0.0897,-7.752,0.0551,0.728,85.996,spotify:track:78M2x5ojbdTmUOpWrbijG3
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,203173,2,1,4,0.0709,0.39,0.968,0,0.194,-5.248,0.235,0.63,207.779,spotify:track:2iAmVVkZ7BmrFnOaZluhTD
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,219120,5,0,4,0.0359,0.761,0.639,0,0.0945,-7.577,0.0539,0.922,164.088,spotify:track:47TqCCnEliDp8NRDyIQoQq
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,257093,6,0,4,0.143,0.646,0.882,0.00000967,0.335,-5.648,0.0346,0.908,120.837,spotify:track:7IsEXPk6qqt30FfQv4SZMa
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,258773,0,1,4,0.379,0.672,0.616,0.0000273,0.0887,-5.764,0.0258,0.566,92.094,spotify:track:3CVDronuSnhguSUguPoseM
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,204100,8,1,4,0.18,0.649,0.859,0,0.0577,-5.898,0.027,0.574,104.038,spotify:track:5c0cY6sQG0VDbMEW6BYzw8
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,203253,8,1,4,0.000226,0.651,0.956,0.00639,0.18,-7.703,0.0421,0.756,133.729,spotify:track:2xRRQTG5QhVOqgmKKK4dgW
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,227933,6,1,4,0.0175,0.881,0.874,0.00000119,0.154,-4.505,0.139,0.858,107.891,spotify:track:0weAUscowxeqDtpCgtbpgp
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,271720,2,1,4,0.645,0.542,0.454,0.00279,0.15,-10.247,0.025,0.267,96.881,spotify:track:4jKq1e80xAYixkIwt6YyV1
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,194760,4,1,4,0.0991,0.418,0.945,0.0123,0.23,-5.406,0.118,0.696,181.174,spotify:track:1ru5R5iSawvuMELqKXxLjS
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,179973,0,1,4,0.0761,0.533,0.616,0.0000505,0.336,-7.093,0.0356,0.552,142.249,spotify:track:43HrhMlI1t3PTlgRipISqq
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,432263,9,1,4,0.00107,0.751,0.832,0.693,0.0746,-13.249,0.0644,0.521,150.063,spotify:track:3irTVy9i77ATCbHEjTQEmd
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,275960,3,1,4,0.00175,0.565,0.914,0.388,0.0652,-7.847,0.0303,0.781,127.191,spotify:track:7k7RGsCx6RoUFWlNoAiIRE
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,262493,9,1,4,0.157,0.565,0.429,0,0.13,-9.196,0.0261,0.266,95.701,spotify:track:3JtRSUOj7wSAXFG76T89v8
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,173493,2,1,4,0.238,0.67,0.558,0,0.106,-9.159,0.0251,0.63,80.511,spotify:track:5mkGfmJGFZpwK9nA5amOhv
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,274267,7,1,4,0.187,0.704,0.417,0.00000213,0.137,-9.41,0.0243,0.532,92.726,spotify:track:5KVPav34JaKkXwBTJHnPgo
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,260893,5,0,4,0.00133,0.7,0.907,0.0204,0.0739,-4.897,0.0382,0.947,135.156,spotify:track:03Bgy8sbBMxyQ3yYNwhTxR
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,362893,2,1,3,0.024,0.574,0.837,0,0.0428,-6.961,0.0347,0.823,81.938,spotify:track:2Bc2KtDSXze0AMpyDjceec
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,220627,10,0,4,0.0657,0.588,0.724,0,0.107,-6.427,0.247,0.769,200.227,spotify:track:5OEgFG0eXhFy0xrhsDfb83
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,396440,8,0,4,0.00055,0.497,0.89,0.00129,0.255,-4.559,0.0445,0.249,133.047,spotify:track:6nswV1Lz3OZkaiCJfmVUOa
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,231133,1,0,4,0.0341,0.662,0.878,0.0000281,0.0164,-6.513,0.101,0.675,97.737,spotify:track:3lJcxAY9XExRdlxlJaGAGI
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,216693,6,1,4,0.468,0.627,0.768,0,0.126,-7.775,0.0625,0.802,100.071,spotify:track:0XvOoNb9zZOwFIOM0mwbiq
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,210840,8,1,4,0.00652,0.746,0.841,0.000099,0.101,-6.189,0.0295,0.964,107.941,spotify:track:5BTdUnDGqtP71jvZrcQJEH
spotify:playlist:6Sdw5Z9zHEFMOUX82JIyhy,283427,7,0,4,0.0402,0.739,0.849,0.00239,0.33,-8.155,0.0365,0.918,121.826,spotify:track:6SfWgcAHkQo3SMRvRIzJm6
