playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,168467,0,1,4,0.227,0.751,0.753,0.000784,0.209,-8.198,0.0935,0.774,106.976,spotify:track:3Zuf70897YkrVRAsrBMMSF
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,283627,2,1,3,0.00128,0.346,0.303,0,0.116,-13.604,0.0271,0.43,91.715,spotify:track:7t4c2dRPcikOFVODa0qlQu
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,259467,7,1,4,0.178,0.658,0.838,0.000143,0.123,-6.527,0.0558,0.65,114.913,spotify:track:3FApzuSz5ZowxoZOH7JaHo
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,285373,10,0,4,0.0322,0.703,0.826,0.00629,0.179,-7.179,0.0341,0.945,103.564,spotify:track:3mRM4NM8iO7UBqrSigCQFH
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,175119,5,1,4,0.292,0.687,0.574,0.0095,0.231,-11.434,0.0708,0.961,133.205,spotify:track:3Ac2O2uVXIPWaU9aIvwRqg
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,321000,5,1,4,0.0472,0.708,0.805,0,0.0867,-9.103,0.0612,0.776,133.419,spotify:track:0xRDqhYsCW6F9LM4s7gY5z
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,209760,0,1,4,0.0291,0.54,0.707,0.00000124,0.368,-5.541,0.0294,0.494,118.875,spotify:track:2pag2vElkdroT8hIO4Gozi
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,216400,8,1,3,0.853,0.35,0.0989,0.0027,0.165,-20.039,0.0307,0.194,153.607,spotify:track:4kaBnHk9bo1x9NlxU4Q2hG
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,304440,2,1,4,0.254,0.459,0.681,0,0.498,-8.773,0.0794,0.68,125.02,spotify:track:7wawEkN4nhPqSBWleGvdxa
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,365627,7,1,4,0.0929,0.497,0.349,0.028,0.259,-14,0.0297,0.421,113.762,spotify:track:5gOd6zDC8vhlYjqbQdJVWP
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,269067,1,1,4,0.366,0.481,0.392,0.0452,0.124,-11.381,0.0312,0.52,124.572,spotify:track:5YSI1311X8t31PBjkBG4CZ
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,143067,7,1,4,0.0183,0.572,0.646,0,0.0969,-12.176,0.0461,0.971,158.103,spotify:track:5vJIqByEnZmFb9dyIgBzR1
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,237293,0,1,4,0.76,0.52,0.364,0.0000136,0.251,-9.484,0.0427,0.716,184.244,spotify:track:1TSehAcbBAcmZlSNMjmf6U
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,248560,2,1,4,0.445,0.689,0.485,0,0.0694,-14.391,0.0364,0.715,122.962,spotify:track:76D4TupS8tpcT1FW6no6hh
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,185733,11,1,4,0.211,0.708,0.693,0.000515,0.162,-9.557,0.0917,0.892,108.319,spotify:track:2SWmfd8iv4CiBOztWJebux
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,219293,2,1,4,0.0392,0.741,0.518,0,0.0407,-12.334,0.0575,0.878,82.251,spotify:track:3oQBfDHP8C6TLV75Bc1ULr
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,245200,5,0,4,0.105,0.633,0.357,0,0.133,-9.366,0.0264,0.674,104.938,spotify:track:2JoZzpdeP2G6Csfdq5aLXP
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,204347,9,1,4,0.249,0.805,0.437,0,0.0903,-8.979,0.0458,0.845,109.68,spotify:track:7DhnBXTRbyW3JRueLlOmLm
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,202373,0,0,4,0.254,0.521,0.895,0,0.208,-7.989,0.0465,0.799,111.765,spotify:track:65n57JYdR4UZR81FOkMHcA
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,243920,0,1,4,0.389,0.523,0.93,0.000134,0.815,-6.994,0.104,0.313,117.265,spotify:track:3pyoAvbBO4kDKkh999Miyj
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,212760,11,1,4,0.0101,0.698,0.676,0.0000257,0.112,-11.717,0.0277,0.961,116.486,spotify:track:4OLRw2NSxCyNkfCs8Uwvwg
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,252707,2,1,4,0.685,0.589,0.348,0.0000032,0.0849,-11.032,0.038,0.28,119.374,spotify:track:2hw2fDtNPkIowTNuQRmlnN
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,210293,0,1,4,0.0254,0.557,0.791,0.000264,0.0605,-7.201,0.0389,0.895,122.34,spotify:track:3c4OULLWwgRqBfA2dJtRuY
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,228453,0,1,4,0.184,0.524,0.514,0.00000135,0.3,-9.712,0.0299,0.805,148.007,spotify:track:2uDVoVTWIDrgsiKrqP8HLE
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,266187,6,0,4,0.0799,0.767,0.827,0.000689,0.111,-7.981,0.0349,0.972,126.518,spotify:track:4wbLjB5aj0Q8L36U5Tl3rM
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,226867,0,1,4,0.254,0.732,0.431,0.0864,0.102,-13.946,0.0504,0.564,101.803,spotify:track:4MVhYm4LCenxBIZKrT5CAc
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,267947,7,0,4,0.541,0.837,0.38,0.00789,0.198,-13.341,0.064,0.892,104.995,spotify:track:1LOZMYF5s8qhW7Rv4w2gun
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,193440,7,1,4,0.494,0.419,0.516,0.00000441,0.148,-9.937,0.0335,0.476,97.884,spotify:track:7qUTZEf6bgiApJEXpMAH5y
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,192973,3,1,4,0.571,0.686,0.701,0.000192,0.0945,-6.032,0.0283,0.76,113.989,spotify:track:1qUMlhIIXfUUJ2LLNZc7DY
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,216287,2,1,3,0.831,0.333,0.367,0.0000119,0.262,-10.06,0.0291,0.0685,77.986,spotify:track:3dFR132gzO8jxD57R2gid3
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,237893,11,0,4,0.018,0.465,0.865,0.00135,0.0769,-9.573,0.098,0.677,117.528,spotify:track:2ZOTtG7v1OrSNs6EINIGb4
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,207960,2,1,4,0.0642,0.786,0.552,0.0000308,0.299,-13.885,0.0658,0.905,121.422,spotify:track:0NKv1n25UpKKhZbp5UVV6P
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,239400,11,1,4,0.739,0.732,0.161,0.000379,0.105,-12.817,0.0306,0.5,95.21,spotify:track:3zxklD2EGecZre9MjEEvIU
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,196440,11,0,4,0.0319,0.689,0.584,0.00275,0.327,-13.957,0.0314,0.837,127.132,spotify:track:3kovBaZ1LGLH1PL31qG7cL
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,273867,2,1,4,0.127,0.454,0.769,0.00000329,0.175,-7.653,0.0815,0.49,122.536,spotify:track:2LScqpywMqGcnum6nNaxXX
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,184240,9,1,4,0.166,0.276,0.427,0.000778,0.133,-9.428,0.0344,0.364,72.553,spotify:track:3GV4XBla6RrJ4WMqlhzd3u
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,296827,0,1,4,0.0855,0.668,0.302,0.000179,0.0971,-16.991,0.0345,0.573,102.549,spotify:track:2DizXuCkbDsLcGYu0XtE1I
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,290573,7,1,4,0.703,0.589,0.453,0.0000254,0.134,-8.912,0.0397,0.513,139.148,spotify:track:06RdYCp0UxsBtWsonHfSZz
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,212667,10,1,4,0.703,0.368,0.403,0.00000766,0.202,-12.699,0.0288,0.338,135.384,spotify:track:49RUdNvwSiUTC8fBh4KKoC
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,220267,9,1,4,0.431,0.497,0.296,0,0.106,-10.756,0.0302,0.171,62.204,spotify:track:5d4E1hgkLyb7sXr5J3InnM
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,288827,9,0,4,0.396,0.793,0.71,0.0143,0.179,-4.741,0.0391,0.829,109.677,spotify:track:6pS94GqlFrCy82GA1b7TrI
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,275213,4,1,4,0.0853,0.694,0.458,0,0.206,-11.66,0.0295,0.386,106.014,spotify:track:69rqnL1uOJ9c2rsRaGDs58
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,338693,6,1,4,0.0137,0.42,0.565,0.0562,0.376,-14.411,0.0768,0.716,125.626,spotify:track:17UtSC3ZlGCmZdDhcLHwvg
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,289160,9,0,4,0.325,0.51,0.915,0.52,0.299,-9.675,0.0318,0.657,142.793,spotify:track:0msX2RyUnG8b23YsSIThnH
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,233893,9,1,4,0.00333,0.636,0.773,0.196,0.0618,-7.044,0.0301,0.893,133.788,spotify:track:7tLdhvQWfZMGOWV2IJuGlw
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,212307,0,1,4,0.00121,0.677,0.915,0.916,0.322,-3.859,0.0912,0.545,124.929,spotify:track:4MVA30NmvNtpbDon1ZG7mk
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,180347,5,0,4,0.51,0.497,0.524,0.0000476,0.0487,-10.66,0.063,0.711,77.918,spotify:track:7c8tlriQMBusKSsXMg8fHm
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,224133,11,0,4,0.00221,0.546,0.851,0,0.551,-8.982,0.0419,0.695,127.623,spotify:track:44uO2TFudEyiPOzkTzaO6W
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,211653,10,1,4,0.287,0.756,0.551,0,0.668,-10.856,0.149,0.92,130.077,spotify:track:0lUzCYiDfIARzpDKTfDhWu
