playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,243027,0,1,4,0.631,0.443,0.403,0,0.111,-8.339,0.0322,0.41,143.462,spotify:track:7iN1s7xHE4ifF5povM6A48
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,273933,8,1,4,0.726,0.528,0.233,0.000108,0.122,-15.362,0.0346,0.208,89.044,spotify:track:2kyVQg00pphEufGT59M2XH
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,165733,5,1,4,0.372,0.739,0.502,0,0.158,-11.892,0.0446,0.961,80.911,spotify:track:1TrOeFJKz1JtwnpidBd9Ly
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,242893,9,1,4,0.0994,0.609,0.617,0.00404,0.118,-7.091,0.0307,0.543,128.903,spotify:track:0jvN7eQJJt4nxQzgQfZ1SP
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,293120,3,1,4,0.822,0.149,0.206,0.000649,0.115,-13.888,0.0323,0.264,79.764,spotify:track:6l8EbYRtQMgKOyc1gcDHF9
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,152453,10,1,4,0.188,0.745,0.656,0.00337,0.0941,-6.393,0.0405,0.858,105.318,spotify:track:3RTUfvRgq3pYTf7XY0FIcS
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,187040,4,0,4,0.836,0.33,0.214,0.0701,0.178,-17.699,0.0311,0.275,147.795,spotify:track:1eN42Q7IWRzRBq8eW2Y2TE
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,161467,2,1,4,0.0606,0.589,0.85,0.779,0.274,-6.143,0.0343,0.813,130.318,spotify:track:36gPq8WG7tDxrblyGVUCiT
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,154333,5,1,4,0.143,0.634,0.492,0.0000422,0.16,-10.188,0.0284,0.881,97.02,spotify:track:6YZAeEUhofehAg6wwJZl5i
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,151733,10,1,4,0.443,0.383,0.595,0,0.114,-8.074,0.0496,0.637,105.393,spotify:track:5vKM8TPIcXDDFlo82rlCgh
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,333893,9,1,4,0.0484,0.412,0.902,0.131,0.405,-11.6,0.405,0.422,89.74,spotify:track:0hCB0YR03f6AmQaHbwWDe8
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,174760,9,1,4,0.403,0.568,0.824,0,0.0855,-4.613,0.0299,0.753,108.625,spotify:track:5Ts1DYOuouQLgzTaisxWYh
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,143067,8,1,4,0.486,0.597,0.555,0.00174,0.255,-7.739,0.0285,0.608,129.098,spotify:track:3rKqIfNo9bjT0LKnNHgySm
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,127493,6,1,4,0.0166,0.513,0.92,0.0282,0.178,-6.664,0.0511,0.963,166.186,spotify:track:0INUNNYfsp4qr6kJdY46mY
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,153200,7,1,4,0.286,0.448,0.691,0.00111,0.945,-6.957,0.0286,0.633,88.836,spotify:track:0LfJkvPNCNEMLpZJgDQiV1
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,211880,4,1,4,0.724,0.754,0.449,0,0.162,-14.013,0.0615,0.973,82.751,spotify:track:3RNyGLgSvmVRZ7xKUp8Wgd
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,286267,2,1,4,0.301,0.188,0.485,0.0000743,0.148,-8.362,0.0319,0.398,82.189,spotify:track:2ev5cqhY4qE0ekhbjiOPvQ
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,246200,2,0,4,0.479,0.845,0.446,0,0.0671,-11.963,0.0471,0.961,119.478,spotify:track:7AA8axgnW6Nc9j5d5jPbig
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,187533,11,0,4,0.462,0.691,0.762,0.0286,0.0804,-6.47,0.0367,0.957,128.111,spotify:track:0Z3xhSOhrawLV81YdiDiiJ
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,173000,1,1,4,0.414,0.726,0.674,0.000243,0.175,-10.688,0.0682,0.969,120.295,spotify:track:4PbbHgOfGviXqY6rzJRjcl
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,214947,5,1,4,0.784,0.397,0.529,0,0.333,-8.802,0.0363,0.663,112.356,spotify:track:2HePGR1Y2L7q0HJHGgO9pj
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,469933,7,1,4,0.112,0.286,0.66,0.197,0.1,-13.243,0.0617,0.66,92.113,spotify:track:1mVTTCmWniYZrjHwHRqWyw
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,206878,7,1,4,0.265,0.178,0.685,0.0000555,0.331,-8.016,0.0443,0.285,81.045,spotify:track:1szgVtTVyq7AZGkPkS4A8J
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,198867,1,1,3,0.696,0.5,0.159,0.000675,0.109,-14.467,0.0629,0.485,102.595,spotify:track:1st6DXIzDykpxGRcU0aO8a
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,171800,0,1,4,0.092,0.711,0.819,0.000053,0.0699,-7.166,0.0335,0.88,130.224,spotify:track:4xSrLrL3N7dDenrJ4cplzw
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,176467,7,1,4,0.128,0.515,0.727,0.668,0.283,-6.04,0.0296,0.593,78.379,spotify:track:2U1a5xRUf84P9HD0MRccnF
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,179933,1,1,4,0.319,0.562,0.503,0,0.163,-14.836,0.0335,0.846,127.827,spotify:track:5pkd9ib1RgbkAd1R9bIOCa
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,156293,3,1,4,0.029,0.449,0.343,0.00981,0.0726,-13.205,0.029,0.578,95.283,spotify:track:0hUQOgt35xeOEw6aourTRq
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,166280,0,1,4,0.583,0.858,0.544,0.00109,0.0707,-9.289,0.0751,0.874,108.217,spotify:track:2gE95JskwQ1pCACTpGe1Db
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,253160,2,0,4,0.434,0.468,0.793,0,0.649,-7.069,0.0626,0.807,165.877,spotify:track:7JuWjJYcxy1i43dM3KWWJ3
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,194857,7,1,4,0.1,0.425,0.503,0.000749,0.169,-10.973,0.0458,0.701,86.562,spotify:track:3BzQ4YUYUAIF09bQeKfXVt
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,147480,0,1,3,0.191,0.448,0.558,0.000735,0.276,-5.482,0.0299,0.537,112.742,spotify:track:2eot2orcEQn5wR11DSVcbO
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,190560,0,1,4,0.846,0.408,0.28,0,0.64,-12.409,0.0302,0.466,71.544,spotify:track:24mZHxxTvEpNUAmcY1o9vw
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,166613,4,1,4,0.126,0.607,0.557,0.000403,0.139,-11.806,0.0312,0.833,132.792,spotify:track:1bizu0ENw5cesyVMfdcdpE
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,143764,7,1,4,0.83,0.611,0.326,0.000278,0.106,-13.981,0.0313,0.729,130.711,spotify:track:2kEfiCetcMmam7iO5I6fwM
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,172173,9,1,4,0.368,0.455,0.597,0.00000288,0.0955,-9.056,0.0383,0.587,82.679,spotify:track:7ar3v2xdI333dB8Zs7qGZs
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,210653,0,1,4,0.324,0.354,0.393,0.0779,0.186,-7.784,0.0388,0.331,108.523,spotify:track:76s4AaqCV2Hvb5XbUvMZWD
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,167747,2,1,4,0.804,0.44,0.196,0.00000895,0.179,-17.375,0.0272,0.333,85.776,spotify:track:2eSj0HHwB9aHJQ7zFOu90G
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,173280,3,1,4,0.31,0.43,0.462,0,0.204,-12.377,0.0449,0.796,202.248,spotify:track:0yT1pFeCrc6aEUfaJXtzrT
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,282893,9,1,4,0.638,0.298,0.291,0.0000286,0.262,-15.389,0.0284,0.38,103.395,spotify:track:4ZyXd7Roo36XWuGl7te86T
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,218187,3,1,4,0.756,0.299,0.329,0.0105,0.0559,-10.096,0.0279,0.392,132.282,spotify:track:3mlMpmY8oZIBFc39D9zLbh
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,174827,0,1,4,0.357,0.755,0.876,0.00000517,0.22,-8.867,0.0362,0.954,102.762,spotify:track:6QhXQOpyYvbpdbyjgAqKdY
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,201320,11,0,4,0.000768,0.625,0.933,0.00149,0.113,-9.984,0.122,0.145,119.933,spotify:track:2ZbFPXkcaYPq3tu1mLJkjk
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,134800,4,1,4,0.579,0.611,0.47,0,0.581,-9.135,0.0356,0.97,85.527,spotify:track:6UkMcAA19lTdjs22jtB7o2
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,227640,5,1,4,0.19,0.375,0.641,0,0.096,-9.239,0.0785,0.694,172.889,spotify:track:4SqOVebclQiYEVo63QdIux
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,182370,7,1,4,0.235,0.783,0.596,0,0.0427,-10.056,0.0676,0.88,127.576,spotify:track:1QdrUOQkbXJbpNqOKgJpq5
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,261280,7,1,4,0.0422,0.487,0.382,0.00000474,0.411,-10.889,0.0309,0.714,116.557,spotify:track:1H5IfYyIIAlgDX8zguUzns
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,255827,9,1,4,0.0569,0.404,0.669,0,0.429,-5.481,0.0417,0.526,122.29,spotify:track:5B7S7GjR1tuyeDLSRNiTMO
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,213267,10,1,4,0.487,0.282,0.526,0.000666,0.198,-10.94,0.0307,0.723,149.5,spotify:track:2a93nJszMeck9usLwkO2Yi
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,262267,7,1,4,0.46,0.304,0.421,0.0000403,0.163,-7.769,0.0293,0.216,75.928,spotify:track:6k5QsifpMWtY5ilnzBZ0u4
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,189000,0,1,4,0.606,0.691,0.372,0,0.0999,-13.043,0.0386,0.923,117.347,spotify:track:2ih4Oxupyz7DmY8PfEB2z8
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,138067,8,1,4,0.0729,0.801,0.517,0.00000614,0.115,-13.049,0.0547,0.781,123.986,spotify:track:0yXCAqGujkLIgxgEmtvQRd
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,202040,8,1,4,0.615,0.448,0.467,0,0.309,-9.529,0.0458,0.367,135.536,spotify:track:4BjJ6bUhjmV7ojjryM1gLI
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,192200,4,1,4,0.66,0.629,0.356,0.000617,0.173,-11.135,0.0246,0.472,83.886,spotify:track:7wWw7hBmErNg9u5w6Xx0vy
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,182293,0,1,4,0.198,0.396,0.338,0.00000262,0.138,-10.872,0.0304,0.377,133.522,spotify:track:0pNeVovbiZHkulpGeOx1Gj
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,179160,5,1,4,0.453,0.393,0.52,0.000802,0.116,-7.05,0.0286,0.42,102.922,spotify:track:4HI5Oj2PgGwxtJJ0GjuLye
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,188133,3,1,4,0.225,0.479,0.453,0.00038,0.143,-12.806,0.0472,0.756,81.18,spotify:track:2RtmMC4btQbvQ9w5KxPZpy
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,187373,0,1,4,0.619,0.547,0.584,0.53,0.131,-6.459,0.0288,0.874,122.713,spotify:track:7G5BjRTs3Kyh1Y9PvyaFJb
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,171867,5,1,4,0.0454,0.443,0.478,0,0.39,-13.476,0.0266,0.692,82.148,spotify:track:7zprGKxSOueSzoB4qjgM4U
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,213000,4,0,4,0.509,0.411,0.717,0.65,0.46,-12.598,0.0868,0.631,82.792,spotify:track:7eu51kQxpMvSYa2YV9KQpY
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,201640,7,1,4,0.173,0.698,0.701,0.00000916,0.0768,-7.629,0.0288,0.899,103.026,spotify:track:7pLPpTvMosiIheeOOr13TZ
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,187840,0,1,4,0.00632,0.23,0.376,0.0423,0.0679,-14.373,0.0327,0.496,68.954,spotify:track:12X0B3P3m6ugh3VhMY7vov
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,200533,1,1,4,0.301,0.699,0.739,0.00375,0.242,-10.534,0.0467,0.781,120.503,spotify:track:4CVMabbo9UcpwwSHICEaZu
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,192160,3,1,4,0.506,0.601,0.657,0,0.15,-8.127,0.0309,0.671,106.951,spotify:track:2ckSRPrec9HADRsdvfKe7j
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,195720,0,1,4,0.427,0.411,0.374,0.0000101,0.154,-14.028,0.0282,0.558,105.265,spotify:track:1dIChAQ6MLzIsXWl6vWAqX
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,268293,1,1,4,0.906,0.287,0.26,0.0128,0.11,-19.194,0.0333,0.374,97.587,spotify:track:7iZfg9nHKc44UYgj9V5Rih
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,167707,9,1,4,0.207,0.668,0.447,0,0.0815,-10.963,0.0374,0.874,119.317,spotify:track:0tX5zALVT9peeABGxl2yHX
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,238533,9,1,4,0.409,0.427,0.264,0.00631,0.0725,-18.649,0.0329,0.451,93.57,spotify:track:3ohGkHZ1cvhMnGzhinwRVP
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,289800,4,0,4,0.309,0.604,0.905,0.0632,0.0837,-7.059,0.0578,0.723,147.448,spotify:track:7GqIDx2QVGOpd4r1fZaUUW
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,182493,8,1,4,0.523,0.648,0.456,0,0.119,-12.72,0.0362,0.866,123.387,spotify:track:3U5cerXDuhykroUdjy4jaQ
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,174867,8,1,4,0.519,0.572,0.786,0.00093,0.11,-8.469,0.0642,0.952,188.115,spotify:track:6D8kc7RO0rqBLSo2YPflJ5
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,145373,5,1,4,0.904,0.502,0.506,0,0.341,-10.811,0.492,0.773,75.739,spotify:track:0ggwWNtTqDRdldkZ0FAjKG
