playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,250360,1,1,4,0.202,0.527,0.442,0,0.104,-7.131,0.0273,0.287,131.186,spotify:track:2oCYHHkzCMpVKkfaO07m5v
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,202853,4,1,4,0.0814,0.741,0.894,0.0527,0.089,-3.826,0.0496,0.96,114.879,spotify:track:2Cy7QY8HPLk925AyNAt6OG
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,173800,11,0,4,0.0000397,0.681,0.737,0.0102,0.279,-12.061,0.051,0.815,122.102,spotify:track:1ZTXm56gnLkA0muzVoFEkR
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,241733,2,1,4,0.0862,0.651,0.74,0,0.142,-6.244,0.0272,0.615,102.233,spotify:track:1SXDpLNprOrSglEdSkTJRY
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,288613,7,1,4,0.43,0.541,0.861,0.00633,0.15,-6.145,0.44,0.681,125.147,spotify:track:5yKFIVoOmkjV1zIrXdNoKD
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,226427,4,0,4,0.0589,0.682,0.805,0.000683,0.0588,-12.864,0.0856,0.873,120.507,spotify:track:0H8AN0RfgU1Pa19S4BhtHQ
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,244760,9,1,4,0.00000272,0.503,0.798,0.754,0.236,-7.888,0.0383,0.553,134.389,spotify:track:2YbwkDu7LATFJAuhyOBUTI
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,169973,0,1,4,0.417,0.674,0.611,0,0.405,-10.515,0.03,0.918,117.073,spotify:track:24hkkk7UZRHG84Jdawn4gw
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,216267,0,1,3,0.563,0.361,0.219,0,0.558,-16.553,0.0285,0.26,98.532,spotify:track:1jFhnVoJkcB4lf9tT0rSZS
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,221160,6,1,4,0.528,0.665,0.291,0,0.108,-9.033,0.028,0.453,91.329,spotify:track:1GutTAdU10wxOwby9BVXiw
spotify:playlist:6ZiC56rxV9Q6UrLBVpTBNJ,256107,4,1,4,0.13,0.707,0.275,0,0.066,-14.816,0.0328,0.195,93.99,spotify:track:5z6a02FGoVsXTrJ4GiVNxE
