playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,203373,9,1,4,0.051,0.8,0.563,0,0.0797,-10.209,0.0303,0.961,121.808,spotify:track:2EoIt9vdgFRNW03u5IvFsQ
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,536067,11,1,4,0.0163,0.294,0.641,0.22,0.112,-9.316,0.0291,0.226,79.759,spotify:track:3YRCqOhFifThpSRFJ1VWFM
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,351467,5,0,3,0.0664,0.64,0.427,0,0.0579,-9.29,0.0241,0.529,149.703,spotify:track:3l3xTXsUXeWlkPqzMs7mPD
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,210480,4,1,4,0.286,0.688,0.375,0,0.133,-9.601,0.0535,0.45,83.635,spotify:track:3Mmt6Xk0H6VR92PEp6x3hP
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,276133,10,1,4,0.7,0.51,0.469,0.00000805,0.163,-11.671,0.0421,0.361,110.23,spotify:track:1fHusGYQNiiN9JdsJw1W15
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,276114,7,1,4,0.0537,0.712,0.852,0.0000865,0.161,-8.687,0.0503,0.674,120.389,spotify:track:5SXT3MdtwxiDVVB9HqEBM5
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,225920,3,1,4,0.0233,0.723,0.966,0.0127,0.158,-6.743,0.0382,0.525,120.272,spotify:track:0w7XcNz84saf5p1nigc22t
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,282867,4,1,4,0.867,0.628,0.203,0.00000165,0.0892,-13.713,0.034,0.293,105.675,spotify:track:1FzZiA9gPkMJcvB9auYUya
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,264307,4,1,4,0.0576,0.559,0.345,0.000105,0.141,-13.496,0.0459,0.458,84.581,spotify:track:3d9DChrdc6BOeFsbrZ3Is0
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,317307,7,0,4,0.175,0.676,0.582,0.00396,0.0672,-10.345,0.0258,0.648,124.838,spotify:track:1ntKYuqLlmV3sTZoNyeHhM
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,218733,3,1,4,0.641,0.528,0.234,0,0.183,-15.784,0.0283,0.191,95.911,spotify:track:7okbmgA8lRBGl5limZ7LFM
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,195107,2,1,4,0.000501,0.749,0.745,0.00403,0.333,-10.625,0.164,0.481,101.972,spotify:track:27AHAtAirQapVldIm4c9ZX
spotify:playlist:6kkbrH6FdGfwAZBvJwK1ke,260200,1,1,4,0.00936,0.522,0.79,0,0.0881,-7.943,0.0627,0.743,122.585,spotify:track:3YgkTpILtOWngT7PVHg8kO
