playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,239120,10,0,4,0.252,0.766,0.376,0.00861,0.0908,-8.622,0.0267,0.257,109.944,spotify:track:2fbXJ0VpxhW7j0qcg1DnoZ
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,210160,5,1,4,0.0582,0.718,0.532,0.0000018,0.0918,-4.132,0.0298,0.934,106.945,spotify:track:2uVvdA2rIdY1kSO1khtEkg
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,206267,8,1,4,0.00741,0.694,0.955,0.0000281,0.135,-4.788,0.0423,0.481,118.005,spotify:track:7gM19ONvbL6FLKd5teJ3kt
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,218000,10,1,3,0.0447,0.611,0.595,0.00000848,0.344,-9.388,0.0266,0.275,102.998,spotify:track:1TZGMJxT3gPDkwZyfcc9ED
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,271387,0,0,4,0.549,0.41,0.473,0.000105,0.0974,-6.595,0.0375,0.224,87.014,spotify:track:4HopuG8wQBlvXQ6xwA79FG
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,168920,2,1,4,0.0192,0.647,0.843,0.686,0.104,-4.801,0.0364,0.328,128.015,spotify:track:46LTPfvrxlgNLyIGBup4O2
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,223067,0,1,4,0.187,0.689,0.836,0,0.162,-6.058,0.0559,0.749,127.411,spotify:track:4kAdSpTpIjLuwsZLYSEaDt
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,225527,0,1,4,0.000913,0.457,0.911,0,0.37,-5.52,0.075,0.572,146.394,spotify:track:5o2UsVpnpQcDDRcuEPzGIm
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,282347,4,0,4,0.00144,0.392,0.837,0.126,0.108,-4.742,0.0733,0.11,125.258,spotify:track:3fjXJEcLO9teTpeL8EDrSm
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,297933,6,0,4,0.107,0.694,0.853,0.00000163,0.225,-4.755,0.0415,0.566,117.896,spotify:track:2Tky1eOpdLXo8yYawnTMcj
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,163387,11,0,4,0.0000364,0.461,0.584,0.346,0.343,-12.812,0.264,0.336,121.98,spotify:track:31L1Xn0iiC1m4LzLHsbhlu
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,202733,0,1,4,0.0359,0.737,0.865,0,0.0438,-3.698,0.0651,0.847,120.038,spotify:track:6IjeDgkEfact4RDxnq4s9n
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,238437,0,1,4,0.000561,0.698,0.868,0.0344,0.359,-4.935,0.0524,0.813,120.013,spotify:track:5aIHmhuL1pk0XerSPHNrfS
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,339440,1,0,4,0.201,0.751,0.714,0.0000941,0.0982,-4.571,0.117,0.138,86.988,spotify:track:50HCj9kEXIonBwRLXFWCr8
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,194531,1,1,4,0.000747,0.764,0.925,0.136,0.218,-1.997,0.0974,0.456,127.948,spotify:track:4P57hnx1SK88ULEcQls2vV
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,307840,0,1,4,0.657,0.455,0.707,0.714,0.111,-7.69,0.0396,0.225,93.015,spotify:track:1qd89nxexpEj8N7TTOYzZZ
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,233627,7,1,4,0.0186,0.734,0.822,0.000146,0.283,-2.446,0.047,0.898,92.935,spotify:track:44AL9Xok81qGEOZdPQpUnM
spotify:playlist:6n0V5p2Fg6aGdlUCsPmxGk,239973,9,0,4,0.00123,0.5,0.732,0.00283,0.109,-3.566,0.027,0.634,99.993,spotify:track:5qsD8j0hAYyBkslOxfOGF8
