playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,259493,2,0,4,0.334,0.363,0.611,0.000025,0.163,-8.265,0.0422,0.644,149.873,spotify:track:6Lsj7lUt1kcKtVWE02BxBK
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,121160,8,1,4,0.00178,0.674,0.789,0.0071,0.0754,-6.903,0.0676,0.918,129.804,spotify:track:1id6H6vcwSB9GGv9NXh5cl
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,203173,2,1,4,0.0709,0.39,0.968,0,0.194,-5.248,0.235,0.63,207.779,spotify:track:2iAmVVkZ7BmrFnOaZluhTD
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,275093,9,1,4,0.0252,0.406,0.91,0,0.825,-6.517,0.0348,0.589,171.066,spotify:track:1ZAhmC1We4HpL2VWK01qpC
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,165373,0,1,4,0.00168,0.429,0.974,0,0.164,-5.136,0.0899,0.33,110.373,spotify:track:6HvUYS1xDfTCGWoeVrv3XS
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,387213,5,1,4,0.0377,0.252,0.849,0.00592,0.0545,-6.501,0.0581,0.194,163.704,spotify:track:2nTsKOXIVGDf2iPeVQO2Gm
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,218827,10,0,4,0.000779,0.621,0.834,0.456,0.0611,-10.068,0.0557,0.937,143.973,spotify:track:2aIB1CdRRG7YLBu9hNw9nR
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,264067,7,1,4,0.0626,0.36,0.505,0.0000922,0.172,-9.129,0.026,0.317,74.807,spotify:track:3SVAN3BRByDmHOhKyIDxfC
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,181333,6,1,4,0.0253,0.522,0.812,0.0000287,0.131,-6.606,0.0346,0.459,121.529,spotify:track:3OtIgLTHpPYez3WmDN2iYZ
spotify:playlist:6ncH1fiZuRS7MW16OEId8Z,207787,6,1,4,0.346,0.745,0.972,0,0.148,-5.598,0.0316,0.968,123.067,spotify:track:4TQeNHx85xcP9YRkvJC6K1
