playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,366213,11,0,4,0.000273,0.366,0.963,0.0122,0.115,-5.301,0.142,0.211,137.114,spotify:track:7ouMYWpwJ422jRcDASZB7P
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,257733,1,1,4,0.0275,0.538,0.641,0.00149,0.11,-6.582,0.0287,0.16,127.505,spotify:track:5HBDU0kn4f4hkZMjABsltT
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,201800,7,1,4,0.0285,0.307,0.791,0.000804,0.395,-5.408,0.119,0.141,193.356,spotify:track:28POcTYQKfkjz6qTIvtjG1
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,209333,7,1,4,0.0274,0.627,0.801,0.0000707,0.159,-5.627,0.0253,0.772,108.227,spotify:track:5XYb6UnDIUvulbuiAKImNa
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,227695,1,0,4,0.0201,0.625,0.813,0,0.146,-4.184,0.0428,0.733,122.017,spotify:track:4YJbsqgnUC1J2RdVREXFji
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,269373,9,1,4,0.000917,0.433,0.959,0,0.028,-4.04,0.0431,0.365,172.984,spotify:track:7x8dCjCr0x6x2lXKujYD34
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,214240,5,0,4,0.000945,0.537,0.841,0.023,0.944,-10.405,0.0921,0.522,126.078,spotify:track:2De3sEoBWy7HYz4vdIzClL
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,218787,11,0,4,0.0177,0.507,0.918,0.00157,0.501,-2.816,0.0309,0.696,92.39,spotify:track:4goWmpceUK3FiZ8nP0u64A
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,301187,4,1,4,0.453,0.404,0.461,0.0308,0.12,-7.466,0.05,0.14,178.824,spotify:track:3FrgVAoYIuJxboXgMDnh3F
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,151413,8,1,4,0.00322,0.56,0.82,0,0.0251,-10.078,0.0577,0.97,169.937,spotify:track:64m3tV0u4i8lL7XlS7Fh7Z
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,191293,4,1,4,0.00125,0.397,0.839,0,0.576,-6.674,0.102,0.764,116.947,spotify:track:7v9Ne4758aGFfFc5avh89h
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,204653,5,0,4,0.00709,0.449,0.94,0.00000633,0.0787,-2.816,0.0503,0.415,93.429,spotify:track:4dgZcu2Jy2xy0GM4PZYHPE
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,208000,6,1,4,0.108,0.63,0.831,0.0000187,0.164,-4.965,0.087,0.593,134,spotify:track:0AlBOG80IWekxvlnZFbbIg
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,222160,5,1,4,0.000065,0.54,0.823,0.0006,0.57,-7.045,0.0327,0.599,120.096,spotify:track:5GZimNKDnE8Gf5sL10oTgB
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,249827,9,0,4,0.000762,0.377,0.919,0.000672,0.0872,-6.034,0.0708,0.168,156.026,spotify:track:6hRoSJ3zFVLS20eMlm5UxI
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,205200,2,1,4,0.033,0.447,0.848,0.0000745,0.65,-6.175,0.222,0.485,172.247,spotify:track:1wgqttlPacpvmX5DKVboOa
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,268173,5,1,4,0.0123,0.56,0.921,0.0000108,0.404,-2.462,0.0374,0.283,126.974,spotify:track:7jzGuh57asNIvhz1VsFHda
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,178920,10,1,4,0.373,0.779,0.661,0.0351,0.0671,-7.619,0.092,0.755,100.066,spotify:track:2NZfOz81OmkMnQmzu9n0ZL
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,311867,10,0,4,0.00564,0.617,0.717,0,0.408,-7.858,0.153,0.49,103.992,spotify:track:4fzsfWzRhPawzqhX8Qt9F3
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,220227,0,1,4,0.0421,0.863,0.736,0.0000503,0.0968,-6.888,0.0439,0.739,124.013,spotify:track:0ZpZQMXC3A6LTZH1U5kPdJ
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,269187,5,0,4,0.231,0.546,0.829,0,0.144,-6.28,0.0786,0.912,91.162,spotify:track:0KxVfmuPf6XAP4NN7gAB6q
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,254533,9,1,4,0.021,0.424,0.632,0.0117,0.0545,-7.243,0.0922,0.356,97.694,spotify:track:7aBAo2pO8LvrN8mGba7MvA
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,211493,6,0,4,0.000146,0.569,0.805,0.000206,0.084,-6.126,0.0785,0.729,157.042,spotify:track:0ZXCTJS5QaNQcYK4PgTvYl
spotify:playlist:6pu78RxcgQjJHgB7lOl16j,229920,0,0,4,0.0509,0.848,0.841,0.00042,0.266,-6.397,0.071,0.828,130.462,spotify:track:7wgWUzQghmVKkfK6tEwu9p
