playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,233713,1,0,4,0.581,0.825,0.652,0,0.0931,-3.183,0.0802,0.931,95.977,spotify:track:7qiZfU4dY1lWllzX7mPBI3
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,230413,2,1,4,0.226,0.649,0.798,0,0.0711,-4.346,0.178,0.857,177.899,spotify:track:1vnnXMrBeEWiRg3YCMCjQq
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,261154,2,1,4,0.0232,0.461,0.834,0.0000114,0.14,-4.868,0.0989,0.471,135.007,spotify:track:6PCUP3dWmTjcTtXY02oFdT
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,263400,8,1,3,0.163,0.599,0.448,0,0.106,-6.312,0.0232,0.168,95.05,spotify:track:0tgVpDi06FyKpA1z0VMD4v
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,247160,11,0,4,0.0498,0.617,0.635,0.0000144,0.164,-6.769,0.0317,0.446,103.019,spotify:track:6RUKPb4LETWmmr3iAEQktW
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,187147,0,1,4,0.00671,0.605,0.822,0.134,0.147,-4.833,0.0438,0.288,167.997,spotify:track:1zB4vmk8tFRmM9UULNzbLB
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,170827,9,1,4,0.0735,0.624,0.876,0,0.327,-3.374,0.1,0.781,99.943,spotify:track:0afhq8XCExXpqazXczTSve
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,177000,1,0,4,0.000282,0.908,0.621,0.0000539,0.0958,-6.638,0.102,0.421,150.011,spotify:track:7KXjTSCq5nL1LoYtL7XAwS
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,220454,0,0,4,0.0323,0.731,0.794,0.0000259,0.112,-5.126,0.0522,0.356,139.994,spotify:track:0CokSRCu5hZgPxcZBaEzVE
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,199440,11,0,4,0.38,0.866,0.813,0,0.0779,-4.063,0.0554,0.969,121.998,spotify:track:7JJmb5XwzOO8jgpou264Ml
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,204502,6,1,4,0.22,0.874,0.497,0,0.0761,-5.484,0.0562,0.542,106.023,spotify:track:4Ro98RCK90oHqqSZUnTFq5
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,188174,0,1,4,0.011,0.735,0.425,0,0.055,-6.648,0.0464,0.848,85.896,spotify:track:2cOUlop2ZakjOKe4WinesN
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,288600,7,1,4,0.0552,0.609,0.668,0,0.167,-4.284,0.0367,0.811,80.924,spotify:track:3DXncPQOG4VBw3QHh3S817
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,210091,5,0,4,0.253,0.69,0.622,0,0.116,-5.025,0.0622,0.544,102.04,spotify:track:6uBhi9gBXWjanegOb2Phh0
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,176320,8,1,4,0.39,0.67,0.415,0,0.0617,-6.855,0.0786,0.445,114.212,spotify:track:0xG0SHshCStMEyNbNC5d4k
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,218147,5,0,4,0.124,0.585,0.52,0.0000701,0.131,-6.136,0.0712,0.129,159.801,spotify:track:0e7ipj03S05BNilyu5bRzt
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,245653,0,1,4,0.0594,0.734,0.442,0.0000163,0.213,-8.432,0.0557,0.0973,117.967,spotify:track:2y5aJvzXhHPA94U5GFAcXe
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,212733,0,0,4,0.239,0.715,0.605,0.0000141,0.189,-5.128,0.0428,0.454,122.956,spotify:track:72gv4zhNvRVdQA0eOenCal
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,217307,2,1,4,0.184,0.765,0.523,0.0000356,0.132,-4.333,0.03,0.394,104.988,spotify:track:1rfofaqEpACxVEHIZBJe6W
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,220781,0,1,4,0.119,0.64,0.533,0,0.0864,-6.596,0.0706,0.515,99.968,spotify:track:3eR23VReFzcdmS7TYCrhCe
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,233902,6,1,4,0.0293,0.726,0.769,0.0101,0.104,-5.043,0.123,0.733,97.985,spotify:track:3B54sVLJ402zGa6Xm4YGNe
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,209320,9,0,4,0.00261,0.762,0.7,0.0000156,0.153,-6.021,0.0694,0.608,116.073,spotify:track:43oK4OAWUsRZUDVeHtKI4U
spotify:playlist:6rQW5Caobc5CvNZ8f8cPAP,234653,2,1,4,0.0209,0.594,0.721,0.00000855,0.0879,-7.812,0.0957,0.253,128.942,spotify:track:6ie2Bw3xLj2JcGowOlcMhb
