playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,244893,0,1,4,0.571,0.864,0.515,0.0000792,0.0947,-6.967,0.0367,0.755,129.048,spotify:track:1qk9ujVgudgU8CyhKOx8ji
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,193653,2,1,4,0.00417,0.356,0.872,0.00975,0.0997,-7.837,0.068,0.607,166.3,spotify:track:5G1sTBGbZT5o4PNRc75RKI
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,254213,9,1,4,0.0374,0.661,0.744,0.0016,0.0667,-4.928,0.0505,0.37,100.139,spotify:track:5KrdYQS4U1Emzer8QShBE7
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,268627,6,0,4,0.000849,0.641,0.648,0.0217,0.121,-6.094,0.0265,0.234,117.944,spotify:track:5PRN8ql17R8rcKnHo6Ajlk
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,243960,11,0,4,0.0182,0.507,0.729,0.0000014,0.0658,-5.399,0.0393,0.272,105.013,spotify:track:2aIh7tYvYLcU4KA0AlS6n0
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,284500,6,0,4,0.791,0.336,0.298,0.0000026,0.0858,-8.547,0.0324,0.203,123.856,spotify:track:5xTEkzHycz81QTcqCS9oVv
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,155640,1,0,4,0.0362,0.573,0.876,0,0.095,-5.699,0.102,0.895,161.888,spotify:track:5QkwbUdIcUIu3eyCkDxUv6
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,220627,3,0,4,0.00437,0.712,0.688,0,0.134,-8.567,0.117,0.515,145.964,spotify:track:2Aab1S0t1HRbvF1BKaw2xj
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,251533,7,1,4,0.02,0.484,0.876,0.0126,0.521,-4.661,0.0529,0.44,146.933,spotify:track:7qo5m52K1ijTQtH10dyJX5
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,226413,11,0,4,0.00413,0.68,0.873,0,0.296,-6.283,0.0636,0.515,91.018,spotify:track:30MIMYaX8C3BMvL3Zhs6KO
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,206413,7,1,4,0.000972,0.707,0.924,0.00703,0.204,-2.842,0.031,0.919,127.937,spotify:track:1gihuPhrLraKYrJMAEONyc
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,218005,11,1,4,0.283,0.828,0.44,0.00000134,0.0652,-4.334,0.0441,0.907,115.948,spotify:track:3BPk5Gbe4Axv0RkR6JeIwE
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,277637,10,1,4,0.0103,0.528,0.805,0,0.106,-4.244,0.0362,0.197,107.508,spotify:track:24oq4fE50lbFOCoHIBKcor
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,238787,5,0,4,0.0483,0.641,0.967,0.000276,0.442,-4.289,0.0601,0.725,113.017,spotify:track:3u1Er1rkjn1oSz1xdZH3ZD
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,276173,5,0,4,0.0127,0.67,0.876,0.00302,0.109,-4.905,0.0536,0.736,126.968,spotify:track:4VbDJMkAX3dWNBdn3KH6Wx
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,218013,3,1,4,0.00847,0.56,0.936,0,0.161,-5.835,0.0439,0.371,112.96,spotify:track:0GO8y8jQk1PkHzS31d699N
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,248373,5,1,4,0.698,0.659,0.45,0.0304,0.113,-10.307,0.0291,0.213,121.347,spotify:track:08B6MCt7Pe8YH6l4SJEwZU
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,232341,4,1,4,0.00214,0.462,0.897,0,0.254,-7.168,0.0516,0.671,157.948,spotify:track:2igLxzAsBpZFfwra3RTyHK
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,257387,9,0,4,0.0000377,0.484,0.943,0.00452,0.593,-4.364,0.0647,0.345,143.933,spotify:track:4UZifG6wVTl3dFIeHKLi8y
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,200120,2,1,4,0.000155,0.658,0.879,0.0283,0.241,-3.714,0.0277,0.967,135.004,spotify:track:3HLicjnTcxTyykFvlHJxd7
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,243853,7,0,4,0.0034,0.528,0.945,0.505,0.115,-3.386,0.0928,0.308,139.987,spotify:track:5q8oybjZelukF4h0CzSUN9
spotify:playlist:6t8q6o7gAqGyPcPF9qeTHf,263293,0,1,4,0.15,0.569,0.456,0.00693,0.12,-12.067,0.0258,0.159,93.071,spotify:track:2qH4CDWA7gq4gs0BLw8QMx
