playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,263813,1,1,3,0.928,0.464,0.984,0,0.982,-3.134,0.711,0.346,77.745,spotify:track:2DRRuNEvqE8LeUO6wcE63q
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,237053,7,0,4,0.0058,0.572,0.654,0.00000321,0.09,-7.027,0.0344,0.399,122.491,spotify:track:3cbV252akVZInSvJk7jAYX
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,295067,9,1,4,0.135,0.775,0.866,0.0376,0.152,-3.598,0.0295,0.875,131.338,spotify:track:15ob9SMGLWrexuPuyuMjKl
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,294227,11,0,4,0.0173,0.932,0.457,0.0436,0.0414,-9.62,0.0541,0.884,117.002,spotify:track:7J1uxwnxfQLu4APicE5Rnj
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,232747,2,1,4,0.658,0.633,0.293,0.0000102,0.0378,-12.004,0.0317,0.232,139.888,spotify:track:1hX7zUcV9HfzGjWck3tqbr
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,270693,8,1,4,0.123,0.429,0.683,0,0.16,-7.017,0.0601,0.186,131.836,spotify:track:3lhayd3pri2UBwcH4nderB
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,191013,0,1,3,0.225,0.5,0.44,0,0.153,-14.469,0.0375,0.792,119.235,spotify:track:0KUMBsKhU0LDCYHtSiaRgA
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,252773,10,1,4,0.225,0.668,0.73,0,0.188,-7.182,0.0366,0.894,92.049,spotify:track:2wSAWEYUHkt92X4SBAPqZE
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,258400,3,0,4,0.0242,0.776,0.711,0.000353,0.234,-9.03,0.0473,0.901,138.728,spotify:track:3BovdzfaX4jb5KFQwoPfAw
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,253920,1,1,4,0.543,0.82,0.452,0.00294,0.0714,-9.796,0.0348,0.74,117.401,spotify:track:1JSTJqkT5qHq8MDJnJbRE1
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,237500,10,0,4,0.237,0.859,0.61,0.000405,0.196,-10.434,0.0431,0.943,139.188,spotify:track:77RLfoukJIT0TNT3RtUmam
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,323989,2,1,4,0.168,0.7,0.339,0.000083,0.0772,-10.101,0.0345,0.219,60.197,spotify:track:5XKw4mezzmvfzbHTFx6AwV
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,259507,9,1,4,0.142,0.652,0.545,0,0.0806,-9.86,0.0474,0.368,88.032,spotify:track:4tfUdNH8JBzWRmB2vMSfFg
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,211733,9,1,4,0.381,0.51,0.924,0,0.272,-6.869,0.0431,0.961,181.971,spotify:track:0yo52hUO1b2LGpq8qdUM9u
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,219200,4,1,4,0.0519,0.59,0.45,0.000851,0.0894,-12.599,0.0325,0.571,157.026,spotify:track:5n5rg7PCto4Ivn3avhiXK1
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,218867,5,1,4,0.265,0.882,0.562,0.0000168,0.745,-10.971,0.0515,0.715,119.165,spotify:track:2cKIcepRj6NOc1bKGjHuSl
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,254240,3,1,4,0.0192,0.862,0.624,0.000153,0.0465,-11.63,0.0565,0.882,124.896,spotify:track:3yDhZq8f17SmumVmEyCaRN
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,258267,1,0,4,0.0921,0.671,0.514,0.0000153,0.133,-13.561,0.0239,0.803,100.771,spotify:track:3XWNsYacJtKxylO5IcqCm7
