playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,201773,4,1,4,0.672,0.611,0.44,0,0.114,-6.046,0.0296,0.264,128.097,spotify:track:3BUdRr4VGmNajx2wLWlGzl
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,257427,2,0,4,0.0697,0.663,0.746,0,0.0929,-3.567,0.0321,0.325,102.847,spotify:track:3xl7PsO7Hzuig6To9FgDm6
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,205973,7,0,4,0.0000206,0.562,0.865,0.591,0.219,-6.476,0.0922,0.35,124.047,spotify:track:7uSsHbBFFAnkRQR1rDwP3L
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,186557,1,1,4,0.00929,0.882,0.699,0.0434,0.157,-8,0.0434,0.812,113.012,spotify:track:1wCdTxuGOqhzmP5qTxnt2F
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,225107,0,0,4,0.214,0.828,0.653,0.00000325,0.0404,-6.245,0.0653,0.575,68.507,spotify:track:1p5kC161fWMA2QlwV3Vi4W
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,215480,1,1,4,0.0457,0.801,0.645,0,0.0357,-6.93,0.0356,0.824,110.01,spotify:track:3oobWqIgYrSRg18uqRuPIF
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,273360,9,1,4,0.755,0.367,0.34,0.0000156,0.0868,-7.877,0.0306,0.0704,149.788,spotify:track:3PYdxIDuBIuJSDGwfptFx4
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,240093,4,0,4,0.104,0.749,0.846,0.00225,0.0957,-5.24,0.0393,0.664,131.995,spotify:track:0rYA2OJ81pKaPgjMweCipO
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,310093,2,1,4,0.0731,0.821,0.715,0,0.071,-4.415,0.255,0.57,112.972,spotify:track:0koYRm9MYr86fdKyaBuSiG
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,239027,5,0,4,0.688,0.662,0.748,0.00000843,0.0841,-3.041,0.268,0.535,82.331,spotify:track:00LfFm08VWeZwB0Zlm24AT
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,298773,1,0,4,0.497,0.851,0.849,0.00000205,0.116,-3.383,0.0828,0.844,120.014,spotify:track:4XHQyvbrBsQaaBUW1VvmsL
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,269973,7,1,4,0.497,0.595,0.489,0,0.119,-6.66,0.0271,0.0902,120.315,spotify:track:1MTQHCpraD4S8g5PAFKzoj
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,259453,0,0,4,0.228,0.651,0.663,0,0.0994,-5.569,0.0281,0.465,102,spotify:track:4llK75pXNWZz6KAho2Gp16
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,191827,0,1,4,0.0923,0.553,0.756,0,0.215,-4.583,0.108,0.605,94.487,spotify:track:7pNJ1T9TGbVbNHKaLhhPri
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,235213,4,0,4,0.103,0.727,0.974,0.000532,0.174,-2.261,0.0664,0.965,79.526,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,257360,11,0,4,0.347,0.847,0.491,0.00154,0.114,-5.873,0.0463,0.387,97.004,spotify:track:065DMOcJKGLADH42Emwiev
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,241440,5,1,4,0.544,0.478,0.582,0,0.103,-5.318,0.0299,0.211,127.902,spotify:track:7DY005dTZhZjHBCpi09apk
spotify:playlist:78ykI5HNLonnyvQ3MgbSiF,238733,10,0,4,0.0492,0.557,0.533,0,0.205,-6.817,0.0252,0.233,143.994,spotify:track:3NLrRZoMF0Lx6zTlYqeIo4
