playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,247000,5,1,4,0.0211,0.525,0.503,0.0000247,0.091,-7.974,0.0272,0.453,138.856,spotify:track:20uBdCmVtlUuYsvxysoito
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,213453,0,0,4,0.000377,0.648,0.898,0.00000128,0.359,-4.445,0.142,0.842,131.998,spotify:track:2RexMVjpaxZzPrXZwDv2sj
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,209267,9,0,4,0.623,0.609,0.874,0,0.132,-4.784,0.0638,0.523,97.922,spotify:track:0HDVr7DVXJIJXVzHxTiSS5
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,241547,0,1,4,0.0349,0.635,0.786,0.00767,0.497,-6.46,0.0377,0.305,97.54,spotify:track:6U7nhuHHkcw5OQQLgfHHL7
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,192947,2,1,4,0.11,0.537,0.828,0,0.379,-3.897,0.0547,0.612,142.973,spotify:track:32G0h9eJinZuDu89USLU2V
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,205733,3,0,4,0.000441,0.674,0.882,0.0000647,0.068,-2.771,0.0477,0.682,123.016,spotify:track:3kMrazSvILsgcwtidZd1Qd
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,191773,0,1,4,0.438,0.757,0.412,0.0306,0.404,-6.521,0.0711,0.674,85.498,spotify:track:4TgTyywODXLaCWYqffVjO5
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,202547,5,1,4,0.052,0.718,0.806,0.0137,0.0932,-9.191,0.0376,0.929,121.488,spotify:track:2iJG2T1ETX533HJF9bVTrA
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,304840,2,1,4,0.000202,0.602,0.905,0.064,0.117,-4.046,0.0775,0.411,128.019,spotify:track:4VqPOruhp5EdPBeR92t6lQ
spotify:playlist:7AMJT1IiIOuIsCTFEOj0Ny,252819,7,1,4,0.0338,0.501,0.809,0.00602,0.119,-5.264,0.0938,0.258,149.964,spotify:track:456WNXWhDwYOSf5SpTuqxd
