playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,324600,2,1,4,0.696,0.422,0.597,0,0.288,-7.167,0.0862,0.299,103.671,spotify:track:4iZKamIcoFKiPO2URL3UJO
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,271093,4,1,4,0.844,0.306,0.214,0.0000053,0.0839,-12.518,0.0356,0.108,66.98,spotify:track:4eHbdreAnSOrDDsFfc4Fpm
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,247627,11,1,4,0.188,0.886,0.311,0,0.0778,-12.405,0.113,0.812,112.389,spotify:track:1wdQiMzfdRiufsCKWH2anl
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,227067,0,1,4,0.0124,0.787,0.728,0,0.157,-7.705,0.218,0.94,173.026,spotify:track:1SssFw74DdHVjRa6ADggdD
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,207440,2,1,4,0.0444,0.642,0.722,0.00388,0.122,-13.031,0.0375,0.836,172.406,spotify:track:7ojJ4XvqBhBcteM0zjMebT
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,268910,6,0,4,0.0984,0.763,0.742,0,0.38,-10.975,0.188,0.483,98.145,spotify:track:2LjiPAQOVazT8sRyXL3XRs
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,295533,2,1,4,0.161,0.565,0.564,0,0.114,-10.044,0.0292,0.454,134.355,spotify:track:0jWgAnTrNZmOGmqgvHhZEm
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,241893,8,1,4,0.13,0.511,0.517,0,0.074,-9.653,0.0328,0.433,75.67,spotify:track:5x9RZg7HfXGY3JayXL3seF
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,211213,11,1,4,0.00529,0.707,0.628,0.0000876,0.104,-9.683,0.0878,0.87,187.538,spotify:track:4C4T0u9N2NretcDEP1Zpvy
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,272307,9,1,4,0.615,0.581,0.436,0.00000329,0.105,-6.713,0.028,0.107,66.989,spotify:track:3c9dGbSYmZLIui9H02Aot9
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,211933,11,0,4,0.00165,0.619,0.67,0.0109,0.331,-10.322,0.0353,0.777,129.269,spotify:track:45Ia1U4KtIjAPPU7Wv1Sea
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,206443,10,0,4,0.000683,0.706,0.807,0.016,0.203,-7.719,0.0387,0.766,108.755,spotify:track:600aa3duGYN8cI3tnkt4Y4
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,247627,7,1,4,0.205,0.631,0.749,0.00000521,0.0667,-8.15,0.0576,0.437,89.646,spotify:track:30qVCFYKBtAENjTIBA8FPZ
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,372933,1,1,4,0.0444,0.62,0.793,0.00706,0.0269,-9.843,0.0487,0.945,105.575,spotify:track:3tYClMiuuz25J2kQQcC8KM
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,274533,4,0,4,0.0295,0.697,0.608,0,0.276,-10.976,0.0463,0.725,133.879,spotify:track:5CdJveJgiGXoGwDFqF6afp
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,257467,9,0,4,0.0726,0.703,0.997,0.0235,0.123,-7.666,0.0399,0.391,132.872,spotify:track:4ih3dyFZoeTdaeJW9mPbOI
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,265107,5,1,4,0.302,0.703,0.7,0.471,0.0718,-6.789,0.0693,0.582,97.675,spotify:track:29rQJydAlO0uMyWvRIZxQg
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,226200,1,1,4,0.0698,0.792,0.964,0,0.302,-5.405,0.154,0.621,99.771,spotify:track:5ZDL1Ap2Mwhk5xhmQ41Ei2
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,265893,9,0,4,0.0147,0.691,0.837,0.0000447,0.162,-5.09,0.0353,0.64,108.175,spotify:track:39owLj3gqY7XN41PC1WO6Q
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,222773,9,1,4,0.173,0.751,0.467,0,0.217,-13.652,0.036,0.568,98.783,spotify:track:4rV3AYCf4BBBCkIpyLPwUP
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,208427,0,1,4,0.0671,0.677,0.796,0.00000585,0.236,-7.087,0.029,0.71,117.898,spotify:track:2Me1crmpGC8HgqwURitlrL
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,227667,9,1,3,0.396,0.412,0.539,0.000631,0.1,-7.794,0.0252,0.33,96.812,spotify:track:4oKdS5NAUH603U3IUTIQ36
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,186960,10,0,4,0.339,0.506,0.554,0.000355,0.112,-6.743,0.0339,0.375,124.724,spotify:track:4zzvMG8KrsykYtvFEJ99Cl
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,227267,9,1,4,0.281,0.404,0.51,0.00000632,0.0789,-11.353,0.0321,0.526,80.643,spotify:track:2QVHmiFTjFsHyxONRdbkcq
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,313573,7,1,4,0.0266,0.466,0.833,0,0.0327,-4.215,0.304,0.661,88.785,spotify:track:59WN2psjkt1tyaxjspN8fp
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,353640,7,1,4,0.0115,0.449,0.95,0.0000366,0.514,-4.978,0.225,0.339,144.469,spotify:track:6DiPkm7C3LD9XsJWTGPFgv
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,256733,7,1,4,0.00162,0.543,0.912,0.0000021,0.0565,-10.71,0.0601,0.836,103.731,spotify:track:4ePP9So5xRzspjLFVVbj90
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,289027,2,0,4,0.321,0.558,0.524,0.000952,0.94,-11.626,0.0459,0.636,93.654,spotify:track:3BEZCNZSmVv30vsMNSOCri
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,313440,1,1,4,0.00732,0.795,0.796,0.0716,0.129,-6.864,0.0463,0.41,115.429,spotify:track:2QB1D9DD0EsC0wzktRmM2z
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,224667,5,0,4,0.0412,0.656,0.995,0.0259,0.0508,-13.196,0.0478,0.664,141.095,spotify:track:51cUuJCFkazXnU0gdGregK
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,281227,5,1,4,0.0113,0.62,0.968,0,0.381,-5.312,0.0996,0.208,117.521,spotify:track:7dTT0A9XZvjcn1bbA5Cxd3
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,328627,4,0,4,0.152,0.502,0.855,0.000493,0.106,-3.27,0.0305,0.338,86.967,spotify:track:1euDTbMNRPNfKd8zZz4zTT
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,320267,2,1,3,0.615,0.467,0.324,0.0248,0.118,-10.451,0.0255,0.166,94.301,spotify:track:6PypGyiu0Y2lCDBN1XZEnP
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,190893,0,1,4,0.485,0.849,0.832,0,0.343,-7.83,0.128,0.939,124.558,spotify:track:7MjTPvXSAYB1NyzXLQKsMn
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,222667,10,1,4,0.0759,0.702,0.796,0.00253,0.109,-6.99,0.0315,0.607,129.878,spotify:track:0Lg4ckCFjFUeyHOeSozcWS
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,536067,11,1,4,0.0163,0.294,0.641,0.22,0.112,-9.316,0.0291,0.226,79.759,spotify:track:3YRCqOhFifThpSRFJ1VWFM
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,246333,8,1,4,0.0961,0.95,0.554,0,0.226,-10.329,0.0744,0.909,136.538,spotify:track:6Q7vgiFhulRp5cK7sDbjqa
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,244333,9,1,4,0.0347,0.685,0.91,0.0419,0.265,-10.281,0.0459,0.978,125.983,spotify:track:1KwVr66tFOfuMypJZtMwqA
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,328987,10,1,4,0.0883,0.592,0.642,0.00134,0.131,-9.38,0.026,0.16,92.419,spotify:track:3b3PnE1ROIZzILjmCGjVib
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,239307,7,1,3,0.638,0.568,0.572,0,0.0905,-9.858,0.0425,0.707,160.458,spotify:track:6PLCO2bE0J3UKd2VxbqFdF
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,189027,6,1,4,0.758,0.402,0.205,0,0.147,-11.232,0.038,0.42,143.994,spotify:track:1jCsCYgzQQHk3bDJDuFbNi
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,232960,5,1,4,0.18,0.701,0.705,0,0.141,-6.18,0.0357,0.71,100.669,spotify:track:6HcQZfMrw3KwGyzrKw1Pjy
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,222227,1,1,4,0.00929,0.657,0.908,0.00000112,0.0622,-11.672,0.0376,0.755,123.938,spotify:track:5SKQGvZaGg82MZ5kj21aKw
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,273933,5,0,4,0.115,0.717,0.634,0,0.0782,-7.736,0.036,0.896,178.064,spotify:track:2wZoBFqwT0Tpm9XW0oiRMZ
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,265867,0,1,4,0.0132,0.613,0.72,0,0.104,-7.957,0.0425,0.561,117.341,spotify:track:3TW48DvQ7ChwY1Yy1tkMaP
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,241813,0,1,4,0.0754,0.567,0.854,0.00228,0.327,-6.838,0.0647,0.903,184.081,spotify:track:6OWODeaQWGN6CMNXfPmrPN
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,394400,5,1,3,0.101,0.309,0.596,0,0.21,-5.599,0.0293,0.161,164.587,spotify:track:1zng9uqqXoPkmU05nsAlsw
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,296333,10,1,4,0.0074,0.844,0.609,0,0.563,-10.675,0.217,0.725,91.116,spotify:track:5thts3213xwSroRd11fv5A
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,289533,5,1,4,0.0322,0.663,0.546,0.000572,0.107,-5.234,0.0269,0.656,88.171,spotify:track:3arKRnq9OUd7yq6LRwVW8I
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,250400,2,1,4,0.623,0.543,0.187,0,0.176,-17.103,0.0358,0.127,107.885,spotify:track:2QKRYxSyOExxnOoTD453dC
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,311755,5,0,4,0.00227,0.882,0.807,0.0186,0.109,-7.448,0.223,0.226,102.775,spotify:track:69dW2qerM3Q9zMqikboTcA
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,255933,11,1,4,0.058,0.633,0.716,0,0.286,-7.915,0.0569,0.574,93.252,spotify:track:69fhPAXxcjeqs30l5D9oAe
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,416533,6,1,4,0.00431,0.616,0.645,0.0107,0.0409,-14.77,0.0348,0.328,116.146,spotify:track:3GtaFJ4Zx7TEBU8yUXtdOx
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,294693,9,0,4,0.0129,0.432,0.437,0.0805,0.0795,-10.677,0.0272,0.173,157.763,spotify:track:6x9t21Gl6bRhOrgigur7wK
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,230467,11,0,4,0.00177,0.507,0.804,0.0643,0.0357,-11.097,0.0888,0.151,135.01,spotify:track:6Hqgg8ooVdCFcThTkKZZzA
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,267427,9,1,4,0.0334,0.743,0.888,0.022,0.0747,-7.321,0.0709,0.748,102.442,spotify:track:6tg098geANpO0lNXtX8mgq
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,221493,5,0,4,0.0789,0.673,0.929,0.0326,0.0801,-14.146,0.0415,0.728,130.14,spotify:track:3IW8MYj6vFyxeLc7GjVLRg
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,,,,,,,,,,,,,,
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,247507,8,1,4,0.0188,0.884,0.37,0.00423,0.026,-11.353,0.112,0.883,109.997,spotify:track:5DOYik1z3Of1wAFfY3dYbC
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,241467,11,0,4,0.113,0.873,0.721,0,0.27,-9.774,0.0448,0.81,106.725,spotify:track:5oPRLER8bCQN3RFFVvLbTC
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,285107,5,0,4,0.0176,0.666,0.848,0.00295,0.126,-8.312,0.0529,0.402,119.541,spotify:track:2eHj0klWkwRQuIrNlPpCPa
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,231107,6,0,4,0.00154,0.755,0.782,0.00000786,0.392,-9.428,0.126,0.66,106.071,spotify:track:3EkbWhwKGJHpWjKNYp6zfw
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,169840,9,1,4,0.792,0.537,0.184,0,0.126,-15.886,0.0381,0.217,77.817,spotify:track:2tbSiDmrerPi24rEIBwtkh
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,269067,1,1,4,0.00151,0.724,0.778,0.112,0.387,-8.924,0.0618,0.768,112.518,spotify:track:1XgiaKAh3lzjaABhHUB0IX
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,249160,0,1,4,0.116,0.674,0.844,0.00524,0.0805,-7.473,0.0727,0.595,107.888,spotify:track:3PfERRzizJqTx0fuRmBgtH
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,315467,8,1,4,0.00363,0.802,0.962,0.0794,0.312,-7.28,0.0415,0.966,127.035,spotify:track:2e0nVBn2Qj5DPvcLFGfH5W
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,319227,4,1,4,0.00884,0.51,0.915,0.0000175,0.205,-3.036,0.0562,0.459,123.257,spotify:track:0vTKR5TQD03kASmEGlyDF3
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,228667,5,1,4,0.000361,0.448,0.677,0,0.334,-8.99,0.0302,0.663,138.2,spotify:track:4H3aS6slQrNt9GqsDzKNOL
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,248573,0,1,4,0.0915,0.939,0.675,0,0.0565,-7.232,0.211,0.795,96.918,spotify:track:0Pu71wxadDlB8fJXfjIjeJ
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,243947,10,1,4,0.792,0.476,0.331,0.00000366,0.716,-14.461,0.0427,0.315,66.825,spotify:track:4J2nhinyaIxkoGh9vw5UbI
spotify:playlist:7gfJSTKHKwlTpG53WPjUvE,302360,7,1,4,0.0174,0.534,0.959,0.0000125,0.348,-5.833,0.0418,0.449,120.725,spotify:track:3gxe9VqDhlgm89plR6ZhTP
