playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,203213,9,1,4,0.00232,0.527,0.741,0.00000152,0.0694,-7.344,0.0303,0.6,100.01,spotify:track:1nDwGcdtCwB4Ipfli2k57i
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,219533,1,1,4,0.000353,0.419,0.773,0.000467,0.199,-6.092,0.0367,0.474,110.723,spotify:track:6F0aZM4vU2b0uTm4Ry5Cp5
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,210240,7,0,4,0.000278,0.419,0.934,0.0015,0.132,-3.908,0.12,0.286,127.288,spotify:track:2DlHlPMa4M17kufBvI2lEN
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,283533,0,1,4,0.0000753,0.604,0.924,0.119,0.332,-4.848,0.0303,0.411,127.862,spotify:track:25ys1lEf3z6lvkDEE5mG0R
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,499413,7,0,4,0.204,0.432,0.622,0.00338,0.0635,-7.87,0.0291,0.452,108.638,spotify:track:1SwwSZY0ZLvNf14BADfpQT
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,209267,9,0,4,0.00316,0.653,0.964,0.00512,0.144,-4.261,0.0582,0.87,126.928,spotify:track:5z6xHjCZr7a7AIcy8sPBKy
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,200307,4,0,4,0.00719,0.654,0.81,0.00251,0.165,-6.26,0.0288,0.661,114.623,spotify:track:2MLHyLy5z5l5YRp7momlgw
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,260947,7,1,4,0.246,0.519,0.911,0,0.826,-7.228,0.0593,0.481,102.81,spotify:track:693R4N3d57wZcUXgsuSj1i
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,340920,10,0,4,0.0249,0.663,0.694,0,0.0698,-8.627,0.172,0.524,167.964,spotify:track:1RKUoGiLEbcXN4GY4spQDx
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,204133,2,1,4,0.0028,0.778,0.899,0.0345,0.0263,-6.552,0.0451,0.881,119.995,spotify:track:3OOFEF20WqtsUPcRbPY3L7
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,192040,6,0,4,0.167,0.908,0.409,0,0.392,-7.979,0.0435,0.963,116.181,spotify:track:5t07GqRpmmDqohxoQSWy4e
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,193051,0,1,4,0.0285,0.624,0.91,0.000198,0.0789,-5.703,0.0297,0.767,104.042,spotify:track:7kzKAuUzOITUauHAhoMoxA
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,248093,9,0,4,0.00325,0.459,0.791,0.00054,0.505,-5.713,0.0379,0.333,124.168,spotify:track:4x5GLTFPmE89oj4PjhmSKd
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,403533,9,0,3,0.0012,0.567,0.714,0.42,0.186,-8.512,0.0302,0.191,107.438,spotify:track:55mJleti2WfWEFNFcBduhc
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,210880,7,1,4,0.177,0.815,0.72,0.00000731,0.16,-7.311,0.0536,0.946,89.916,spotify:track:71koAFCnGnugRdGIDfS7f4
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,214800,9,1,4,0.201,0.748,0.939,0.00000135,0.0469,-4.844,0.0622,0.723,114.95,spotify:track:4li6V4D5jhiRzv1YA6qEzb
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,298533,0,1,4,0.0267,0.614,0.901,0.00000194,0.261,-4.906,0.0666,0.636,94.865,spotify:track:3BOQOd4qPpdiwvqMQyh2Yg
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,274160,2,1,4,0.00184,0.651,0.908,0.000579,0.384,-4.019,0.0577,0.769,123.851,spotify:track:5YBVDvTSSSiqv7KZDeUlXA
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,226600,7,1,4,0.345,0.544,0.474,0.000041,0.265,-10.509,0.0348,0.371,89.957,spotify:track:7KIlXAEc49lpKKRQGEhw9N
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,186533,7,1,4,0.000121,0.578,0.882,0.479,0.284,-6.354,0.044,0.623,125.603,spotify:track:2mPMFJvQ0v27gVqe5b6nDn
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,219813,8,0,4,0.135,0.62,0.952,0.788,0.184,-4.452,0.0579,0.949,195.926,spotify:track:3qs3aHNUcqFGv7jMYJJCYa
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,277307,0,1,4,0.69,0.484,0.287,0,0.946,-14.368,0.0349,0.351,79.912,spotify:track:1uDfA8q8avcbSzjNyB0cq7
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,235840,0,1,4,0.0266,0.541,0.572,0.186,0.0925,-9.634,0.0277,0.406,126.302,spotify:track:3vNFsxBbA4dPkymPF5Jm1b
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,253493,3,1,4,0.0304,0.613,0.791,0.0000507,0.0693,-4.84,0.211,0.851,123.016,spotify:track:7CJRbi3iBtdW1Zi0LQQ5Dl
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,209707,7,1,4,0.00132,0.493,0.8,0.00000684,0.0986,-4.932,0.0296,0.358,157.936,spotify:track:6bKfA5ijd1EP0FDT1591js
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,237920,10,0,4,0.314,0.862,0.762,0.000482,0.0755,-6.203,0.117,0.916,121.675,spotify:track:6lbtBe0I1wUNUrnmWNoaoS
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,199667,11,0,4,0.0393,0.743,0.94,0,0.0826,-3.587,0.153,0.812,94.546,spotify:track:7nbq7SoVtLdrePEMaLFOCh
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,199187,11,1,4,0.0105,0.228,0.919,0.0000097,0.153,-3.602,0.233,0.123,145.797,spotify:track:3cnzdAce7pgYYnyeU3yrY4
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,485587,10,0,4,0.00102,0.586,0.751,0.0879,0.0642,-7.399,0.0455,0.177,140.421,spotify:track:7AAxop1U4nG1CsZeWc3UCU
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,211253,11,1,4,0.119,0.667,0.656,0.0000262,0.167,-6.977,0.0437,0.745,132.989,spotify:track:5KObYGm2eRzWCkpbIlK71d
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,200360,2,1,4,0.00164,0.6,0.911,0.00000257,0.279,-5.106,0.034,0.7,125.96,spotify:track:3ZVk2sQH6fJ5LHBzTXm0nL
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,232307,1,1,4,0.000227,0.397,0.942,0.24,0.14,-2.53,0.0869,0.356,158.99,spotify:track:63peVCtLTPd0aM9x5j97sB
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,265000,0,1,4,0.000968,0.517,0.67,0.025,0.344,-6.442,0.0262,0.172,135.372,spotify:track:1oZYaztSjkVQ7PeKwUbdab
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,190827,4,1,4,0.0136,0.498,0.803,0.000166,0.126,-5.502,0.0328,0.291,106.949,spotify:track:1s0rWRweuhCa8SxR56QAgG
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,218360,1,0,4,0.3,0.725,0.583,0.000215,0.0665,-9.942,0.0424,0.765,79.984,spotify:track:3yUcJwYu7fXAfqMj9krY6l
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,288733,11,0,4,0.786,0.127,0.335,0.427,0.111,-8.298,0.0329,0.0686,77.078,spotify:track:3A9vIxzGBjEfqmDK7H9exS
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,231040,4,0,4,0.000657,0.432,0.752,0.0134,0.0727,-6.052,0.0288,0.266,110.068,spotify:track:0fJdOcZ4Wp3zTBjlKXlGr5
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,259693,8,0,4,0.000598,0.502,0.902,0.0386,0.0804,-4.877,0.0296,0.472,136.09,spotify:track:6we46yC7yWsGc9qTIpxaXR
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,228880,7,1,4,0.0805,0.586,0.917,0,0.392,-3.623,0.0486,0.925,105.41,spotify:track:125YmlCnEY4O5C8uESlBwo
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,215627,4,1,4,0.021,0.55,0.984,0.00258,0.39,-3.431,0.0676,0.451,110.047,spotify:track:0X9Daqp5j76RVzecx8nGmg
spotify:playlist:7kfx1a1dcgNGtNBzKFr2i1,258507,4,1,4,0.0744,0.702,0.961,0.00000803,0.694,-2.342,0.048,0.812,120.011,spotify:track:2kxMGzPfAog37Jl74RHXg8
