playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,203418,7,0,4,0.0169,0.596,0.854,0,0.124,-5.114,0.463,0.152,120.274,spotify:track:2iUXsYOEPhVqEBwsqP70rE
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,198973,7,1,4,0.0332,0.754,0.449,0.0000829,0.552,-9.211,0.109,0.357,77.169,spotify:track:6DCZcSspjsKoFjzjrWoCdn
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,263400,8,1,3,0.163,0.599,0.448,0,0.106,-6.312,0.0232,0.168,95.05,spotify:track:0tgVpDi06FyKpA1z0VMD4v
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,196493,11,1,4,0.705,0.551,0.537,0,0.0802,-7.595,0.034,0.493,126.421,spotify:track:5qrSlOut2rNAWv3ubArkNy
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,164205,10,1,4,0.0476,0.642,0.772,0,0.0646,-6.61,0.0848,0.589,153.995,spotify:track:4e4fqjx0Izh4svvTef1z7e
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,223347,8,0,4,0.0689,0.556,0.538,0,0.196,-5.408,0.0382,0.291,143.95,spotify:track:6bFrZX74iudanCuwP63LTX
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,221440,8,1,4,0.546,0.75,0.56,0,0.111,-8.094,0.105,0.459,140.06,spotify:track:3swc6WTsr7rl9DqQKQA55C
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,235545,0,1,4,0.568,0.851,0.541,0,0.13,-6.825,0.0505,0.448,124.959,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,201287,5,1,4,0.286,0.672,0.735,0,0.242,-4.733,0.0457,0.754,115.741,spotify:track:4ofwffwvvnbSkrMSCKQDaC
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,173800,6,0,4,0.555,0.56,0.68,0,0.116,-7.648,0.321,0.319,89.391,spotify:track:0d2iYfpKoM0QCKvcLCkBao
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,231267,10,1,4,0.331,0.68,0.578,0,0.135,-5.804,0.04,0.341,145.038,spotify:track:7dt6x5M1jzdTEt8oCbisTK
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,218147,5,0,4,0.124,0.585,0.52,0.0000701,0.131,-6.136,0.0712,0.129,159.801,spotify:track:0e7ipj03S05BNilyu5bRzt
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,201707,6,1,4,0.0956,0.708,0.648,0,0.134,-5.626,0.0449,0.338,143.955,spotify:track:45Egmo7icyopuzJN0oMEdk
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,211760,0,1,4,0.188,0.654,0.798,0,0.15,-4.084,0.0451,0.574,92.207,spotify:track:20ZP3Om9DvDazXrNUC7WM2
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,184732,7,1,4,0.171,0.753,0.657,0,0.112,-3.061,0.0449,0.437,107.01,spotify:track:09IStsImFySgyp0pIQdqAc
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,217925,1,1,4,0.0589,0.835,0.626,0.00006,0.396,-5.833,0.125,0.35,91.03,spotify:track:2G7V7zsVDxg1yRsu7Ew9RJ
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,232187,8,1,4,0.0605,0.698,0.633,0.000194,0.0926,-4.946,0.0597,0.552,96.924,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,217947,7,1,4,0.0403,0.836,0.544,0,0.0824,-5.975,0.0943,0.51,97.028,spotify:track:6acdKgBrJoYKbJD6WhG81R
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,221013,8,0,4,0.142,0.748,0.749,0,0.0713,-5.916,0.516,0.659,90.09,spotify:track:1cS0TgbR263ey9jn0MwD2s
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,214847,9,0,4,0.037,0.791,0.862,0.0000219,0.0814,-3.24,0.11,0.592,123.994,spotify:track:7ef4DlsgrMEH11cDZd32M6
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,166606,8,1,4,0.258,0.74,0.613,0.00372,0.123,-4.88,0.145,0.473,75.023,spotify:track:3ee8Jmje8o58CHK66QrVC2
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,210747,8,1,4,0.0891,0.585,0.909,0.000097,0.119,-6.474,0.0707,0.758,93.372,spotify:track:3CA9pLiwRIGtUBiMjbZmRw
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,217307,2,1,4,0.184,0.765,0.523,0.0000356,0.132,-4.333,0.03,0.394,104.988,spotify:track:1rfofaqEpACxVEHIZBJe6W
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,234707,2,1,4,0.00583,0.284,0.704,0.000115,0.0424,-7.276,0.186,0.1,191.702,spotify:track:45aBsnKRWUzhwbcqOJLwfe
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,233713,1,0,4,0.581,0.825,0.652,0,0.0931,-3.183,0.0802,0.931,95.977,spotify:track:7qiZfU4dY1lWllzX7mPBI3
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,205920,9,0,4,0.04,0.699,0.713,0.00000311,0.294,-5.507,0.0594,0.354,121.993,spotify:track:2qT1uLXPVPzGgFOx4jtEuo
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,202621,9,0,4,0.205,0.626,0.88,0,0.128,-2.384,0.0504,0.534,95.079,spotify:track:08bNPGLD8AhKpnnERrAc6G
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,186987,1,0,4,0.0372,0.697,0.683,0,0.137,-2.881,0.117,0.603,96.133,spotify:track:2BgEsaKNfHUdlh97KmvFyo
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,194408,1,1,4,0.327,0.687,0.785,0,0.203,-4.65,0.0333,0.655,106.046,spotify:track:3KLygy1YWhmrQx0GRs7IOx
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,180823,4,1,4,0.256,0.52,0.761,0.00000496,0.17,-3.093,0.0853,0.286,141.971,spotify:track:7vGuf3Y35N4wmASOKLUVVU
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,170413,6,1,4,0.00469,0.393,0.855,0,0.0735,-4.329,0.122,0.328,74.304,spotify:track:4gvPqK7RifS2F45o9Obo5B
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,190947,5,1,4,0.193,0.579,0.904,0,0.064,-2.729,0.0618,0.681,82.014,spotify:track:1rqqCSm0Qe4I9rUvWncaom
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,214290,5,1,4,0.191,0.687,0.792,0,0.167,-2.749,0.0452,0.671,100.015,spotify:track:2dpaYNEQHiRxtZbfNsse99
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,226973,0,1,4,0.181,0.637,0.713,0.000637,0.137,-4.333,0.0747,0.243,129.923,spotify:track:4eWQlBRaTjPPUlzacqEeoQ
spotify:playlist:7oMkn2Oiwmk5qjMzRCExUi,163253,1,0,4,0.0417,0.801,0.795,0.000113,0.0717,-5.115,0.0504,0.754,79.028,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK
