playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:7v5160zeNRgVF9TshKKdrm,183680,9,1,4,0.211,0.417,0.705,0.0296,0.423,-7.661,0.0656,0.922,193.668,spotify:track:6uA1FgFbQkI6L6BvOOmx3x
spotify:playlist:7v5160zeNRgVF9TshKKdrm,286667,7,1,4,0.19,0.734,0.784,0.00000375,0.621,-5.84,0.0527,0.963,123.086,spotify:track:3MJOiicdOtPcXg0uuvM1VL
spotify:playlist:7v5160zeNRgVF9TshKKdrm,216400,2,1,4,0.149,0.716,0.689,0.0000573,0.424,-7.616,0.125,0.663,81.344,spotify:track:1FX9TDiixxhRoYVxevAYiV
spotify:playlist:7v5160zeNRgVF9TshKKdrm,297307,4,0,4,0.0395,0.51,0.622,0.00532,0.128,-7.651,0.0268,0.387,77.663,spotify:track:6EMQo2suHaUYZVsbGVTxSZ
spotify:playlist:7v5160zeNRgVF9TshKKdrm,165800,2,1,4,0.142,0.664,0.971,0.233,0.342,-6.626,0.0343,0.902,159.835,spotify:track:2ZmItR4b7w2YssA16TNzpk
spotify:playlist:7v5160zeNRgVF9TshKKdrm,228000,5,1,4,0.0204,0.675,0.649,0,0.0959,-10.271,0.0319,0.596,116.624,spotify:track:0odIT9B9BvOCnXfS0e4lB5
spotify:playlist:7v5160zeNRgVF9TshKKdrm,200827,5,0,4,0.63,0.76,0.556,0,0.148,-8.872,0.0817,0.817,121.818,spotify:track:1qvDt6W8oaTO9Q4pFNMFEm
spotify:playlist:7v5160zeNRgVF9TshKKdrm,266800,10,1,4,0.866,0.483,0.268,0.0163,0.145,-11.809,0.0257,0.182,93.47,spotify:track:5iwyLsQ5yjnCaRrJGyAPZM
spotify:playlist:7v5160zeNRgVF9TshKKdrm,201293,4,1,4,0.0627,0.805,0.479,0.000143,0.104,-14.734,0.0436,0.962,128.411,spotify:track:5rfJ2Bq2PEL8yBjZLzouEu
spotify:playlist:7v5160zeNRgVF9TshKKdrm,205533,4,1,4,0.0953,0.557,0.782,0.00000675,0.118,-3.899,0.0475,0.305,159.621,spotify:track:1YGZyfvdgZxzipWoWYVKxi
spotify:playlist:7v5160zeNRgVF9TshKKdrm,186160,10,1,4,0.0972,0.559,0.859,0.00000148,0.0906,-11.331,0.154,0.895,192.752,spotify:track:0ItaoKQYT8CF5xGTHXD8IC
spotify:playlist:7v5160zeNRgVF9TshKKdrm,337000,5,1,4,0.0693,0.589,0.737,0.000596,0.107,-9.118,0.0309,0.55,119.369,spotify:track:2rlRGzvvuOlKLnSQLWx0V0
spotify:playlist:7v5160zeNRgVF9TshKKdrm,213067,5,1,4,0.0436,0.631,0.932,0.137,0.0918,-4.142,0.0354,0.971,122.429,spotify:track:7HKez549fwJQDzx3zLjHKC
spotify:playlist:7v5160zeNRgVF9TshKKdrm,203960,5,1,4,0.22,0.547,0.444,0,0.237,-9.452,0.0279,0.393,121.948,spotify:track:5wtgVhDXScPGQkNr8LTKgf
spotify:playlist:7v5160zeNRgVF9TshKKdrm,193267,2,1,4,0.266,0.708,0.692,0,0.101,-11.815,0.0518,0.879,131.603,spotify:track:6J1XtzFXaOiXTSMRYaV2IG
