playlist_uri,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,uri
spotify:playlist:7wHqh5aKHywCjpe280PHTB,232720,5,0,4,0.219,0.647,0.822,0,0.0908,-4.662,0.183,0.962,160.019,spotify:track:5b88tNINg4Q4nrRbrCXUmg
spotify:playlist:7wHqh5aKHywCjpe280PHTB,187920,9,1,4,0.0573,0.807,0.887,0.00000287,0.124,-3.726,0.0503,0.961,134.052,spotify:track:5jE48hhRu8E6zBDPRSkEq7
spotify:playlist:7wHqh5aKHywCjpe280PHTB,219200,7,1,4,0.0561,0.648,0.785,0,0.148,-5.414,0.165,0.943,160.02,spotify:track:1kKlhuQE0HXp1IwBRpaH2P
spotify:playlist:7wHqh5aKHywCjpe280PHTB,218228,7,1,4,0.467,0.705,0.745,0.00425,0.122,-7.455,0.0862,0.526,142.014,spotify:track:4hd4YTkABCn2zuTZeYEA6D
spotify:playlist:7wHqh5aKHywCjpe280PHTB,212800,8,1,4,0.0253,0.582,0.796,0,0.211,-4.017,0.0563,0.547,100.02,spotify:track:71CgN6BVkaXFNB5xPnvY9o
spotify:playlist:7wHqh5aKHywCjpe280PHTB,216120,1,1,4,0.0163,0.286,0.784,0.0000648,0.0713,-2.873,0.0749,0.618,173.793,spotify:track:2i8EtsynIudUUaLPUkO6rJ
spotify:playlist:7wHqh5aKHywCjpe280PHTB,281560,2,1,4,0.474,0.781,0.445,0,0.184,-6.061,0.0295,0.591,78.998,spotify:track:34gCuhDGsG4bRPIf9bb02f
spotify:playlist:7wHqh5aKHywCjpe280PHTB,172724,0,1,4,0.588,0.418,0.42,0.0000639,0.11,-6.444,0.0414,0.184,84.094,spotify:track:5Nm9ERjJZ5oyfXZTECKmRt
spotify:playlist:7wHqh5aKHywCjpe280PHTB,168750,4,1,4,0.0157,0.886,0.967,0.389,0.239,-0.776,0.142,0.745,128.1,spotify:track:2VJ8G0LeX2hu7RWc4suNhe
spotify:playlist:7wHqh5aKHywCjpe280PHTB,198307,9,1,4,0.019,0.65,0.786,0,0.323,-5.488,0.0463,0.446,124.96,spotify:track:3qqho4PnTn3zlMPBzWhFFD
spotify:playlist:7wHqh5aKHywCjpe280PHTB,269560,8,1,4,0.922,0.422,0.264,0,0.132,-7.064,0.0322,0.331,119.93,spotify:track:3U4isOIWM3VvDubwSI3y7a
spotify:playlist:7wHqh5aKHywCjpe280PHTB,199938,10,0,4,0.0904,0.912,0.716,0,0.0491,-4.141,0.0697,0.377,94.981,spotify:track:3H9DlQEsjB0whMWy9g4MCX
