playlist_uri,title,description,url
spotify:playlist:6YKI2VYSO9iZtyaLb3ZUsG,ARIA Top 100 Singles of 1970,"Unavailable: Lionel Rose - I Thank You, Mary Hopkin - Knock Knock, Who&#x27;s There?,  Mary Hopkin - Temma Harbour, Jerry Smith - Drivin&#x27; Home, Flying Circus - Run, Run, Run",https://api.spotify.com/v1/playlists/6YKI2VYSO9iZtyaLb3ZUsG
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,ARIA Top 100 Singles of 1971,"Unavailable: Lally Stott - Chirpy Chirpy Cheep Cheep, Axiom - My Baby&#x27;s Gone",https://api.spotify.com/v1/playlists/2P4qsHuiq8iTOKkHk0N5td
spotify:playlist:527BlW4koD42o92YquTbWn,ARIA Top 100 Singles of 1972,"Unavailable: Slim Newton - The Redback On The Toilet Seat, Robin Jolley - Marshall&#x27;s Portable Music Machine, Jamie Redfern - Rainbow On The River&#x2F;We&#x27;ll Meet Again, Don Fardon - Follow Your Drum, The Royal Scots Dragoon Guards - Heyken&#x27;s Second Serenade",https://api.spotify.com/v1/playlists/527BlW4koD42o92YquTbWn
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,ARIA Top 100 Singles of 1973,"Unavailable: Jamie Redfern - Venus, John Farnham - Everything Is Out Of Season",https://api.spotify.com/v1/playlists/5GukqTmf4N5gDtwmkiidHQ
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,ARIA Top 100 Singles of 1974,"Unavailable: Sister Janet Mead - The Lord&#x27;s Prayer, Osmosis - She (Didn&#x27;t Remember My Name), Ernie Sigley &amp; Denise Drysdale - Hey Paula, Creation - Tell Laura I Love Her",https://api.spotify.com/v1/playlists/3GxlQrYDedjZBHZMDEj7ow
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,ARIA Top 100 Singles of 1975,"Unavailable: Bob Hudson - The Newcastle Song, Gene Pitney - Blue Angel, Diana Trask - Oh Boy, Maureen Elkner - Rak Off, Normie!, Telly Savalas - If",https://api.spotify.com/v1/playlists/2EWppXKgzkMqHO0A41vV4f
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,ARIA Top 100 Singles of 1976,"Unavailable: Silver Studs - Happy Days, Shirley - Every Little Bit Hurts, Mark Holden - I Wanna Make You My Lady, Norman Gunston - Salute To Abba, Billy Connolly - D.I.V.O.R.C.E., Maxine Nightingale - Gotta Be The One",https://api.spotify.com/v1/playlists/5MLSOTUEAJjJNxkFf0SZ72
spotify:playlist:5i3AavIAQhagT11NJta6y4,ARIA Top 100 Singles of 1977,"Unavailable: Shirley - Every Little Bit Hurts, Mark Holden - Last Romance",https://api.spotify.com/v1/playlists/5i3AavIAQhagT11NJta6y4
spotify:playlist:6SeLrThaXtPYWGt71ydXb0,ARIA Top 100 Singles of 1978,Unavailable: Cheetah - Walking In The Rain,https://api.spotify.com/v1/playlists/6SeLrThaXtPYWGt71ydXb0
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,ARIA Top 100 Singles of 1979,"Unavailable - Glenn Shorrock - Dream Lover, Paul Evans - Hello, This Is Joannie (The Telephone Answering Machine Song), Kids - Care For Kids",https://api.spotify.com/v1/playlists/3RJDMxxT2WEbSBi7QhLZVT
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,ARIA Top 100 Singles of 1980,"Unavailable: Long John Baldry &amp; Kathi McDonald - You&#x27;ve Lost That Lovin&#x27; Feelin&#x27;, Ritz - Locomotion, The Veterans - There Ain&#x27;t No Age For Rock &#x27;n&#x27; Roll",https://api.spotify.com/v1/playlists/2jJRQb9kK1ascWqMgwMP8t
spotify:playlist:7v5160zeNRgVF9TshKKdrm,ARIA Top 100 Singles of 1981,"Unavailable: Marcia Hines - Your Love Still Brings Me To My Knees, The Quick - Hip, Shake, Jerk!",https://api.spotify.com/v1/playlists/7v5160zeNRgVF9TshKKdrm
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,ARIA Top 100 Singles of 1982,Unavailable: Jo Kennedy - Body And Soul,https://api.spotify.com/v1/playlists/4zxbBleovpMynhj4K8jDQQ
spotify:playlist:6u9l7pVKu41jvogR8yJO3h,ARIA Top 100 Singles of 1983,Unavailable: The Chaps - McRawhide,https://api.spotify.com/v1/playlists/6u9l7pVKu41jvogR8yJO3h
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,ARIA Top 100 Singles of 1984,Unavailable: George Smilovici - I&#x27;m Tuff,https://api.spotify.com/v1/playlists/3oCOd1S0CVKbjlGYmGOhly
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,ARIA Top 100 Singles of 1985,Unavailable: Koo De Tah - Too Young For Promises,https://api.spotify.com/v1/playlists/0kgHtoYJSMS3pMMciC3Us4
spotify:playlist:2lutut73NrLGdbaxUPs4l4,ARIA Top 100 Singles of 1986,"Unavailable: Cliff Richard &amp; The Young Ones feat. Hank Marvin - Living Doll, Boys Don&#x27;t Cry - I Wanna Be A Cowboy, Venetians - So Much For Love, Ric Ocasek - Emotion In Motion",https://api.spotify.com/v1/playlists/2lutut73NrLGdbaxUPs4l4
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,ARIA Top 100 Singles of 1987,"Unavailable: Gino Vannelli - Wild Horses, Michael Bow - Love &amp; Devotion, Wang Chung - Let&#x27;s Go, Carol Hitchcock - Get Ready",https://api.spotify.com/v1/playlists/2oE9VgA9outsqKnF8Ilgda
