playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,PRISM,spotify:album:3jB9yFDwRe3KhtGnHXJntk,Katy Perry,spotify:artist:6jJ0s89eD6GaHleKKya26X,1,223546,Roar,72,false,spotify:track:27tNWlhdAryQY04Gb2ZhUI,https://api.spotify.com/v1/tracks/27tNWlhdAryQY04Gb2ZhUI
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,Blurred Lines,spotify:album:7H4FyEbXAYFi8wvaQwKFbQ,Robin Thicke,spotify:artist:0ZrpamOxcZybMHGg1AYtHP,1,263826,Blurred Lines,31,false,spotify:track:4zRwVgo9xyGOMwjIpVfSo8,https://api.spotify.com/v1/tracks/4zRwVgo9xyGOMwjIpVfSo8
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,Blurred Lines,spotify:album:7H4FyEbXAYFi8wvaQwKFbQ,T.I.,spotify:artist:4OBJLual30L7gRl5UkeRcT,1,263826,Blurred Lines,31,false,spotify:track:4zRwVgo9xyGOMwjIpVfSo8,https://api.spotify.com/v1/tracks/4zRwVgo9xyGOMwjIpVfSo8
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,Blurred Lines,spotify:album:7H4FyEbXAYFi8wvaQwKFbQ,Pharrell Williams,spotify:artist:2RdwBSPQiwcmiDo9kixcl8,1,263826,Blurred Lines,31,false,spotify:track:4zRwVgo9xyGOMwjIpVfSo8,https://api.spotify.com/v1/tracks/4zRwVgo9xyGOMwjIpVfSo8
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,All the Little Lights,spotify:album:5bbkKLESBTEz8UQAx3eU6W,Passenger,spotify:artist:0gadJ2b9A4SKsB1RFkBb66,1,252733,Let Her Go,14,false,spotify:track:7k3A0x4yQt0aUxVxJFQaIf,https://api.spotify.com/v1/tracks/7k3A0x4yQt0aUxVxJFQaIf
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,True,spotify:album:1s9tU91VJt4sU5owi29GD3,Avicii,spotify:artist:1vCWHaC5f2uS3yhpwWbIA6,1,247426,Wake Me Up,80,false,spotify:track:4h8VwCb1MTGoLKueQ1WgbD,https://api.spotify.com/v1/tracks/4h8VwCb1MTGoLKueQ1WgbD
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,The Love Club EP,spotify:album:2RHYxz7blfHR3iVxPtc25G,Lorde,spotify:artist:163tK9Wjr9P9DmM0AVK7lm,1,190185,Royals,24,false,spotify:track:0PfxFasOH971bzmGmA8vJn,https://api.spotify.com/v1/tracks/0PfxFasOH971bzmGmA8vJn
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,The Truth About Love,spotify:album:2Q9oTK48eb85waX1fFJsvj,P!nk,spotify:artist:1KCSPY1glIKqW2TotWuXOR,1,242733,Just Give Me a Reason (feat. Nate Ruess),81,false,spotify:track:1mKXFLRA179hdOWQBwUk9e,https://api.spotify.com/v1/tracks/1mKXFLRA179hdOWQBwUk9e
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,The Truth About Love,spotify:album:2Q9oTK48eb85waX1fFJsvj,Nate Ruess,spotify:artist:1qUjOF5fzrpoNycD36b2jZ,1,242733,Just Give Me a Reason (feat. Nate Ruess),81,false,spotify:track:1mKXFLRA179hdOWQBwUk9e,https://api.spotify.com/v1/tracks/1mKXFLRA179hdOWQBwUk9e
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],spotify:album:2ePFIvZKMe8zefATp9ofFA,Daft Punk,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,1,248413,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,77,false,spotify:track:2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/tracks/2Foc5Q5nqNiosCNqttzHof
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],spotify:album:2ePFIvZKMe8zefATp9ofFA,Pharrell Williams,spotify:artist:2RdwBSPQiwcmiDo9kixcl8,1,248413,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,77,false,spotify:track:2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/tracks/2Foc5Q5nqNiosCNqttzHof
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],spotify:album:2ePFIvZKMe8zefATp9ofFA,Nile Rodgers,spotify:artist:3yDIp0kaq9EFKe07X1X2rz,1,248413,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,77,false,spotify:track:2Foc5Q5nqNiosCNqttzHof,https://api.spotify.com/v1/tracks/2Foc5Q5nqNiosCNqttzHof
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,Native,spotify:album:20lOt6G8MHv8ZO7ViOmiP7,OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,1,257266,Counting Stars,80,false,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,https://api.spotify.com/v1/tracks/2tpWsVSb9UEmDRxAl1zhX1
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,The Heist,spotify:album:6XO9dbsH9zhuQgFGH0hUrb,Macklemore & Ryan Lewis,spotify:artist:5BcAKTbp20cv7tC5VqPFoC,1,258431,Can't Hold Us (feat. Ray Dalton),60,false,spotify:track:3BE0getU08uXas8ZjULABA,https://api.spotify.com/v1/tracks/3BE0getU08uXas8ZjULABA
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,The Heist,spotify:album:6XO9dbsH9zhuQgFGH0hUrb,Ray Dalton,spotify:artist:4e0nWw2r4BoQSKPQ2zpU13,1,258431,Can't Hold Us (feat. Ray Dalton),60,false,spotify:track:3BE0getU08uXas8ZjULABA,https://api.spotify.com/v1/tracks/3BE0getU08uXas8ZjULABA
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,James Arthur (Deluxe),spotify:album:029WUoBjWc7Js1QiPH3mw0,James Arthur,spotify:artist:4IWBUUAFIplrNtaOHcJPRM,1,209440,Impossible,78,false,spotify:track:5yVIlYEHZxQVLyInCdldoS,https://api.spotify.com/v1/tracks/5yVIlYEHZxQVLyInCdldoS
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,Unapologetic,spotify:album:4XBfFj0WYyh5mBtU61EdyY,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,1,240706,Stay,51,false,spotify:track:5rvSPYxUGL3Bu8BWtLj5Yw,https://api.spotify.com/v1/tracks/5rvSPYxUGL3Bu8BWtLj5Yw
spotify:playlist:0KoVDgDBjozSkzOFtSrrJI,Unapologetic,spotify:album:4XBfFj0WYyh5mBtU61EdyY,Mikky Ekko,spotify:artist:1buzCmyYZE4kcdLRudsb8V,1,240706,Stay,51,false,spotify:track:5rvSPYxUGL3Bu8BWtLj5Yw,https://api.spotify.com/v1/tracks/5rvSPYxUGL3Bu8BWtLj5Yw
