playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,We Are The World,spotify:album:2O6gXGWFJcNrLYAqDINrDa,U.S.A. For Africa,spotify:artist:7sF6m3PpW6G6m6J2gzzmzM,1,427333,We Are The World,68,false,spotify:track:3Z2tPWiNiIpg8UMMoowHIk,https://api.spotify.com/v1/tracks/3Z2tPWiNiIpg8UMMoowHIk
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,Celebration,spotify:album:3cc9LPeZ2WB7qtMuGbkwbG,Madonna,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,1,285093,Into the Groove,38,false,spotify:track:3dbiyd0OOleR4n0X3IXHjb,https://api.spotify.com/v1/tracks/3dbiyd0OOleR4n0X3IXHjb
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,Celebration,spotify:album:3cc9LPeZ2WB7qtMuGbkwbG,Madonna,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,1,224320,Crazy for You,36,false,spotify:track:1Ce0z9seMEPnOvJyMQyFep,https://api.spotify.com/v1/tracks/1Ce0z9seMEPnOvJyMQyFep
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,Fundamental As Anything,spotify:album:4hx41t6IQkOUy7exOtu7wp,Mental As Anything,spotify:artist:6PFydyUHMKD2jm5NXzRPiK,1,254200,Live It Up,36,false,spotify:track:0d4DyZYCiSH5fNnc0Hfz3L,https://api.spotify.com/v1/tracks/0d4DyZYCiSH5fNnc0Hfz3L
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,Agent Provocateur,spotify:album:4oQhDQDKMeI6IMlwpXt3j8,Foreigner,spotify:artist:6IRouO5mvvfcyxtPDKMYFN,1,304786,I Want to Know What Love Is - 1999 Remaster,78,false,spotify:track:1JLn8RhQzHz3qDqsChcmBl,https://api.spotify.com/v1/tracks/1JLn8RhQzHz3qDqsChcmBl
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,Out Of Mind Out Of Sight,spotify:album:2I0dTsIaTMvqbg23xSbbjH,Models,spotify:artist:2k0zkxxRvJKwiHQq5QfjYn,1,217466,Out Of Mind Out Of Sight,44,false,spotify:track:1tFgbvRzyEaIhnVRqCwJy9,https://api.spotify.com/v1/tracks/1tFgbvRzyEaIhnVRqCwJy9
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,Sultans Of Swing - The Very Best Of Dire Straits,spotify:album:7k7JmLusUFkgGLq9E6LnTd,Dire Straits,spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T,1,246840,Money For Nothing - Edit,57,false,spotify:track:1hXtY9yeMAcxZlBvWzjwJn,https://api.spotify.com/v1/tracks/1hXtY9yeMAcxZlBvWzjwJn
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,Baggariddim,spotify:album:6UjYrQhvKY0dq6nos8TVc8,UB40,spotify:artist:69MEO1AADKg1IZrq2XLzo5,1,189093,I Got You Babe,65,false,spotify:track:07itbZUgkAmBi4CEH5NniJ,https://api.spotify.com/v1/tracks/07itbZUgkAmBi4CEH5NniJ
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,Baggariddim,spotify:album:6UjYrQhvKY0dq6nos8TVc8,Chrissie Hynde,spotify:artist:2ozLlEZTdSV3pjHgWwZMsi,1,189093,I Got You Babe,65,false,spotify:track:07itbZUgkAmBi4CEH5NniJ,https://api.spotify.com/v1/tracks/07itbZUgkAmBi4CEH5NniJ
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,Music For Lovers,spotify:album:7i9Ifsw1L8PsGAmX6t3xOk,Jim Diamond,spotify:artist:4MC3knlcFjcW7nt2hdn4Dk,1,244506,I Should Have Known Better,37,false,spotify:track:1A6X8840ZrptR1oJu8skSW,https://api.spotify.com/v1/tracks/1A6X8840ZrptR1oJu8skSW
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,Be Yourself Tonight,spotify:album:2tbXCl8en5ZDVnHIk1OZGI,Eurythmics,spotify:artist:0NKDgy9j66h3DLnN8qu1bB,1,268240,Would I Lie to You? - Remastered Version,54,false,spotify:track:1lJZSsMoWEbrgaY6CxPMf8,https://api.spotify.com/v1/tracks/1lJZSsMoWEbrgaY6CxPMf8
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,Be Yourself Tonight,spotify:album:2tbXCl8en5ZDVnHIk1OZGI,Annie Lennox,spotify:artist:5MspMQqdVbdwP6ax3GXqum,1,268240,Would I Lie to You? - Remastered Version,54,false,spotify:track:1lJZSsMoWEbrgaY6CxPMf8,https://api.spotify.com/v1/tracks/1lJZSsMoWEbrgaY6CxPMf8
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,Be Yourself Tonight,spotify:album:2tbXCl8en5ZDVnHIk1OZGI,Dave Stewart,spotify:artist:7gcCQIlkkfbul5Mt0jBQkg,1,268240,Would I Lie to You? - Remastered Version,54,false,spotify:track:1lJZSsMoWEbrgaY6CxPMf8,https://api.spotify.com/v1/tracks/1lJZSsMoWEbrgaY6CxPMf8
spotify:playlist:0kgHtoYJSMS3pMMciC3Us4,Dancing In The Street E.P.,spotify:album:25vNR2X4RTa0UJ9aKqaXqz,David Bowie,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy,1,204786,Dancing in the Street - 2002 Remaster,56,false,spotify:track:6FnuMo55jNECTDdS1nD5H0,https://api.spotify.com/v1/tracks/6FnuMo55jNECTDdS1nD5H0
