playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,Fingerprints & Footprints - The Ultimate Collection,spotify:album:3TDimUGd7RULilf8dvoGXf,Powderfinger,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,1,278546,These Days - Two Hands Version,37,false,spotify:track:0bMRhjlfy6RPryKkYXgg2g,https://api.spotify.com/v1/tracks/0bMRhjlfy6RPryKkYXgg2g
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,Reflector,spotify:album:3Mb6ZsLgwJvTtN3C5vYcC5,Killing Heidi,spotify:artist:6eQ3AHw7yEVoX87xDS1ZiP,1,244866,Weir,0,false,spotify:track:1G5tWc6ban5YXM8zeudnOA,https://api.spotify.com/v1/tracks/1G5tWc6ban5YXM8zeudnOA
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,You Shit Me To Tears,spotify:album:0I91ZFT6sBNENS9wfyMs7h,The Tenants,spotify:artist:27dGRlNTgLJpY7I0QDZ9Vf,1,152493,You Shit Me Too Tears,0,true,spotify:track:7yu5ZPvarvXDgHdFRGS9Ke,https://api.spotify.com/v1/tracks/7yu5ZPvarvXDgHdFRGS9Ke
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,Why Try Harder - The Greatest Hits,spotify:album:5vpSQUagobcDEf6IVcmM1m,Fatboy Slim,spotify:artist:4Y7tXHSEejGu1vQ9bwDdXW,1,227973,Praise You - Radio Edit,66,false,spotify:track:2tn9zXqIZJbgL1swqwOktz,https://api.spotify.com/v1/tracks/2tn9zXqIZJbgL1swqwOktz
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,Without You I'm Nothing,spotify:album:2cDDG5rnwEgjNL8Q0cO9Zd,Placebo,spotify:artist:6RZUqkomCmb8zCRqc9eznB,1,213800,Every You Every Me,67,false,spotify:track:3tRv4ZYZimrL27flnjgeR6,https://api.spotify.com/v1/tracks/3tRv4ZYZimrL27flnjgeR6
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,Hooray For Boobies,spotify:album:7BuCGZPiQkZpyn0Wj8rxIh,Bloodhound Gang,spotify:artist:6nDLku5uL3ou60kvCGZorh,1,260506,The Bad Touch,71,true,spotify:track:5EYdTPdJD74r9EVZBztqGG,https://api.spotify.com/v1/tracks/5EYdTPdJD74r9EVZBztqGG
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,The Battle Of Los Angeles,spotify:album:2eia0myWFgoHuttJytCxgX,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,1,206200,Guerrilla Radio,70,true,spotify:track:1wsRitfRRtWyEapl0q22o8,https://api.spotify.com/v1/tracks/1wsRitfRRtWyEapl0q22o8
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,Significant Other,spotify:album:3HCCUaRSjHSFOe4fqE0BiP,Limp Bizkit,spotify:artist:165ZgPlLkK7bf5bDoFc6Sb,1,289560,Nookie,65,true,spotify:track:1TEZWG1FdjzDdercCguTwj,https://api.spotify.com/v1/tracks/1TEZWG1FdjzDdercCguTwj
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,Last Kiss,spotify:album:11BDZR6NRHwPiPy1WQr4Jf,Pearl Jam,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,1,195466,Last Kiss,71,false,spotify:track:0QnONzv3TvHAWk294h6DaQ,https://api.spotify.com/v1/tracks/0QnONzv3TvHAWk294h6DaQ
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,Californication (Deluxe Edition),spotify:album:2Y9IRtehByVkegoD7TcLfi,Red Hot Chili Peppers,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,1,215906,Scar Tissue,77,false,spotify:track:1G391cbiT3v3Cywg8T7DM1,https://api.spotify.com/v1/tracks/1G391cbiT3v3Cywg8T7DM1
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,There Is Nothing Left To Lose,spotify:album:28q2N44ocJECgf8sbHEDfY,Foo Fighters,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,1,235293,Learn to Fly,74,false,spotify:track:5OQsiBsky2k2kDKy2bX2eT,https://api.spotify.com/v1/tracks/5OQsiBsky2k2kDKy2bX2eT
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,Version 2.0 (20th Anniversary) [Remastered],spotify:album:6J4LOq9rAmNB6Ak1cBTRfa,Garbage,spotify:artist:6S0GHTqz5sxK5f9HtLXn9q,1,204527,When I Grow Up,0,false,spotify:track:3YV6WVm3UiZAaJtzEo1XqD,https://api.spotify.com/v1/tracks/3YV6WVm3UiZAaJtzEo1XqD
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,Enema Of The State,spotify:album:652N05EcNH1a4bIlUixQE2,blink-182,spotify:artist:6FBDaR13swtiWwGhX1WQsP,1,148360,What's My Age Again?,75,false,spotify:track:4LJhJ6DQS7NwE7UKtvcM52,https://api.spotify.com/v1/tracks/4LJhJ6DQS7NwE7UKtvcM52
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,Reflector,spotify:album:3Mb6ZsLgwJvTtN3C5vYcC5,Killing Heidi,spotify:artist:6eQ3AHw7yEVoX87xDS1ZiP,1,290960,Mascara,1,false,spotify:track:14f1kt8Cb36CK9EytujIVv,https://api.spotify.com/v1/tracks/14f1kt8Cb36CK9EytujIVv
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,Neon Ballroom,spotify:album:10bobqzP8mtragmflBolOM,Silverchair,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,1,222266,Ana's Song (Open Fire),49,false,spotify:track:2ZvVKaRZzeEdmTrpTrhEvR,https://api.spotify.com/v1/tracks/2ZvVKaRZzeEdmTrpTrhEvR
spotify:playlist:0wfOI2xN5nkuySdiAHS4vm,Follow The Leader,spotify:album:0gsiszk6JWYwAyGvaTTud4,Korn,spotify:artist:3RNrq3jvMZxD9ZyoOZbQOD,1,255733,Freak On a Leash,73,true,spotify:track:6W21LNLz9Sw7sUSNWMSHRu,https://api.spotify.com/v1/tracks/6W21LNLz9Sw7sUSNWMSHRu
