playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:16vk4cTY0KN7NprzluHUbn,Americana,spotify:album:2RNTBrSO8U8XjjEj9RVvZ5,The Offspring,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,1,188666,Pretty Fly (For A White Guy),72,false,spotify:track:3SFXsFpeGmBTtQvKiwYMDA,https://api.spotify.com/v1/tracks/3SFXsFpeGmBTtQvKiwYMDA
spotify:playlist:16vk4cTY0KN7NprzluHUbn,Breathing Tornadoes,spotify:album:4hcahlcdRtA6ecTmTBq4aP,Ben Lee,spotify:artist:06y1hH4hu3rcTUXHJevPCf,1,230373,Cigarettes Will Kill You,49,false,spotify:track:3gU67Zv2F5tDliqIfwuGar,https://api.spotify.com/v1/tracks/3gU67Zv2F5tDliqIfwuGar
spotify:playlist:16vk4cTY0KN7NprzluHUbn,Loverama,spotify:album:6d56WimrCEkbHu2x0WM196,Custard,spotify:artist:09NEIWHdaWneBWsjYdDnwz,1,190826,Girls Like That (Don't Go for Guys Like Us),38,false,spotify:track:6jrQpctf9Fg3btO1I7qX7X,https://api.spotify.com/v1/tracks/6jrQpctf9Fg3btO1I7qX7X
spotify:playlist:16vk4cTY0KN7NprzluHUbn,Celebrity Skin,spotify:album:2KE8WCHtD8qnAxXeIzNEId,Hole,spotify:artist:5SHQUMAmEK5KmuSb0aDvsn,1,162666,Celebrity Skin,66,false,spotify:track:2V4Bc2I962j7acQj1N0PiQ,https://api.spotify.com/v1/tracks/2V4Bc2I962j7acQj1N0PiQ
spotify:playlist:16vk4cTY0KN7NprzluHUbn,Follow The Leader,spotify:album:0gsiszk6JWYwAyGvaTTud4,Korn,spotify:artist:3RNrq3jvMZxD9ZyoOZbQOD,1,225306,Got the Life,68,true,spotify:track:6nJPHXRpKYv2yqtalEjKy5,https://api.spotify.com/v1/tracks/6nJPHXRpKYv2yqtalEjKy5
spotify:playlist:16vk4cTY0KN7NprzluHUbn,Unit,spotify:album:1M9n4vCmOH4lbcHrpt21Qy,Regurgitator,spotify:artist:6n3YUZcayLRuAunJUUelvz,1,206666,! (The Song Formerly Known As),51,true,spotify:track:4AFCrbzvR3vLfekhABLjDU,https://api.spotify.com/v1/tracks/4AFCrbzvR3vLfekhABLjDU
spotify:playlist:16vk4cTY0KN7NprzluHUbn,Slightly Odway,spotify:album:7LZLRjjAvM2xXdYbVHoPh3,Jebediah,spotify:artist:6L9bfTvOEA9BOJEIBhU4ln,1,266426,Harpoon,46,false,spotify:track:68goERlTUUjuyGNJonAZ5K,https://api.spotify.com/v1/tracks/68goERlTUUjuyGNJonAZ5K
spotify:playlist:16vk4cTY0KN7NprzluHUbn,Internationalist (Deluxe),spotify:album:27QqOCHuqkVqGPqxFU1Bhj,Powderfinger,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,1,240594,The Day You Come,45,false,spotify:track:2hmqfEQYc3i4rKDDl51hnE,https://api.spotify.com/v1/tracks/2hmqfEQYc3i4rKDDl51hnE
spotify:playlist:16vk4cTY0KN7NprzluHUbn,You Am I's #4 Record,spotify:album:3Z16nJr79Hi5j2pgOmzOu5,You Am I,spotify:artist:7GvCdRq4iHNQDsGlPWOycw,1,191600,Heavy Heart,49,false,spotify:track:5pPftjklQPooJBlE6WOQjk,https://api.spotify.com/v1/tracks/5pPftjklQPooJBlE6WOQjk
spotify:playlist:16vk4cTY0KN7NprzluHUbn,The Living End,spotify:album:06oS0RmVTCr1aye4hZpw2m,The Living End,spotify:artist:3ExT45ORJ8pT516HRZbr7G,1,176000,Save The Day,35,false,spotify:track:2tIYf79xFrYcQZTbrZyGyw,https://api.spotify.com/v1/tracks/2tIYf79xFrYcQZTbrZyGyw
spotify:playlist:16vk4cTY0KN7NprzluHUbn,The Best Of 1980 - 1990,spotify:album:0WSpHK6tinGHU4gvP8fHih,U2,spotify:artist:51Blml2LZPmy7TTiAg47vQ,1,179973,Sweetest Thing - The Single Mix,38,false,spotify:track:43HrhMlI1t3PTlgRipISqq,https://api.spotify.com/v1/tracks/43HrhMlI1t3PTlgRipISqq
spotify:playlist:16vk4cTY0KN7NprzluHUbn,Whatever And Ever Amen (Remastered Edition),spotify:album:3oz8kworUyU7oXjaEVhDsZ,Ben Folds Five,spotify:artist:44gRHbEm4Uqa0ykW0rDTNk,1,271720,Brick,57,false,spotify:track:4jKq1e80xAYixkIwt6YyV1,https://api.spotify.com/v1/tracks/4jKq1e80xAYixkIwt6YyV1
spotify:playlist:16vk4cTY0KN7NprzluHUbn,Severe Tire Damage,spotify:album:2gWAc2Sr2ESJE9K3dGB6km,They Might Be Giants,spotify:artist:6zB02lwP6L6ZH32nggQiJT,1,181533,Doctor Worm,0,false,spotify:track:3H662HkYuxhY11i1iu00JV,https://api.spotify.com/v1/tracks/3H662HkYuxhY11i1iu00JV
spotify:playlist:16vk4cTY0KN7NprzluHUbn,Dude Ranch,spotify:album:0RADUK8yTUBidzBke6Eszq,blink-182,spotify:artist:6FBDaR13swtiWwGhX1WQsP,1,199973,Josie,51,false,spotify:track:5IKqS0Kmme9uVOVjulysEV,https://api.spotify.com/v1/tracks/5IKqS0Kmme9uVOVjulysEV
spotify:playlist:16vk4cTY0KN7NprzluHUbn,The Living End,spotify:album:06oS0RmVTCr1aye4hZpw2m,The Living End,spotify:artist:3ExT45ORJ8pT516HRZbr7G,1,180093,Second Solution,44,false,spotify:track:6Y8I59vFsH7JylstXM0gnH,https://api.spotify.com/v1/tracks/6Y8I59vFsH7JylstXM0gnH
spotify:playlist:16vk4cTY0KN7NprzluHUbn,Sweet Distorted Holiday,spotify:album:5BuNpg3ERtl34N7zHbmC1S,Josh Abrahams,spotify:artist:2C18qcP3k1dkMJpByV6rZX,1,236933,Addicted to Bass,41,false,spotify:track:6Zoip8kVMOwQ0a3X2R6sG0,https://api.spotify.com/v1/tracks/6Zoip8kVMOwQ0a3X2R6sG0
spotify:playlist:16vk4cTY0KN7NprzluHUbn,All Torn Down,spotify:album:0um7VM124HNEYtQ5aGHq2s,The Living End,spotify:artist:3ExT45ORJ8pT516HRZbr7G,1,221066,Tainted Love (Live),0,false,spotify:track:3560aLgbHbWSeT1x839P0f,https://api.spotify.com/v1/tracks/3560aLgbHbWSeT1x839P0f
spotify:playlist:16vk4cTY0KN7NprzluHUbn,Guide To Better Living,spotify:album:49CodYmYUqEgYONwg5niHJ,Grinspoon,spotify:artist:04qi4CymYf3E50Mt2na4QS,1,108200,Just Ace,49,false,spotify:track:2vmsqXnxL8UTx5s79sJr5C,https://api.spotify.com/v1/tracks/2vmsqXnxL8UTx5s79sJr5C
