playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,The Heist,spotify:album:6XO9dbsH9zhuQgFGH0hUrb,Macklemore & Ryan Lewis,spotify:artist:5BcAKTbp20cv7tC5VqPFoC,1,235613,Thrift Shop (feat. Wanz),71,true,spotify:track:4YMqbFcDIFiCBd02PzUBcM,https://api.spotify.com/v1/tracks/4YMqbFcDIFiCBd02PzUBcM
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,The Heist,spotify:album:6XO9dbsH9zhuQgFGH0hUrb,Wanz,spotify:artist:56xTxG4nQMAs1GW9kvn0uA,1,235613,Thrift Shop (feat. Wanz),71,true,spotify:track:4YMqbFcDIFiCBd02PzUBcM,https://api.spotify.com/v1/tracks/4YMqbFcDIFiCBd02PzUBcM
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,My Head Is An Animal,spotify:album:4p9dVvZDaZliSjTCbFRhJy,Of Monsters and Men,spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz,1,266600,Little Talks,78,false,spotify:track:2ihCaVdNZmnHZWt0fvAM7B,https://api.spotify.com/v1/tracks/2ihCaVdNZmnHZWt0fvAM7B
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,An Awesome Wave,spotify:album:4r7s9K1QIm3jtwSMKgzlAO,alt-J,spotify:artist:3XHO7cRUPCLOr6jwp8vsx5,1,227080,Breezeblocks,0,false,spotify:track:2SAfwYPXsqAolJYlDNiMrM,https://api.spotify.com/v1/tracks/2SAfwYPXsqAolJYlDNiMrM
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,Flume,spotify:album:0cQ4rRAcQ8q5jh1cCjOET1,Flume,spotify:artist:6nxWCVXbOlEVRexSbLsTer,1,154414,Holdin On,1,false,spotify:track:1CRFWfZEfLCs7pYDlXFYMJ,https://api.spotify.com/v1/tracks/1CRFWfZEfLCs7pYDlXFYMJ
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,Babel,spotify:album:7uDfZSbrd80ylz1EgGr4Rv,Mumford & Sons,spotify:artist:3gd8FJtBJtkRxdfbTu19U2,1,276720,I Will Wait,29,false,spotify:track:0RVj1Bc4h6LLgwuNvCrsa7,https://api.spotify.com/v1/tracks/0RVj1Bc4h6LLgwuNvCrsa7
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,Free The Universe (Extended Version),spotify:album:6ikEOxRB39rK5eZyx8Wo2P,Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp,1,289973,Get Free (feat. Amber Coffman),50,false,spotify:track:7HleEYKfBF7LV930iCjdnP,https://api.spotify.com/v1/tracks/7HleEYKfBF7LV930iCjdnP
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,Free The Universe (Extended Version),spotify:album:6ikEOxRB39rK5eZyx8Wo2P,Amber Coffman,spotify:artist:4vpGVGgxSDcCTmqYbsOnsn,1,289973,Get Free (feat. Amber Coffman),50,false,spotify:track:7HleEYKfBF7LV930iCjdnP,https://api.spotify.com/v1/tracks/7HleEYKfBF7LV930iCjdnP
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,Lonerism,spotify:album:3C2MFZ2iHotUQOSBzdSvM7,Tame Impala,spotify:artist:5INjqkS1o8h1imAzPqGZBb,1,211226,Elephant,69,false,spotify:track:6qZjm61s6u8Ead9sWxCDro,https://api.spotify.com/v1/tracks/6qZjm61s6u8Ead9sWxCDro
spotify:playlist:1EtQXnrB4C7X3kRWA7M8uH,channel ORANGE (Explicit Version),spotify:album:623Ef2ZEB3Njklix4PC0Rs,Frank Ocean,spotify:artist:2h93pZq0e7k5yf4dywlkpM,1,234093,Lost,73,true,spotify:track:4L7jMAP8UcIe309yQmkdcO,https://api.spotify.com/v1/tracks/4L7jMAP8UcIe309yQmkdcO
