playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,Coyote Ugly,spotify:album:0XxoyBssbnR7VB8YmtVzLD,LeAnn Rimes,spotify:artist:2d3VHzlOEwXvmBdS4pzOPL,1,215506,Can't Fight The Moonlight,60,false,spotify:track:10FP9hm2aFfAIKEopqaG9D,https://api.spotify.com/v1/tracks/10FP9hm2aFfAIKEopqaG9D
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,Hot Shot,spotify:album:4jNUqLLTYdMHhH8Z8tt93S,Shaggy,spotify:artist:5EvFsr3kj42KNv97ZEnqij,1,227600,It Wasn't Me,2,false,spotify:track:1Bt6TZfF8FSqdiHPN0vy4u,https://api.spotify.com/v1/tracks/1Bt6TZfF8FSqdiHPN0vy4u
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,Hot Shot,spotify:album:4jNUqLLTYdMHhH8Z8tt93S,Rik Rok,spotify:artist:67wCYxOq4A1ohAs7jWYaOJ,1,227600,It Wasn't Me,2,false,spotify:track:1Bt6TZfF8FSqdiHPN0vy4u,https://api.spotify.com/v1/tracks/1Bt6TZfF8FSqdiHPN0vy4u
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,Fever,spotify:album:6FTq1YhYJLetfJQrq02gdv,Kylie Minogue,spotify:artist:4RVnAU35WRWra6OZ3CbbMA,1,230640,Can't Get You out of My Head,56,false,spotify:track:7m2g1kKuF7Tre2PzjK3Lnh,https://api.spotify.com/v1/tracks/7m2g1kKuF7Tre2PzjK3Lnh
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,Hot Shot,spotify:album:4jNUqLLTYdMHhH8Z8tt93S,Shaggy,spotify:artist:5EvFsr3kj42KNv97ZEnqij,1,235133,Angel,1,false,spotify:track:7xHsIaGEmiZunovi6oFtQz,https://api.spotify.com/v1/tracks/7xHsIaGEmiZunovi6oFtQz
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,Hot Shot,spotify:album:4jNUqLLTYdMHhH8Z8tt93S,Rayvon,spotify:artist:4hB4SmzreXMTGWYj7KQ7QN,1,235133,Angel,1,false,spotify:track:7xHsIaGEmiZunovi6oFtQz,https://api.spotify.com/v1/tracks/7xHsIaGEmiZunovi6oFtQz
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,No Name Face,spotify:album:18ttJAJKeQvaAg8cpnn9uM,Lifehouse,spotify:artist:5PokPZn11xzZXyXSfnvIM3,1,216360,Hanging By A Moment,61,false,spotify:track:6jWLyg8AuMQ9LtIB2UlfOF,https://api.spotify.com/v1/tracks/6jWLyg8AuMQ9LtIB2UlfOF
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,The Marshall Mathers LP,spotify:album:6t7956yu5zYf5A829XRiHC,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,1,404106,Stan,77,true,spotify:track:3UmaczJpikHgJFyBTAJVoz,https://api.spotify.com/v1/tracks/3UmaczJpikHgJFyBTAJVoz
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,The Marshall Mathers LP,spotify:album:6t7956yu5zYf5A829XRiHC,Dido,spotify:artist:2mpeljBig2IXLXRAFO9AAs,1,404106,Stan,77,true,spotify:track:3UmaczJpikHgJFyBTAJVoz,https://api.spotify.com/v1/tracks/3UmaczJpikHgJFyBTAJVoz
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,"Whoa, Nelly!",spotify:album:1Tm4dxG0SLeX7VgeHZO9Ix,Nelly Furtado,spotify:artist:2jw70GZXlAI8QzWeY2bgRc,1,243160,I'm Like A Bird,71,false,spotify:track:2tP7ZekzXfduShx8C6cbll,https://api.spotify.com/v1/tracks/2tP7ZekzXfduShx8C6cbll
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,Anthology,spotify:album:5klPnHQ5dy6Qm2Ul7h1lp5,Alien Ant Farm,spotify:artist:6TZdvF1kFzwnQLgHQynzsO,1,209266,Smooth Criminal,73,false,spotify:track:5z6xHjCZr7a7AIcy8sPBKy,https://api.spotify.com/v1/tracks/5z6xHjCZr7a7AIcy8sPBKy
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,Bob The Builder - The Album,spotify:album:1GOV0MJzSpNyIBm0C5QMMn,Bob The Builder,spotify:artist:52VfGq3cCGwYsc5UGObOb0,1,189440,Can We Fix It ?,0,false,spotify:track:6Fcwmde0a5L3pjRILBjoNn,https://api.spotify.com/v1/tracks/6Fcwmde0a5L3pjRILBjoNn
spotify:playlist:1bheZdoQ37UpCVP5dhxL1W,Greatest Hits,spotify:album:4PvbO2S5P0sREUCvPOhz2c,Atomic Kitten,spotify:artist:6JMHws5haIO6V35YNYDnDw,1,186688,Whole Again,22,false,spotify:track:0ONB9W9HjQMFvAB9Cqm4vo,https://api.spotify.com/v1/tracks/0ONB9W9HjQMFvAB9Cqm4vo
