playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,No Need To Argue,spotify:album:5GugLrmYMl5VRoe2zNgLGp,The Cranberries,spotify:artist:7t0rwkOPGlDPEhaOcVtOt9,1,306426,Zombie,80,false,spotify:track:2IZZqH4K02UIYg5EohpNHF,https://api.spotify.com/v1/tracks/2IZZqH4K02UIYg5EohpNHF
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,The Downward Spiral,spotify:album:7a7arAXDE0BiaMgHLhdjGF,Nine Inch Nails,spotify:artist:0X380XXQSNBYuleKzav5UO,1,373200,Closer,60,true,spotify:track:2Mv8In1IykWH5oLDc66PRC,https://api.spotify.com/v1/tracks/2Mv8In1IykWH5oLDc66PRC
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,Smash,spotify:album:7IDywTRaCI8qzS3X8tNU3x,The Offspring,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,1,257826,Self Esteem,63,false,spotify:track:1FkoVC85Ds3mFoK0fVqEqP,https://api.spotify.com/v1/tracks/1FkoVC85Ds3mFoK0fVqEqP
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,Smash,spotify:album:7IDywTRaCI8qzS3X8tNU3x,The Offspring,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,1,197800,Come Out and Play,53,false,spotify:track:5JJDu0Z5DKe7mR31MGksSg,https://api.spotify.com/v1/tracks/5JJDu0Z5DKe7mR31MGksSg
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,Frogstomp (Deluxe Edition) [Remastered],spotify:album:4kp8sfeCDUMm4JKRdrD3aC,Silverchair,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,2,265694,Tomorrow - Single Version,33,false,spotify:track:1GiZpoUewBi4QIOixG6lk6,https://api.spotify.com/v1/tracks/1GiZpoUewBi4QIOixG6lk6
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,American Thighs,spotify:album:5Mjt2iha5C99JBqTjJijg9,Veruca Salt,spotify:artist:2QwJQuBekTA4qF7N7uLHDP,1,196573,Seether,53,false,spotify:track:1SY2vughwKmVPm1Lmf5Nl7,https://api.spotify.com/v1/tracks/1SY2vughwKmVPm1Lmf5Nl7
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,MTV Unplugged In New York,spotify:album:1To7kv722A8SpZF789MZy7,Nirvana,spotify:artist:6olE6TJLqED3rqDCT0FyPh,1,218000,About A Girl,63,false,spotify:track:48YkpE5enOln5c7jXSTuHL,https://api.spotify.com/v1/tracks/48YkpE5enOln5c7jXSTuHL
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,Coma - Ep,spotify:album:3NwzcGQ81Q795hILmIXgMH,Max Sharam,spotify:artist:6Y6mjWAskanWICMUlvKvv3,1,227426,Coma,10,false,spotify:track:68zKm5OwWGhagWGUf3adia,https://api.spotify.com/v1/tracks/68zKm5OwWGhagWGUf3adia
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,The Lead And How To Swing It,spotify:album:45QU97Z1TooErTjggqMadG,Tom Jones,spotify:artist:1T0wRBO0CK0vK8ouUMqEl5,1,250560,If I Only Knew,37,false,spotify:track:6yFn1gA36FwRVkbtZzXzAX,https://api.spotify.com/v1/tracks/6yFn1gA36FwRVkbtZzXzAX
spotify:playlist:1gWoABZiOJUtGgMsHB4gle,Dead Eyes Reopened,spotify:album:5iBNmXW2qtxhA5dYBnAZZT,Severed Heads,spotify:artist:2eNJIWt0LUATAgrC6fALrH,1,231293,Dead Eyes Opened - Radio Edit,16,false,spotify:track:0T2ynl622fdmvxUFaqaXcV,https://api.spotify.com/v1/tracks/0T2ynl622fdmvxUFaqaXcV
