playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,No Cure For Cancer,spotify:album:2M3tPxLb0TEpAtJCfmTNwJ,Denis Leary,spotify:artist:1dHjpeh9OKBf1Jfg8dmO1T,1,266173,Asshole,49,false,spotify:track:5i0BBU8OZdD7EkYeA5WrSq,https://api.spotify.com/v1/tracks/5i0BBU8OZdD7EkYeA5WrSq
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,Pablo Honey,spotify:album:6400dnyeDyD2mIFHfkwHXN,Radiohead,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,1,238640,Creep,81,true,spotify:track:6b2oQwSGFkzsMtQruIWm2p,https://api.spotify.com/v1/tracks/6b2oQwSGFkzsMtQruIWm2p
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,"Everybody Else Is Doing It, So Why Can't We?",spotify:album:0AP5O47kJWlaKVnnybKvQI,The Cranberries,spotify:artist:7t0rwkOPGlDPEhaOcVtOt9,1,274706,Linger,75,false,spotify:track:0gEyKnHvgkrkBM6fbeHdwK,https://api.spotify.com/v1/tracks/0gEyKnHvgkrkBM6fbeHdwK
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,Blind Melon,spotify:album:55jET4vDioHHd7ztX7OX3h,Blind Melon,spotify:artist:5sD1ZLf2dGQ9gQ3YJl1eAd,1,217106,No Rain,74,false,spotify:track:6txWz9UapYHVxEd7dDIHXT,https://api.spotify.com/v1/tracks/6txWz9UapYHVxEd7dDIHXT
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,Last Splash,spotify:album:4fyJ3cuyKlSMSw9Q5SAiEx,The Breeders,spotify:artist:1xgFexIwrf2QjbU0buCNnp,1,213693,Cannonball,65,false,spotify:track:2hjGuRIEfEGzQ5MEWLowiU,https://api.spotify.com/v1/tracks/2hjGuRIEfEGzQ5MEWLowiU
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,Rage Against The Machine - XX (20th Anniversary Special Edition),spotify:album:4Io5vWtmV1rFj4yirKb4y4,Rage Against The Machine,spotify:artist:2d0hyoQ5ynDBnkvAbJKORj,1,313573,Killing In The Name,78,true,spotify:track:59WN2psjkt1tyaxjspN8fp,https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,Zooropa,spotify:album:0IYjMBLA9PgtXyRPlLmTDE,U2,spotify:artist:51Blml2LZPmy7TTiAg47vQ,1,416533,Lemon,49,false,spotify:track:3GtaFJ4Zx7TEBU8yUXtdOx,https://api.spotify.com/v1/tracks/3GtaFJ4Zx7TEBU8yUXtdOx
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,Vs.,spotify:album:3BSOiAas8BpJOii3kCPyjV,Pearl Jam,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,1,193426,Go (Remastered),53,false,spotify:track:7M1L2Cv5025QeywNsdfPDK,https://api.spotify.com/v1/tracks/7M1L2Cv5025QeywNsdfPDK
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,The Honeymoon Is Over,spotify:album:34EpNqm350jVI69Ehxg2w2,The Cruel Sea,spotify:artist:5m5cTNJ2RxfxKpGULocV9T,1,186600,The Honeymoon Is Over,52,false,spotify:track:5W52WxNMAOlvAuE64v6d9U,https://api.spotify.com/v1/tracks/5W52WxNMAOlvAuE64v6d9U
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,A Car Crash In The Blue (Remastered 2016),spotify:album:3FSEVDIrB92KgOykmaOg3k,Atomic Swing,spotify:artist:7BJ4OeS4NgyI4M87ZijwBI,1,243946,Stone Me Into The Groove - Remastered 2016,24,false,spotify:track:7nZ0Ef4zyUswcvcpiCIWBi,https://api.spotify.com/v1/tracks/7nZ0Ef4zyUswcvcpiCIWBi
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,Automatic For The People,spotify:album:0BiNb8HYR4JvuxUa31Z58Q,R.E.M.,spotify:artist:4KWTAlx2RvbpseOGMEmROg,1,320266,Everybody Hurts,74,false,spotify:track:6PypGyiu0Y2lCDBN1XZEnP,https://api.spotify.com/v1/tracks/6PypGyiu0Y2lCDBN1XZEnP
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,Core,spotify:album:7k1YOwYf369EX0aHeXApWp,Stone Temple Pilots,spotify:artist:2UazAtjfzqBF0Nho2awK4z,1,310346,Plush,65,false,spotify:track:3jJZVeExYzVYiV6Y9Fl3DX,https://api.spotify.com/v1/tracks/3jJZVeExYzVYiV6Y9Fl3DX
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,Greatest Hits,spotify:album:53tvjWbVNZKd3CvpENkzOC,Red Hot Chili Peppers,spotify:artist:0L8ExT028jH3ddEcZwqJJ5,1,289533,Soul to Squeeze,66,false,spotify:track:3arKRnq9OUd7yq6LRwVW8I,https://api.spotify.com/v1/tracks/3arKRnq9OUd7yq6LRwVW8I
spotify:playlist:1rijJVPves4OlJEh2Pg1bh,American Caesar,spotify:album:3f3HzLIKkqOGDAL0Iy0woi,Iggy Pop,spotify:artist:33EUXrFKGjpUSGacqEHhU4,1,345400,Wild America,23,true,spotify:track:5TbcfeXmNC6K0iEKYRZV68,https://api.spotify.com/v1/tracks/5TbcfeXmNC6K0iEKYRZV68
