playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Chiaroscuro,spotify:album:0MVMsDS0kofp6A8cbJ5kSH,Ocean Alley,spotify:artist:18lpwfiys4GtdHWNUu9qQr,1,253076,Confidence,67,false,spotify:track:7to68V64Cu6zk0UDo5tyw3,https://api.spotify.com/v1/tracks/7to68V64Cu6zk0UDo5tyw3
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Losing It,spotify:album:1kaQClLOAmvOeoUXStuOAQ,FISHER,spotify:artist:1VJ0briNOlXRtJUAzoUJdt,1,248035,Losing It,59,false,spotify:track:62WEkOD8TUO7wzkolOQW9v,https://api.spotify.com/v1/tracks/62WEkOD8TUO7wzkolOQW9v
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,ASTROWORLD,spotify:album:41GuZcammIkupMPKH2OJ6I,Travis Scott,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,1,312820,SICKO MODE,88,true,spotify:track:2xLMifQCjDGFmkHkpNLD9h,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,This Is America,spotify:album:5K9oSoVFz06kKmT7G65LIr,Childish Gambino,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,1,225773,This Is America,0,true,spotify:track:6EEchdRtnndmJHa5yRebCc,https://api.spotify.com/v1/tracks/6EEchdRtnndmJHa5yRebCc
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Love Monster,spotify:album:7M7CdUhAKyLmCFLY8z4b0P,Amy Shark,spotify:artist:2DORQjKJVYZMx9uu82UGtT,1,170413,I Said Hi,57,false,spotify:track:4gvPqK7RifS2F45o9Obo5B,https://api.spotify.com/v1/tracks/4gvPqK7RifS2F45o9Obo5B
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,A Place We Knew,spotify:album:61G7KL6rpj167r6H4CzS8C,Dean Lewis,spotify:artist:3QSQFmccmX81fWCUSPTS7y,1,196493,Be Alright,77,true,spotify:track:5qrSlOut2rNAWv3ubArkNy,https://api.spotify.com/v1/tracks/5qrSlOut2rNAWv3ubArkNy
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,In The Sky,spotify:album:3nmMmfLZCp9nw0Ol2eqP2C,Mallrat,spotify:artist:4OSArit7O2Jaj4mgf3YN7A,1,217284,Groceries,60,false,spotify:track:4x0pNOZ5r6kJMjsvsoliBm,https://api.spotify.com/v1/tracks/4x0pNOZ5r6kJMjsvsoliBm
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",spotify:album:0S0KGZnfBGSIssfF54WSJh,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,1,196077,when the party's over,86,false,spotify:track:43zdsphuZLzwA9k4DJhU0I,https://api.spotify.com/v1/tracks/43zdsphuZLzwA9k4DJhU0I
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Permanent Hermit,spotify:album:4VpC6hvK8zVWrFEyS6RKBn,Ruby Fields,spotify:artist:1nwPEi1UZdJtCxBqATpsq3,1,232094,Dinosaurs,53,false,spotify:track:6PZB6knLs42luWiiE6pCD9,https://api.spotify.com/v1/tracks/6PZB6knLs42luWiiE6pCD9
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Chiaroscuro,spotify:album:0MVMsDS0kofp6A8cbJ5kSH,Ocean Alley,spotify:artist:18lpwfiys4GtdHWNUu9qQr,1,286785,Knees,62,false,spotify:track:7fE9r2qOJmjgruk3TdW4MD,https://api.spotify.com/v1/tracks/7fE9r2qOJmjgruk3TdW4MD
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,My Own Mess,spotify:album:3Kv10ohhu4X7IwyYiNkJq5,Skegss,spotify:artist:3SGLeWc7J5Ve0CinAOrb3a,1,149623,Up In The Clouds,55,false,spotify:track:14jL8sDvHq13jE4YcMknyf,https://api.spotify.com/v1/tracks/14jL8sDvHq13jE4YcMknyf
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Beautiful People Will Ruin Your Life,spotify:album:1NAmvOOfwFLfOFmpX7Suh8,The Wombats,spotify:artist:0Ya43ZKWHTKkAbkoJJkwIB,1,207679,Turn,51,false,spotify:track:0ksLGbDH7R769GrbCarbBs,https://api.spotify.com/v1/tracks/0ksLGbDH7R769GrbCarbBs
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,TESTING,spotify:album:3MATDdrpHmQCmuOcozZjDa,A$AP Rocky,spotify:artist:13ubrt8QOOCPljQ2FL1Kca,1,205040,Praise The Lord (Da Shine) (feat. Skepta),80,true,spotify:track:7ycWLEP1GsNjVvcjawXz3z,https://api.spotify.com/v1/tracks/7ycWLEP1GsNjVvcjawXz3z
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,TESTING,spotify:album:3MATDdrpHmQCmuOcozZjDa,Skepta,spotify:artist:2p1fiYHYiXz9qi0JJyxBzN,1,205040,Praise The Lord (Da Shine) (feat. Skepta),80,true,spotify:track:7ycWLEP1GsNjVvcjawXz3z,https://api.spotify.com/v1/tracks/7ycWLEP1GsNjVvcjawXz3z
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,I'm Good,spotify:album:4XJE2ic3Z1Ir4ylBaKVVnU,Wafia,spotify:artist:0FL2d6iFFNAV3yBUbXjZ1U,1,217136,I'm Good,1,false,spotify:track:5Qlsugh2ZVlaOgPSHpI8D7,https://api.spotify.com/v1/tracks/5Qlsugh2ZVlaOgPSHpI8D7
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Between Us,spotify:album:2vrXszr7tZa7z1bbEaZPoL,Hayden James,spotify:artist:4csQIMQm6vI2A2SCVDuM2z,1,238991,Just Friends,0,true,spotify:track:5f2UCFPZuWgviljL2V5vuM,https://api.spotify.com/v1/tracks/5f2UCFPZuWgviljL2V5vuM
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Between Us,spotify:album:2vrXszr7tZa7z1bbEaZPoL,Boy Matthews,spotify:artist:2jn9JOmdrR9BdiR1LTvYG4,1,238991,Just Friends,0,true,spotify:track:5f2UCFPZuWgviljL2V5vuM,https://api.spotify.com/v1/tracks/5f2UCFPZuWgviljL2V5vuM
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Baby Come Back (triple j Like A Version),spotify:album:7EmHk42QGEN4GKk8iBL31n,Ocean Alley,spotify:artist:18lpwfiys4GtdHWNUu9qQr,1,289065,Baby Come Back,59,false,spotify:track:1eFxr88BIIqwcrvA28Y44y,https://api.spotify.com/v1/tracks/1eFxr88BIIqwcrvA28Y44y
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,lovely (with Khalid),spotify:album:2sBB17RXTamvj7Ncps15AK,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,1,200185,lovely (with Khalid),88,false,spotify:track:0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,lovely (with Khalid),spotify:album:2sBB17RXTamvj7Ncps15AK,Khalid,spotify:artist:6LuN9FCkKOj5PcnpouEgny,1,200185,lovely (with Khalid),88,false,spotify:track:0u2P5u6lvoDfwTYjAADbn4,https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Blend Inn,spotify:album:2UfPenJBfdfBH7zujqGfHm,Hockey Dad,spotify:artist:1GJ1uwDfaA8GVVpVc2I2d2,1,197665,Join The Club,0,false,spotify:track:1BRdINKi2s6bQVumdiroEy,https://api.spotify.com/v1/tracks/1BRdINKi2s6bQVumdiroEy
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Don't Feed The Pop Monster,spotify:album:1zVzO9st0ZXLCH6YmgAzYF,Broods,spotify:artist:5r5Va4lVQ1zjEfbJSrmCsS,1,255397,Peach,52,false,spotify:track:0pfRj8FdD4oW5CUIzWbZct,https://api.spotify.com/v1/tracks/0pfRj8FdD4oW5CUIzWbZct
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,BLISS,spotify:album:6IuExPC2IJUo2kuengVti3,KIAN,spotify:artist:1TulCA2zO3YxAjQ7ZsvtDq,1,215653,Waiting,58,false,spotify:track:4sCyQKAl78t9LYVTZinSEY,https://api.spotify.com/v1/tracks/4sCyQKAl78t9LYVTZinSEY
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,LO LA RU,spotify:album:43nilC7YYYMJpPP2DmXGdR,The Rubens,spotify:artist:2hrWpLNoJcs1EnWSXvB6JI,1,199786,Never Ever (feat. Sarah),0,true,spotify:track:4E2s2lCNKxbWJMwHPMzOfq,https://api.spotify.com/v1/tracks/4E2s2lCNKxbWJMwHPMzOfq
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,LO LA RU,spotify:album:43nilC7YYYMJpPP2DmXGdR,Sarah,spotify:artist:33Gx2JOUU4jrmRhjxwaOxb,1,199786,Never Ever (feat. Sarah),0,true,spotify:track:4E2s2lCNKxbWJMwHPMzOfq,https://api.spotify.com/v1/tracks/4E2s2lCNKxbWJMwHPMzOfq
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Solace,spotify:album:7o06GNJMwRUWC15bK4wmVT,RÜFÜS DU SOL,spotify:artist:5Pb27ujIyYb33zBqVysBkj,1,349893,Underwater,56,false,spotify:track:2KMT02c16COpkLxFCnCxzE,https://api.spotify.com/v1/tracks/2KMT02c16COpkLxFCnCxzE
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Solace,spotify:album:7o06GNJMwRUWC15bK4wmVT,RÜFÜS DU SOL,spotify:artist:5Pb27ujIyYb33zBqVysBkj,1,273666,Treat You Better,57,false,spotify:track:2rvsMBNzzIgp1bd9AXANu7,https://api.spotify.com/v1/tracks/2rvsMBNzzIgp1bd9AXANu7
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,The Great Expanse,spotify:album:4ROQFvVOISvh3ypktsynm1,Hilltop Hoods,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,1,194773,Leave Me Lonely,62,false,spotify:track:26gEW3DUEK0n8n5fvnYrPE,https://api.spotify.com/v1/tracks/26gEW3DUEK0n8n5fvnYrPE
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,I Love Songs,spotify:album:0CtcLS85sOL8AWNk9iri1e,Thundamentals,spotify:artist:7ymhGfvQPQLHU20RovzLMJ,1,205255,I Miss You,55,true,spotify:track:5qJg8UTHlqGENn1OX0SwV9,https://api.spotify.com/v1/tracks/5qJg8UTHlqGENn1OX0SwV9
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,All The Pretty Girls,spotify:album:6tt3amOoZSv583etjVceXK,Vera Blue,spotify:artist:5ujrA1eZLDHR7yQ6FZa2qA,1,202628,All The Pretty Girls,55,false,spotify:track:1kgw52pWfmHsXP0eAmduLg,https://api.spotify.com/v1/tracks/1kgw52pWfmHsXP0eAmduLg
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),spotify:album:35s58BRTGAEWztPo9WqCIs,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,1,158040,Sunflower - Spider-Man: Into the Spider-Verse,85,false,spotify:track:3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),spotify:album:35s58BRTGAEWztPo9WqCIs,Swae Lee,spotify:artist:1zNqQNIdeOUZHb8zbZRFMX,1,158040,Sunflower - Spider-Man: Into the Spider-Verse,85,false,spotify:track:3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Black Panther The Album Music From And Inspired By,spotify:album:3pLdWdkj83EYfDN6H2N8MR,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,1,232186,All The Stars (with SZA),80,true,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/tracks/3GCdLUSnKSMJhs4Tj6CV3s
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Black Panther The Album Music From And Inspired By,spotify:album:3pLdWdkj83EYfDN6H2N8MR,SZA,spotify:artist:7tYKF4w9nC0nq9CsPZTHyP,1,232186,All The Stars (with SZA),80,true,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/tracks/3GCdLUSnKSMJhs4Tj6CV3s
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Reprisal,spotify:album:1BJ0H6MrMADSdqHm3aadbM,Peking Duk,spotify:artist:0UZ1nu3kcdNlCoiKRjmSSY,1,226350,Fire,60,false,spotify:track:3BZkEOJwKUYRlkLWZB1izC,https://api.spotify.com/v1/tracks/3BZkEOJwKUYRlkLWZB1izC
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Cub Sport,spotify:album:4Hm95VjwQJOKi5z4GIExhI,Cub Sport,spotify:artist:6vqMDhoigg5btfdPsPTVFt,1,153685,Sometimes,45,false,spotify:track:2sqpbFR2bFI9nyJS5hqax1,https://api.spotify.com/v1/tracks/2sqpbFR2bFI9nyJS5hqax1
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Awake,spotify:album:6Jwpxghteb64iHg6ftMnNo,Alison Wonderland,spotify:artist:11gWrKZMBsGQWmobv3oNfW,1,183912,Church,56,false,spotify:track:6Apozxrk03AIyQwyswUjbt,https://api.spotify.com/v1/tracks/6Apozxrk03AIyQwyswUjbt
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,God Forgot,spotify:album:0F1cskIeosX26i18VUDETR,The Rubens,spotify:artist:2hrWpLNoJcs1EnWSXvB6JI,1,182550,God Forgot - Single Mix,0,true,spotify:track:4WI4Uvv7OLBTAdD3xNC2VO,https://api.spotify.com/v1/tracks/4WI4Uvv7OLBTAdD3xNC2VO
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,beerbongs & bentleys,spotify:album:6trNtQUgC8cgbWcqoMYkOR,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,1,231266,Better Now,84,true,spotify:track:7dt6x5M1jzdTEt8oCbisTK,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK
spotify:playlist:2AMxI8ueEFRJtCf2nU7aYP,Make My Bed,spotify:album:6VnoKML5dWRxOOEbMAPfG5,King Princess,spotify:artist:6beUvFUlKliUYJdLOXNj9C,1,225906,1950,46,true,spotify:track:0MsuUFDdKP6d3aq5jBUdTK,https://api.spotify.com/v1/tracks/0MsuUFDdKP6d3aq5jBUdTK
