playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,Sweet Best,spotify:album:710mrF7sQJjTraiDVjVE49,Sweet,spotify:artist:3JaAGmSTpJK35DqWrDUzBz,1,202960,Fox on the Run - Single Version,53,false,spotify:track:2fpKkOzGcJ1tnBDnu8kJmp,https://api.spotify.com/v1/tracks/2fpKkOzGcJ1tnBDnu8kJmp
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,Second Flight,spotify:album:5NCSNT4vDHBWpqwlHsGmmT,Pilot,spotify:artist:6PwcexHTG0qJWQQwp05Bpm,1,211920,January,40,false,spotify:track:37ncw2kChEJzbmmKMzGAoE,https://api.spotify.com/v1/tracks/37ncw2kChEJzbmmKMzGAoE
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,Abba,spotify:album:1kM6xcSYO5ASJaWgygznL7,ABBA,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,1,213266,Mamma Mia,72,false,spotify:track:2TxCwUlqaOH3TIyJqGgR91,https://api.spotify.com/v1/tracks/2TxCwUlqaOH3TIyJqGgR91
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,Anthology,spotify:album:67RkEmfKtp2JTAv21mX4Lk,Sherbet,spotify:artist:45NevEaV0GyRopWoADDPr2,1,216400,Summer Love,35,false,spotify:track:13qJfCQRQDzUfkQjROIx53,https://api.spotify.com/v1/tracks/13qJfCQRQDzUfkQjROIx53
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,Living In The 70's [remastered],spotify:album:32i7Qwqgg3Kd1qlmXWc1rH,Skyhooks,spotify:artist:1vdU5KvV0nDAjPRfpRKjRL,1,227720,Horror Movie - Remastered,46,false,spotify:track:2qeYY4SxrPLyGCdCXL6tbg,https://api.spotify.com/v1/tracks/2qeYY4SxrPLyGCdCXL6tbg
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,Love Will Keep Us Together,spotify:album:3GUxesVyOehInaxJyCTh6d,Captain & Tennille,spotify:artist:7BEfMxbaqx6dOpbtlEqScm,1,205493,Love Will Keep Us Together,61,false,spotify:track:4pCNJwixy2ImFncaPY2yE2,https://api.spotify.com/v1/tracks/4pCNJwixy2ImFncaPY2yE2
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,Horizon,spotify:album:0ESCnyuOCpztPojn8m0uqi,Carpenters,spotify:artist:1eEfMU2AhEo7XnKgL7c304,1,172733,Please Mr. Postman,63,false,spotify:track:74jZhGv0fdLaf9q8AZZ15k,https://api.spotify.com/v1/tracks/74jZhGv0fdLaf9q8AZZ15k
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,The Newcastle Song,,Bob Hudson,,0,179000,The Newcastle Song,0,false,spotify:local:Bob+Hudson:The+Newcastle+Song:The+Newcastle+Song:179,
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,Before The Next Teardrop Falls,spotify:album:3gy2ynEvSm1yV3gydcPWxd,Freddy Fender,spotify:artist:0SNdq9iJyup4XY6JbNHbt6,1,149951,Before The Next Teardrop Falls,46,false,spotify:track:2SVW5774QbmEjWfbHOEnz3,https://api.spotify.com/v1/tracks/2SVW5774QbmEjWfbHOEnz3
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,The Best of,spotify:album:1J35cqfY6NGaHIfyLXMR3o,Hush,spotify:artist:7o0zXmlrHW4OT3AZCUHMaW,1,191293,Bony Moronie,29,false,spotify:track:4LHfbj11Teq1fK57UUAsCT,https://api.spotify.com/v1/tracks/4LHfbj11Teq1fK57UUAsCT
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,Single Hit Collection,spotify:album:1WHUdNqPAXVp3jhT9CiSdg,George Baker Selection,spotify:artist:2MGJBRRGEj9m6MxJIq7fLn,1,207800,Paloma Blanca,49,false,spotify:track:37dPgiT3cY5XFbG3Ldq7zv,https://api.spotify.com/v1/tracks/37dPgiT3cY5XFbG3Ldq7zv
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,Once Upon A Star,spotify:album:2nZfNhrDCbTNnZEc4iuCcl,Bay City Rollers,spotify:artist:3r9TXuXfOUxXjgYgAR0fP8,1,170360,Bye Bye Baby,52,false,spotify:track:7wC5vOh3fQibFYWjCIotKw,https://api.spotify.com/v1/tracks/7wC5vOh3fQibFYWjCIotKw
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,Abba,spotify:album:1kM6xcSYO5ASJaWgygznL7,ABBA,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,1,195280,"I Do, I Do, I Do, I Do, I Do",56,false,spotify:track:0x5BKBAcia1th7UzcoHnD1,https://api.spotify.com/v1/tracks/0x5BKBAcia1th7UzcoHnD1
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,Good Times: Celebrating 50 Years of Albert Productions (Deluxe Edition),spotify:album:0t7lNxzMv9MlDg0N7qTODh,William Shakespeare,spotify:artist:0xZ9fVp0OnYjYPeX9Z3c8x,3,210786,My Little Angel,0,false,spotify:track:3zYZHKkuSzlePmqC0OAmRR,https://api.spotify.com/v1/tracks/3zYZHKkuSzlePmqC0OAmRR
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,On The Level,spotify:album:5dHrW2LCDQ0INMXqQMwoCi,Status Quo,spotify:artist:4gIdjgLlvgEOz7MexDZzpM,1,230200,Down Down - Single Version,38,false,spotify:track:0tzk7eYdvbXTiDIhU65EWO,https://api.spotify.com/v1/tracks/0tzk7eYdvbXTiDIhU65EWO
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,Disco Inferno,spotify:album:5C85Q4garKHMkAOnbcEyXP,Johnny Wakelin,spotify:artist:7s8sBDHfKZL7gFBtdObnTm,1,213093,Black Superman (Muhammad Ali),13,false,spotify:track:3ps9GR6GJBXmkOtlVMmXcO,https://api.spotify.com/v1/tracks/3ps9GR6GJBXmkOtlVMmXcO
spotify:playlist:2EWppXKgzkMqHO0A41vV4f,Greatest Hits,spotify:album:4YZoM4mht4aax5z4aNd5a5,Roger Whittaker,spotify:artist:6pgfx4K1p1kT0RewXjmLfk,1,238160,The Last Farewell,29,false,spotify:track:3o4IPRBby6tOJ7OEhRzr3c,https://api.spotify.com/v1/tracks/3o4IPRBby6tOJ7OEhRzr3c
