playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:2LsI85PubbxVrP4wjfagzw,The Dutchess,spotify:album:0jwuTvP3hp2jFY08VLgvnD,Fergie,spotify:artist:3r17AfJCCUqC9Lf0OAc73G,1,268120,Big Girls Don't Cry (Personal),75,false,spotify:track:3Q4WeJmzxuDpzMu9QjQqbM,https://api.spotify.com/v1/tracks/3Q4WeJmzxuDpzMu9QjQqbM
spotify:playlist:2LsI85PubbxVrP4wjfagzw,The Best Damn Thing (Expanded Edition),spotify:album:6lqE05fiHWJVYYdMVJNj38,Avril Lavigne,spotify:artist:0p4nmQO2msCgU4IF37Wi3j,1,216131,Girlfriend,74,true,spotify:track:45hOioMDJktr86iKDHC8gr,https://api.spotify.com/v1/tracks/45hOioMDJktr86iKDHC8gr
spotify:playlist:2LsI85PubbxVrP4wjfagzw,Good Girl Gone Bad,spotify:album:1YhbfKnjrFgnYyWz6cn9mN,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,1,275986,Umbrella,62,false,spotify:track:5i66xrvSh1MjjyDd6zcwgj,https://api.spotify.com/v1/tracks/5i66xrvSh1MjjyDd6zcwgj
spotify:playlist:2LsI85PubbxVrP4wjfagzw,Good Girl Gone Bad,spotify:album:1YhbfKnjrFgnYyWz6cn9mN,JAY-Z,spotify:artist:3nFkdlSjzX9mRTtwJOzDYB,1,275986,Umbrella,62,false,spotify:track:5i66xrvSh1MjjyDd6zcwgj,https://api.spotify.com/v1/tracks/5i66xrvSh1MjjyDd6zcwgj
spotify:playlist:2LsI85PubbxVrP4wjfagzw,Young Modern,spotify:album:7yDs4Q4jhZEOTivpHbllda,Silverchair,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,1,257733,Straight Lines,58,false,spotify:track:5HBDU0kn4f4hkZMjABsltT,https://api.spotify.com/v1/tracks/5HBDU0kn4f4hkZMjABsltT
spotify:playlist:2LsI85PubbxVrP4wjfagzw,Extreme Behavior,spotify:album:2SmDuZSWtjukp9gkG2mcBQ,Hinder,spotify:artist:6BMhCQJYHxxKAeqYS1p5rY,1,261853,Lips Of An Angel,72,false,spotify:track:40LQiUUUKXVGyNs09lHVjW,https://api.spotify.com/v1/tracks/40LQiUUUKXVGyNs09lHVjW
spotify:playlist:2LsI85PubbxVrP4wjfagzw,Shock Value,spotify:album:4BxB8U8QgpR4UCvJ0moj8Z,Timbaland,spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ,1,184400,Apologize,57,false,spotify:track:6q3zC9dDD4lUNk8nfUztXy,https://api.spotify.com/v1/tracks/6q3zC9dDD4lUNk8nfUztXy
spotify:playlist:2LsI85PubbxVrP4wjfagzw,Shock Value,spotify:album:4BxB8U8QgpR4UCvJ0moj8Z,OneRepublic,spotify:artist:5Pwc4xIPtQLFEnJriah9YJ,1,184400,Apologize,57,false,spotify:track:6q3zC9dDD4lUNk8nfUztXy,https://api.spotify.com/v1/tracks/6q3zC9dDD4lUNk8nfUztXy
spotify:playlist:2LsI85PubbxVrP4wjfagzw,Life In Cartoon Motion,spotify:album:6oIaXBTIZ2Q9cJKBgrZ2Ox,MIKA,spotify:artist:5MmVJVhhYKQ86izuGHzJYA,1,187733,Grace Kelly,67,false,spotify:track:2SDx0PooHZI1SQKR0y44bs,https://api.spotify.com/v1/tracks/2SDx0PooHZI1SQKR0y44bs
spotify:playlist:2LsI85PubbxVrP4wjfagzw,Back To Basics,spotify:album:0zRJsgzHZUUdk8Rjk6Segd,Christina Aguilera,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,2,194213,Candyman,65,false,spotify:track:5lUTzPuiloBHm1qEaJcJfF,https://api.spotify.com/v1/tracks/5lUTzPuiloBHm1qEaJcJfF
spotify:playlist:2LsI85PubbxVrP4wjfagzw,The Sweet Escape,spotify:album:2dhQoUl5mJz1AQXTJkXn2H,Gwen Stefani,spotify:artist:4yiQZ8tQPux8cPriYMWUFP,1,246466,The Sweet Escape,62,false,spotify:track:5BHtT1xpC44pGy1J7RKY4T,https://api.spotify.com/v1/tracks/5BHtT1xpC44pGy1J7RKY4T
spotify:playlist:2LsI85PubbxVrP4wjfagzw,The Sweet Escape,spotify:album:2dhQoUl5mJz1AQXTJkXn2H,Akon,spotify:artist:0z4gvV4rjIZ9wHck67ucSV,1,246466,The Sweet Escape,62,false,spotify:track:5BHtT1xpC44pGy1J7RKY4T,https://api.spotify.com/v1/tracks/5BHtT1xpC44pGy1J7RKY4T
spotify:playlist:2LsI85PubbxVrP4wjfagzw,Sean Kingston,spotify:album:3ULlQpS7wfGX6QOVlKvipa,Sean Kingston,spotify:artist:6S0dmVVn4udvppDhZIWxCr,1,241933,Beautiful Girls,59,false,spotify:track:064NEtcV4JQqGxAtfqvRfI,https://api.spotify.com/v1/tracks/064NEtcV4JQqGxAtfqvRfI
spotify:playlist:2LsI85PubbxVrP4wjfagzw,Shock Value,spotify:album:4BxB8U8QgpR4UCvJ0moj8Z,Timbaland,spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ,1,179120,The Way I Are,75,false,spotify:track:2bLqfJjuC5syrsgDsZfGmn,https://api.spotify.com/v1/tracks/2bLqfJjuC5syrsgDsZfGmn
spotify:playlist:2LsI85PubbxVrP4wjfagzw,Shock Value,spotify:album:4BxB8U8QgpR4UCvJ0moj8Z,Keri Hilson,spotify:artist:63wjoROpeh5f11Qm93UiJ1,1,179120,The Way I Are,75,false,spotify:track:2bLqfJjuC5syrsgDsZfGmn,https://api.spotify.com/v1/tracks/2bLqfJjuC5syrsgDsZfGmn
spotify:playlist:2LsI85PubbxVrP4wjfagzw,Shock Value,spotify:album:4BxB8U8QgpR4UCvJ0moj8Z,D.O.E.,spotify:artist:4TLCPR1sMYoNU1jA7O4uww,1,179120,The Way I Are,75,false,spotify:track:2bLqfJjuC5syrsgDsZfGmn,https://api.spotify.com/v1/tracks/2bLqfJjuC5syrsgDsZfGmn
