playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,Tea & Sympathy,spotify:album:2OICen81GDKy8Mds7OdX4I,Bernard Fanning,spotify:artist:0afemm9P2Bb2LL99xHY32n,1,151133,Wish You Well,61,false,spotify:track:48xq0DnfAKtsFjK1L7GZx9,https://api.spotify.com/v1/tracks/48xq0DnfAKtsFjK1L7GZx9
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,Awake Is the New Sleep,spotify:album:4LiDSTPH86zTRUFnu7tYam,Ben Lee,spotify:artist:06y1hH4hu3rcTUXHJevPCf,1,254106,Catch My Disease,58,false,spotify:track:4vqHz44pzFSfDNIE20QRBu,https://api.spotify.com/v1/tracks/4vqHz44pzFSfDNIE20QRBu
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,Demon Days,spotify:album:0bUTHlWbkSQysoM3VsWldT,Gorillaz,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,1,222640,Feel Good Inc.,81,false,spotify:track:0d28khcov6AiegSCpG5TuT,https://api.spotify.com/v1/tracks/0d28khcov6AiegSCpG5TuT
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,In Your Honor,spotify:album:2eprpJCYbCbPZRKVGIEJxZ,Foo Fighters,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,1,255626,Best of You,75,false,spotify:track:5FZxsHWIvUsmSK1IAvm2pp,https://api.spotify.com/v1/tracks/5FZxsHWIvUsmSK1IAvm2pp
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,Demon Days,spotify:album:0bUTHlWbkSQysoM3VsWldT,Gorillaz,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,1,244999,DARE,73,false,spotify:track:4Hff1IjRbLGeLgFgxvHflk,https://api.spotify.com/v1/tracks/4Hff1IjRbLGeLgFgxvHflk
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,Wolfmother,spotify:album:747qcmgpdnnIG6lIBwNKhO,Wolfmother,spotify:artist:3yEnArbNHyTCwMRvD9SBy4,1,294026,Mind's Eye,34,false,spotify:track:48dE0z3UmL9B9oXY4HkuCG,https://api.spotify.com/v1/tracks/48dE0z3UmL9B9oXY4HkuCG
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,Get Behind Me Satan,spotify:album:39CQ9tlFmcmE2pN6PkJWvZ,The White Stripes,spotify:artist:4F84IBURUo98rz4r61KF70,1,241840,My Doorbell,52,false,spotify:track:2KjqIRW1pRVK7o5B29UqYI,https://api.spotify.com/v1/tracks/2KjqIRW1pRVK7o5B29UqYI
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,End of Fashion,spotify:album:66MNMAKVgrGWqdfdN8VTVV,End Of Fashion,spotify:artist:5eZMLzpKYU5n4qAt5z4T13,1,179629,O Yeah,44,false,spotify:track:0m1EeQNY6qOwKxaZO4ETim,https://api.spotify.com/v1/tracks/0m1EeQNY6qOwKxaZO4ETim
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,Wolfmother,spotify:album:747qcmgpdnnIG6lIBwNKhO,Wolfmother,spotify:artist:3yEnArbNHyTCwMRvD9SBy4,1,280466,Joker And The Thief,58,false,spotify:track:2yoCk1xYdULGPV1143r7CB,https://api.spotify.com/v1/tracks/2yoCk1xYdULGPV1143r7CB
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,You Could Have It So Much Better,spotify:album:5ESRMcTy8mXMA7sHhlXM40,Franz Ferdinand,spotify:artist:0XNa1vTidXlvJ2gHSsRi4A,1,215000,Do You Want To,57,false,spotify:track:0vek0LcCbvcMtj0GkXMMJy,https://api.spotify.com/v1/tracks/0vek0LcCbvcMtj0GkXMMJy
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,The Deeper You Dig,spotify:album:2o26TBm7vgaz2JWrPrGsCU,Butterfingers,spotify:artist:14ERybNQCYthuN4NHM5uVe,1,214720,FIGJAM,45,false,spotify:track:5nikrNjcpPyofwkTwrtGC3,https://api.spotify.com/v1/tracks/5nikrNjcpPyofwkTwrtGC3
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,Datarock Datarock,spotify:album:31kH0wVVUIdu6A2auUO43R,Datarock,spotify:artist:4foARo5aSfuIuDLupoxK4k,1,187960,Computer Camp Love,0,false,spotify:track:7ACmrJKGFL5bC8k7zKInjb,https://api.spotify.com/v1/tracks/7ACmrJKGFL5bC8k7zKInjb
spotify:playlist:2M4QHNdbHfjvDsIpSmXoZe,Late Registration,spotify:album:5ll74bqtkcXlKE7wwkMq4g,Kanye West,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x,1,207626,Gold Digger,77,true,spotify:track:1PS1QMdUqOal0ai3Gt7sDQ,https://api.spotify.com/v1/tracks/1PS1QMdUqOal0ai3Gt7sDQ
