playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,Hoops,spotify:album:0AUSepZqLXKHfzqa8us2ts,The Rubens,spotify:artist:2hrWpLNoJcs1EnWSXvB6JI,1,158973,Hoops,0,false,spotify:track:46dWvPwaO8mNLgUIU35y3q,https://api.spotify.com/v1/tracks/46dWvPwaO8mNLgUIU35y3q
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,To Pimp A Butterfly,spotify:album:7ycBtnsMtyVbbwTfJwRjSP,Kendrick Lamar,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,1,234693,King Kunta,74,true,spotify:track:0N3W5peJUQtI4eyR6GJT5O,https://api.spotify.com/v1/tracks/0N3W5peJUQtI4eyR6GJT5O
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,Peace Is the Mission,spotify:album:0C7tn68LWhhw5Ez6g9LMjz,Major Lazer,spotify:artist:738wLrAtLtCtFOLvQBXOXp,1,176561,Lean On (feat. MØ & DJ Snake),60,false,spotify:track:33YmfTNoLnbkRnOjf7YIVm,https://api.spotify.com/v1/tracks/33YmfTNoLnbkRnOjf7YIVm
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,Peace Is the Mission,spotify:album:0C7tn68LWhhw5Ez6g9LMjz,MØ,spotify:artist:0bdfiayQAKewqEvaU6rXCv,1,176561,Lean On (feat. MØ & DJ Snake),60,false,spotify:track:33YmfTNoLnbkRnOjf7YIVm,https://api.spotify.com/v1/tracks/33YmfTNoLnbkRnOjf7YIVm
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,Peace Is the Mission,spotify:album:0C7tn68LWhhw5Ez6g9LMjz,DJ Snake,spotify:artist:540vIaP2JwjQb9dm3aArA4,1,176561,Lean On (feat. MØ & DJ Snake),60,false,spotify:track:33YmfTNoLnbkRnOjf7YIVm,https://api.spotify.com/v1/tracks/33YmfTNoLnbkRnOjf7YIVm
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,Currents,spotify:album:79dL7FLiJFOO0EoehUHQBv,Tame Impala,spotify:artist:5INjqkS1o8h1imAzPqGZBb,1,216320,The Less I Know The Better,85,true,spotify:track:6K4t31amVTZDgR3sKmwUJJ,https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,Currents,spotify:album:79dL7FLiJFOO0EoehUHQBv,Tame Impala,spotify:artist:5INjqkS1o8h1imAzPqGZBb,1,467586,Let It Happen,75,false,spotify:track:2X485T9Z5Ly0xyaghN73ed,https://api.spotify.com/v1/tracks/2X485T9Z5Ly0xyaghN73ed
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,Work,spotify:album:6EtBlX4LhITFUh2aAWFUGq,Marcus Marr,spotify:artist:6l5dAUNRhHnRSPPmRJSKQr,1,222066,The Trouble with Us,0,false,spotify:track:2QKOMdIoyOSVgh85W9iY8V,https://api.spotify.com/v1/tracks/2QKOMdIoyOSVgh85W9iY8V
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,Work,spotify:album:6EtBlX4LhITFUh2aAWFUGq,Chet Faker,spotify:artist:6UcJxoeHWWWyT5HZP064om,1,222066,The Trouble with Us,0,false,spotify:track:2QKOMdIoyOSVgh85W9iY8V,https://api.spotify.com/v1/tracks/2QKOMdIoyOSVgh85W9iY8V
spotify:playlist:2OwF9XXEngvETxXYxy0tAw,Thirty One,spotify:album:4kZKz4ZQCnuKWV6MqOR2H2,Jarryd James,spotify:artist:23IZADrJHPStZ6aMxJVq3s,1,234866,Do You Remember,53,false,spotify:track:5V53dAjgNInfXNlz2cryvd,https://api.spotify.com/v1/tracks/5V53dAjgNInfXNlz2cryvd
