playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,Daddy Who? Daddy Cool (40th Anniversary Edition),spotify:album:4ZejRTERcKwWr0bc8CslGV,Daddy Cool,spotify:artist:5ht2HGrvbN9eDWJarHsou6,1,250066,Eagle Rock - 2011 Remaster,61,false,spotify:track:2nCXuFS4Dt4BpHkxA9rhPL,https://api.spotify.com/v1/tracks/2nCXuFS4Dt4BpHkxA9rhPL
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,All Things Must Pass (Remastered),spotify:album:4I4xtHaIFOzhZfp1NIHkY6,George Harrison,spotify:artist:7FIoB5PHdrMZVC3q2HE5MS,1,281226,My Sweet Lord - 2014 Mix,75,false,spotify:track:0qdQUeKVyevrbKhAo0ibxS,https://api.spotify.com/v1/tracks/0qdQUeKVyevrbKhAo0ibxS
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,In the Summertime,spotify:album:1ow7YkmWVvEXo372DtmlN5,The Mixtures,spotify:artist:3uPSzsWGSzQZfihkPkAvfN,1,150933,The Pushbike Song,28,false,spotify:track:5dEXK48tQLwSLC1MvXGOnF,https://api.spotify.com/v1/tracks/5dEXK48tQLwSLC1MvXGOnF
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,Novelty Songs of the 60s & 70s,spotify:album:5UtItpZQyR2GFgsa7qwTfX,Drummond,spotify:artist:5BXtjft527FfVIZHpBRXns,1,160533,Daddy Cool,8,false,spotify:track:2eEpUnoZynvyUpN8bBm7dk,https://api.spotify.com/v1/tracks/2eEpUnoZynvyUpN8bBm7dk
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,16 Greatest Hits,spotify:album:4SMpKmioHN4VSb6f5rqzhl,Susan Raye,spotify:artist:09efpf4ONuA3Ezctd8lXza,1,171000,L.A. International Airport,38,false,spotify:track:3ep2JeuUdSlMm8JfwKbY15,https://api.spotify.com/v1/tracks/3ep2JeuUdSlMm8JfwKbY15
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,Helen Reddy's Greatest Hits (And More),spotify:album:2CGgJ9PpKXTDCEvJ6qS9AV,Helen Reddy,spotify:artist:0Sq7oGrYEe0BDmb13wgjOO,1,198800,I Don't Know How To Love Him,29,false,spotify:track:0tA6LjhrON1eOtWI0URxSp,https://api.spotify.com/v1/tracks/0tA6LjhrON1eOtWI0URxSp
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,Candida,spotify:album:3SZtvt7lV1H4YN9tKVURJR,Tony Orlando & Dawn,spotify:artist:72NXpYBIaTfEeAAsxXLs0P,1,177173,Knock Three Times,55,false,spotify:track:5eieTS268veCXyZoLoy7eP,https://api.spotify.com/v1/tracks/5eieTS268veCXyZoLoy7eP
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,Hopelessly Devoted: The Hits,spotify:album:4LZhAy9UsJ0EiqqeKyrlts,Olivia Newton-John,spotify:artist:4BoRxUdrcgbbq1rxJvvhg9,1,194293,Banks of the Ohio,32,false,spotify:track:6Sq8sCfsDR0345z088YFgU,https://api.spotify.com/v1/tracks/6Sq8sCfsDR0345z088YFgU
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,Rose Garden,spotify:album:2JItlMgM1n2GfKOmqYr8af,Lynn Anderson,spotify:artist:502FY8XQYRxClWgolQ3Hf2,1,175866,Rose Garden,61,false,spotify:track:5YwgJ6lpZ3SiAQwBEpjqey,https://api.spotify.com/v1/tracks/5YwgJ6lpZ3SiAQwBEpjqey
spotify:playlist:2P4qsHuiq8iTOKkHk0N5td,Zoot Out,spotify:album:4E7csP8lJS47Ynxs8elHwQ,Zoot,spotify:artist:6nv55DhqbeO8YUWFCfFAys,1,286746,Eleanor Rigby,28,false,spotify:track:195BSMZC1sjaNqt8NziMh5,https://api.spotify.com/v1/tracks/195BSMZC1sjaNqt8NziMh5
