playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,One Crowded Hour,spotify:album:7Ea81j1UQ7grnSTYlDS6eU,Augie March,spotify:artist:0vntgse6gPZfthoW8kTTlR,1,252800,One Crowded Hour - Single Mix,19,false,spotify:track:25wSwwSTdUlOpGtEMLd3ED,https://api.spotify.com/v1/tracks/25wSwwSTdUlOpGtEMLd3ED
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,"Black Fingernails, Red Wine",spotify:album:4PXy3cBCNeY0ZVKTOGi9Cw,Eskimo Joe,spotify:artist:3yW6jTzGjHUUkLvLkjLOVn,1,249866,"Black Fingernails, Red Wine",54,false,spotify:track:0ujklxrVM2jwpLMgbTwTd1,https://api.spotify.com/v1/tracks/0ujklxrVM2jwpLMgbTwTd1
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,The Hard Road,spotify:album:3hhsUxpI0FiklhuQSriOfL,Hilltop Hoods,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,1,246066,The Hard Road,51,true,spotify:track:58dBZbrdTDicJK8r3JYx1h,https://api.spotify.com/v1/tracks/58dBZbrdTDicJK8r3JYx1h
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Sam's Town,spotify:album:4o3RJndRhHxkieQzQGhmbw,The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,1,220426,When You Were Young,76,false,spotify:track:70wYA8oYHoMzhRRkARoMhU,https://api.spotify.com/v1/tracks/70wYA8oYHoMzhRRkARoMhU
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,I Don't Feel Like Dancin',spotify:album:6LPpLYrjQYKtMfDUT1qjOz,Scissor Sisters,spotify:artist:3Y10boYzeuFCJ4Qgp53w6o,1,248640,I Don't Feel Like Dancin' - Radio Edit,68,false,spotify:track:1qEHgdFqUxFebMPk8s2HLY,https://api.spotify.com/v1/tracks/1qEHgdFqUxFebMPk8s2HLY
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Crazy,spotify:album:323bSBwrb7OYVl545Ea9Rw,Gnarls Barkley,spotify:artist:5SbkVQYYzlw1kte75QIabH,1,180786,Crazy - Single Version,55,false,spotify:track:6FlAGda9qkDhTU7ctFM4uG,https://api.spotify.com/v1/tracks/6FlAGda9qkDhTU7ctFM4uG
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Eyes Open,spotify:album:6fb7z9rBdrjzpBTg1R1Bwp,Snow Patrol,spotify:artist:3rIZMv9rysU7JkLzEaC5Jp,1,267933,Chasing Cars,78,false,spotify:track:11bD1JtSjlIgKgZG2134DZ,https://api.spotify.com/v1/tracks/11bD1JtSjlIgKgZG2134DZ
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Like Drawing Blood,spotify:album:7IMJkt2cilySuhCrU79cDm,Gotye,spotify:artist:2AsusXITU8P25dlRNhcAbG,1,366093,Hearts a Mess,44,false,spotify:track:4tFkgfdi8b3aNcKNthPqIF,https://api.spotify.com/v1/tracks/4tFkgfdi8b3aNcKNthPqIF
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Black Holes and Revelations,spotify:album:0lw68yx3MhKflWFqCsGkIs,Muse,spotify:artist:12Chz98pHFMPJEknJQMWvI,1,240213,Starlight,73,false,spotify:track:3skn2lauGk7Dx6bVIt5DVj,https://api.spotify.com/v1/tracks/3skn2lauGk7Dx6bVIt5DVj
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Gravity Won't Get You High,spotify:album:5jkmGLzdUI8VF8Ix7WZ0EY,The Grates,spotify:artist:0aWSylARSZCDo7vTDgvKbb,1,125266,19-20-20,34,false,spotify:track:0Hl5gfxuTN16XQ2RpmGUNN,https://api.spotify.com/v1/tracks/0Hl5gfxuTN16XQ2RpmGUNN
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Hollywood,spotify:album:6ulRZ2L40faRYo4HTVyWSE,Little Birdy,spotify:artist:3h18aXqdmm2F13t6LIbTpq,1,232866,Come On Come On,39,false,spotify:track:2g381K6Sdvf4RYNsfdCLKh,https://api.spotify.com/v1/tracks/2g381K6Sdvf4RYNsfdCLKh
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Funky Tonight,spotify:album:154MODEgGVMPBziR4pjw1W,John Butler Trio,spotify:artist:6fBF4MULW5yMzyGaon1kUt,1,221693,Funky Tonight,16,false,spotify:track:74YfH2NYgPiKT4azcVyibA,https://api.spotify.com/v1/tracks/74YfH2NYgPiKT4azcVyibA
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,The Black Parade,spotify:album:0FZK97MXMm5mUQ8mtudjuK,My Chemical Romance,spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb,1,311106,Welcome to the Black Parade,77,false,spotify:track:5wQnmLuC1W7ATsArWACrgW,https://api.spotify.com/v1/tracks/5wQnmLuC1W7ATsArWACrgW
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Oh No,spotify:album:1qN6qh1gwgrYTCdSq21gov,OK Go,spotify:artist:3hozsZ9hqNq7CoBGYNlFTz,1,179813,Here It Goes Again,64,false,spotify:track:1pHP4JeQV9wDx87D6qH9hD,https://api.spotify.com/v1/tracks/1pHP4JeQV9wDx87D6qH9hD
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,"Alright, Still",spotify:album:45hzatvfEcADFQx8ENl4vs,Lily Allen,spotify:artist:13saZpZnCDWOI9D4IJhp1f,1,196893,Smile,58,true,spotify:track:3NK28cXAkO5JIM7YOiCQAx,https://api.spotify.com/v1/tracks/3NK28cXAkO5JIM7YOiCQAx
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Writer's Block,spotify:album:5g4E06cxsFEMFE9hSekAt2,Peter Bjorn and John,spotify:artist:6u11Qbko2N2hP4lTBYjX86,1,276693,Young Folks,70,false,spotify:track:4dyx5SzxPPaD8xQIid5Wjj,https://api.spotify.com/v1/tracks/4dyx5SzxPPaD8xQIid5Wjj
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Gravity Won't Get You High,spotify:album:5jkmGLzdUI8VF8Ix7WZ0EY,The Grates,spotify:artist:0aWSylARSZCDo7vTDgvKbb,1,177800,Science Is Golden,27,false,spotify:track:5mHzutY6iIWF5nkAuLAp4B,https://api.spotify.com/v1/tracks/5mHzutY6iIWF5nkAuLAp4B
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Black Holes and Revelations,spotify:album:0lw68yx3MhKflWFqCsGkIs,Muse,spotify:artist:12Chz98pHFMPJEknJQMWvI,1,212439,Supermassive Black Hole,73,false,spotify:track:3lPr8ghNDBLc2uZovNyLs9,https://api.spotify.com/v1/tracks/3lPr8ghNDBLc2uZovNyLs9
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Lupe Fiasco's Food & Liquor,spotify:album:0TDJRkEr2SrhWTetdkEzED,Lupe Fiasco,spotify:artist:01QTIT5P1pFP3QnnFSdsJf,1,254466,"Kick, Push",62,false,spotify:track:6nz35DNIzbtj5ztpDEcW1j,https://api.spotify.com/v1/tracks/6nz35DNIzbtj5ztpDEcW1j
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Begin to Hope,spotify:album:4L4tcx3itXbtx5kuchKhFE,Regina Spektor,spotify:artist:3z6Gk257P9jNcZbBXJNX5i,1,226680,Fidelity,61,false,spotify:track:1J2WmkS1Z18AuDWZCgIC5K,https://api.spotify.com/v1/tracks/1J2WmkS1Z18AuDWZCgIC5K
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Casino Twilight Dogs,spotify:album:7JgWdCGMBwJkYb91oiFzxd,Youth Group,spotify:artist:51K48NCxjB11t9eqUWWoIq,1,239120,Forever Young,53,false,spotify:track:3tFECpGckFpp0HpQje78gi,https://api.spotify.com/v1/tracks/3tFECpGckFpp0HpQje78gi
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,"10,000 Days",spotify:album:1fvWYcbjuycyHpzNPH1Vfk,TOOL,spotify:artist:2yEwvVSSSUkcLeSTNyHKh8,1,426680,Vicarious,64,false,spotify:track:65ShmiE5aLBdcIGr7tHX35,https://api.spotify.com/v1/tracks/65ShmiE5aLBdcIGr7tHX35
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,The Hard Road,spotify:album:3hhsUxpI0FiklhuQSriOfL,Hilltop Hoods,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,1,231920,Clown Prince,46,true,spotify:track:4cwKSCNNKmEohjYaumz6yW,https://api.spotify.com/v1/tracks/4cwKSCNNKmEohjYaumz6yW
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Show Your Bones,spotify:album:3lgIiynXHTZYaSvS1ZrMxG,Yeah Yeah Yeahs,spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,1,187133,Gold Lion,51,false,spotify:track:6tuiDRFaXOBqFLpeTBjAAn,https://api.spotify.com/v1/tracks/6tuiDRFaXOBqFLpeTBjAAn
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Meds,spotify:album:7cfTTszDP3KgMjtxhE8Re7,Placebo,spotify:artist:6RZUqkomCmb8zCRqc9eznB,1,175386,Meds,55,false,spotify:track:5fVTi3rIiLvsEVYp0cRvaI,https://api.spotify.com/v1/tracks/5fVTi3rIiLvsEVYp0cRvaI
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Meds,spotify:album:7cfTTszDP3KgMjtxhE8Re7,Alison Mosshart,spotify:artist:5rexG906fVLfq8H9m8J9P9,1,175386,Meds,55,false,spotify:track:5fVTi3rIiLvsEVYp0cRvaI,https://api.spotify.com/v1/tracks/5fVTi3rIiLvsEVYp0cRvaI
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Le fil,spotify:album:2Ee68ldGNltX6l3KpTgvIZ,Camille,spotify:artist:0gOsZcHl7H3ewXVIEnWFZX,1,186933,Ta douleur,47,false,spotify:track:53CPBUZViJhspNT8nuAO9L,https://api.spotify.com/v1/tracks/53CPBUZViJhspNT8nuAO9L
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,First Impressions Of Earth,spotify:album:5rAS8AGeGH1KBxcjTzpVKA,The Strokes,spotify:artist:0epOFNiUfyON9EYx7Tpr6V,1,189226,You Only Live Once,1,false,spotify:track:46Y1VsEbWAQ7dIZe1gpnve,https://api.spotify.com/v1/tracks/46Y1VsEbWAQ7dIZe1gpnve
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Broken Boy Soldiers,spotify:album:081eh90v7ySHxO74HaCfHD,The Saboteurs,spotify:artist:4v6SkSiozHCZkpB9XhcK4o,1,215266,"Steady, As She Goes",49,false,spotify:track:1ePtQy58lLwPS0iYXCsM2s,https://api.spotify.com/v1/tracks/1ePtQy58lLwPS0iYXCsM2s
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,"10,000 Days",spotify:album:1fvWYcbjuycyHpzNPH1Vfk,TOOL,spotify:artist:2yEwvVSSSUkcLeSTNyHKh8,1,381946,The Pot,68,true,spotify:track:1lATXTBJDHwawvT1UfxWu3,https://api.spotify.com/v1/tracks/1lATXTBJDHwawvT1UfxWu3
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,"Whatever People Say I Am, That's What I'm Not",spotify:album:50Zz8CkIhATKUlQMbHO3k1,Arctic Monkeys,spotify:artist:7Ln80lUS6He07XvHI8qqHH,1,202133,When The Sun Goes Down,72,false,spotify:track:2zzLRQ78kKfPTx8FJQCdC2,https://api.spotify.com/v1/tracks/2zzLRQ78kKfPTx8FJQCdC2
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Sam's Town,spotify:album:4o3RJndRhHxkieQzQGhmbw,The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,1,227000,Bones,59,false,spotify:track:4shKoD4U0rsE6UDjyPEjyK,https://api.spotify.com/v1/tracks/4shKoD4U0rsE6UDjyPEjyK
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Imago,spotify:album:2uxABhDhgm9sgP1NLcmHHi,The Butterfly Effect,spotify:artist:0kns2X0IFTXafgOGd2IlKJ,1,247413,Gone,34,false,spotify:track:6l0ClLPGAyepANEDR0Odj7,https://api.spotify.com/v1/tracks/6l0ClLPGAyepANEDR0Odj7
spotify:playlist:2Pr0bCCA9BqU5gE0vqo1F2,Drop It In Their Laps,spotify:album:5dLCJNnsjIQ6cF16XGovkU,The Cops,spotify:artist:6RjLSL3aujRVd3cfoqzVYo,1,229280,Call Me Anytime,29,false,spotify:track:1IAblWsakuyzl79WdTaytA,https://api.spotify.com/v1/tracks/1IAblWsakuyzl79WdTaytA
