playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,Picture This (20th Anniversary Edition),spotify:album:2ddZd59LSTHIyH8QGSisjY,Wet Wet Wet,spotify:artist:2u0gw0uCWBMiqV7h0N8kai,1,246240,"Love Is All Around - From ""Four Weddings And A Funeral""",69,false,spotify:track:0PCGfA36HrVPmsBZJ57zOU,https://api.spotify.com/v1/tracks/0PCGfA36HrVPmsBZJ57zOU
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,All-4-One,spotify:album:4L5ZA0GukWNWjsk9b7HHDy,All-4-One,spotify:artist:1B8ySGDAiXTCvnJNH4HSCG,1,259853,I Swear,67,false,spotify:track:4WUnM4KNZ0kjp0CUeoyOnS,https://api.spotify.com/v1/tracks/4WUnM4KNZ0kjp0CUeoyOnS
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,With Love From ... PolyGram 50th Anniversary,spotify:album:3giWEYwjC0ueqLhXyrIb9z,Bon Jovi,spotify:artist:58lV9VcRSjABbAbfWS6skp,1,288506,Always - Radio Edit,9,false,spotify:track:6yw8ti7gYNiyj6bDQRiDLz,https://api.spotify.com/v1/tracks/6yw8ti7gYNiyj6bDQRiDLz
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,Walthamstow,spotify:album:5hVUeW05qGAIc1YA3h2Y7O,East 17,spotify:artist:6lOC7lwSO1ql4Gc2Y3QObY,1,280961,It's Alright - The Guvnor Mix,52,false,spotify:track:0hiUOCWNdPefjaEAjcJ8Cq,https://api.spotify.com/v1/tracks/0hiUOCWNdPefjaEAjcJ8Cq
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,Happy Nation (U.S. Version),spotify:album:37UgOnkBN4ZfY1nBoSCL9L,Ace of Base,spotify:artist:5ksRONqssB7BR161NTtJAm,1,191240,The Sign,4,false,spotify:track:3Gxku40T2RGPqtLYpFAngP,https://api.spotify.com/v1/tracks/3Gxku40T2RGPqtLYpFAngP
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,All The Way... A Decade Of Song,spotify:album:6NXCAZgAzjPmueK0ZgYgba,Céline Dion,spotify:artist:4S9EykWXhStSc15wEx8QFK,1,286560,The Power of Love - Radio Edit,31,false,spotify:track:4XirXgiFAD1vak1gbNURfI,https://api.spotify.com/v1/tracks/4XirXgiFAD1vak1gbNURfI
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,II,spotify:album:1DjxZpmeR9Dzu9tF4J44S7,Boyz II Men,spotify:artist:6O74knDqdv3XaWtkII7Xjp,1,236760,I'll Make Love To You,67,false,spotify:track:7dfl9X38RhIvB3oSmmneq3,https://api.spotify.com/v1/tracks/7dfl9X38RhIvB3oSmmneq3
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,Ultimate,spotify:album:3AUHDaXUhZimlDLFh4sTDV,Bryan Adams,spotify:artist:3Z02hBLubJxuFJfhacLSDc,1,272306,Please Forgive Me,54,false,spotify:track:3c9dGbSYmZLIui9H02Aot9,https://api.spotify.com/v1/tracks/3c9dGbSYmZLIui9H02Aot9
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,Frogstomp (Deluxe Edition) [Remastered],spotify:album:4kp8sfeCDUMm4JKRdrD3aC,Silverchair,spotify:artist:4iudEcmuPlYNdbP3e1bdn1,2,265694,Tomorrow - Single Version,33,false,spotify:track:1GiZpoUewBi4QIOixG6lk6,https://api.spotify.com/v1/tracks/1GiZpoUewBi4QIOixG6lk6
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,Ultimate,spotify:album:3AUHDaXUhZimlDLFh4sTDV,Bryan Adams,spotify:artist:3Z02hBLubJxuFJfhacLSDc,1,283706,"All For Love - From ""The Three Musketeers""",53,false,spotify:track:035aFnfIrO25Hy4PRP6GC7,https://api.spotify.com/v1/tracks/035aFnfIrO25Hy4PRP6GC7
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,Ultimate,spotify:album:3AUHDaXUhZimlDLFh4sTDV,Sting,spotify:artist:0Ty63ceoRnnJKVEYP0VQpk,1,283706,"All For Love - From ""The Three Musketeers""",53,false,spotify:track:035aFnfIrO25Hy4PRP6GC7,https://api.spotify.com/v1/tracks/035aFnfIrO25Hy4PRP6GC7
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,Ultimate,spotify:album:3AUHDaXUhZimlDLFh4sTDV,Rod Stewart,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,1,283706,"All For Love - From ""The Three Musketeers""",53,false,spotify:track:035aFnfIrO25Hy4PRP6GC7,https://api.spotify.com/v1/tracks/035aFnfIrO25Hy4PRP6GC7
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,The Best Of Crystal Waters,spotify:album:3u9FnafwttOYXAz9fznSAg,Crystal Waters,spotify:artist:2sd9Q3r0Jhqpe3w9WVuG43,1,278626,100% Pure Love,55,false,spotify:track:0dfQwyoZoS9LgQiU6AJO7f,https://api.spotify.com/v1/tracks/0dfQwyoZoS9LgQiU6AJO7f
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,Slave To The Music,spotify:album:0YEAWwNhPrcevDDX50MgOF,Twenty 4 Seven,spotify:artist:39QjUR6m5slbxO36zayaMq,1,244066,Slave To The Music,51,false,spotify:track:2QzyjSN4WlRHMFfN3r6Ca3,https://api.spotify.com/v1/tracks/2QzyjSN4WlRHMFfN3r6Ca3
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,"Peace, Love & Harmony",spotify:album:6Dvs8Sy0kCLhx0yDWvIhym,Cut 'N' Move,spotify:artist:2OQkm6IvTu9MeHkGQQ4cSK,1,265200,Give It Up,47,false,spotify:track:1Hh5gDiXZGhtKfHzJYYhSJ,https://api.spotify.com/v1/tracks/1Hh5gDiXZGhtKfHzJYYhSJ
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,God Shuffled His Feet,spotify:album:6MEFBcD0a87GMYiHW3VsVI,Crash Test Dummies,spotify:artist:1YEGETLT2p8k97LIo3deHL,1,235173,Mmm Mmm Mmm Mmm,56,false,spotify:track:76nvqWPFucUra1xCkN1tnD,https://api.spotify.com/v1/tracks/76nvqWPFucUra1xCkN1tnD
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,Very Necessary,spotify:album:2W2EmEpud13QHlhCFS9P8g,Salt-N-Pepa,spotify:artist:7wqtxqI3eo7Gn1P7SpP6cQ,1,248573,Shoop,68,false,spotify:track:0Pu71wxadDlB8fJXfjIjeJ,https://api.spotify.com/v1/tracks/0Pu71wxadDlB8fJXfjIjeJ
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,Music Box,spotify:album:2NKxb7pk04CuZab5udkGUl,Mariah Carey,spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ,1,213666,Without You,70,false,spotify:track:1kMOJBmpfWD9fir6st9uqS,https://api.spotify.com/v1/tracks/1kMOJBmpfWD9fir6st9uqS
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,Pure... Dancefloor,spotify:album:6B3ZiCj8iO85ObTBaNKH7m,The Grid,spotify:artist:1fN3lF5RILxJeG9H8EhEDo,3,237453,Swamp Thing,27,false,spotify:track:3aozHICM9xNuS7v7EKeGWC,https://api.spotify.com/v1/tracks/3aozHICM9xNuS7v7EKeGWC
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,90s Dance Party,spotify:album:32Kg54stbikptqcaRKIGqq,Jam & Spoon,spotify:artist:2MIKLLJyOv1o5u49KRbfH7,1,228127,Right in the Night (Radio Edit),25,false,spotify:track:1Vi2btiSfOhHrdqg0HumOh,https://api.spotify.com/v1/tracks/1Vi2btiSfOhHrdqg0HumOh
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,The Best Of Big Mountain,spotify:album:4QHFXQLRwZx5122InHluo5,Big Mountain,spotify:artist:0Jeckitay8SbvKwqAzWuYH,1,249520,"Baby, I Love Your Way",70,false,spotify:track:1Rvl8qsKJurfFTyWLBI9ib,https://api.spotify.com/v1/tracks/1Rvl8qsKJurfFTyWLBI9ib
spotify:playlist:2UeM3cfMqlyLBlXU2DQ5G6,The Best Of Big Mountain,spotify:album:4QHFXQLRwZx5122InHluo5,Tom Lord-Alge,spotify:artist:32ckuKo8LrZhQMyCehYKkt,1,249520,"Baby, I Love Your Way",70,false,spotify:track:1Rvl8qsKJurfFTyWLBI9ib,https://api.spotify.com/v1/tracks/1Rvl8qsKJurfFTyWLBI9ib
