playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",spotify:album:0S0KGZnfBGSIssfF54WSJh,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,1,194087,bad guy,88,false,spotify:track:2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Rushing Back,spotify:album:4d2YOjyPDopVhOkksaALJj,Flume,spotify:artist:6nxWCVXbOlEVRexSbLsTer,1,231663,Rushing Back,72,false,spotify:track:2zoNNEAyPK2OGDfajardlY,https://api.spotify.com/v1/tracks/2zoNNEAyPK2OGDfajardlY
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Rushing Back,spotify:album:4d2YOjyPDopVhOkksaALJj,Vera Blue,spotify:artist:5ujrA1eZLDHR7yQ6FZa2qA,1,231663,Rushing Back,72,false,spotify:track:2zoNNEAyPK2OGDfajardlY,https://api.spotify.com/v1/tracks/2zoNNEAyPK2OGDfajardlY
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Driving Music,spotify:album:2gC8d0zIJRa13cs0KQBxr5,Mallrat,spotify:artist:4OSArit7O2Jaj4mgf3YN7A,1,190953,Charlie,61,false,spotify:track:4H24vduqzowuXiZ06CidCr,https://api.spotify.com/v1/tracks/4H24vduqzowuXiZ06CidCr
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Dance Monkey,spotify:album:31IDBea3eEs57a0joX6TjN,Tones And I,spotify:artist:2NjfBq1NflQcKSeiDooVjY,1,209754,Dance Monkey,70,false,spotify:track:1rgnBhdG2JDFTbYkYRZAku,https://api.spotify.com/v1/tracks/1rgnBhdG2JDFTbYkYRZAku
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Bulls On Parade (triple j Like A Version),spotify:album:6mxOHdO9aBhSpixGmhrxP3,Denzel Curry,spotify:artist:6fxyWrfmjcbj5d12gXeiNV,1,269686,Bulls On Parade - triple j Like A Version,53,true,spotify:track:5FI3HtW6HGrQ0LCOBMbNo3,https://api.spotify.com/v1/tracks/5FI3HtW6HGrQ0LCOBMbNo3
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,About Us,spotify:album:7eNmrX5IGaahhYeUgnFYfr,G Flip,spotify:artist:4SdIXLzfabqU61iK7SnKAU,1,220627,Drink Too Much,0,false,spotify:track:5Y7N4lIY5G1zX3miUBJLLg,https://api.spotify.com/v1/tracks/5Y7N4lIY5G1zX3miUBJLLg
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Robbery,spotify:album:44z3Y440N9zArT55GONVBe,Lime Cordiale,spotify:artist:6yrtCy4XJHXM6tczo4RlTs,1,223233,Robbery,61,false,spotify:track:4SRtBFocTtcaWP3etJb7GK,https://api.spotify.com/v1/tracks/4SRtBFocTtcaWP3etJb7GK
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Heavy Hearted,spotify:album:6TqyOjnzxtdboeo8XiSYcj,The Jungle Giants,spotify:artist:6wFwvxJkurQPU2UdeD4qVt,1,256581,Heavy Hearted,65,false,spotify:track:3yXgttblOo006gd4eGOvw1,https://api.spotify.com/v1/tracks/3yXgttblOo006gd4eGOvw1
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Better in Blak,spotify:album:0QuumkXPKBWR7wOKUfqQ34,Thelma Plum,spotify:artist:0C6qzW0Am8OVyHSoT57fnC,1,192466,Better in Blak,57,true,spotify:track:1c5iUY7Zg1SxtROg1yr5ad,https://api.spotify.com/v1/tracks/1c5iUY7Zg1SxtROg1yr5ad
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,The Great Expanse,spotify:album:4ROQFvVOISvh3ypktsynm1,Hilltop Hoods,spotify:artist:7dlqUnjoF2U2DkNDMhcgG4,1,223386,Exit Sign,64,true,spotify:track:4c2cdWv3GLKoP12tY0OzZl,https://api.spotify.com/v1/tracks/4c2cdWv3GLKoP12tY0OzZl
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,The Great Expanse,spotify:album:4ROQFvVOISvh3ypktsynm1,Illy,spotify:artist:6NFyaN9PMCDZ3LKxGwHAXt,1,223386,Exit Sign,64,true,spotify:track:4c2cdWv3GLKoP12tY0OzZl,https://api.spotify.com/v1/tracks/4c2cdWv3GLKoP12tY0OzZl
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,The Great Expanse,spotify:album:4ROQFvVOISvh3ypktsynm1,Ecca Vandal,spotify:artist:0NhKCHTPG7Sz62S3zxV1Cf,1,223386,Exit Sign,64,true,spotify:track:4c2cdWv3GLKoP12tY0OzZl,https://api.spotify.com/v1/tracks/4c2cdWv3GLKoP12tY0OzZl
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Hollywood's Bleeding,spotify:album:4g1ZRSobMefqF6nelkgibi,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,1,215280,Circles,90,false,spotify:track:21jGcNKet2qwijlDFuPiPb,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Almost Free,spotify:album:35RAviMCBGn0yEnxEU1Bb6,FIDLAR,spotify:artist:3P6duIn7oHeiBACZfYeNud,1,214640,By Myself,49,true,spotify:track:3zd71pqDjqgaO2RluRBVgI,https://api.spotify.com/v1/tracks/3zd71pqDjqgaO2RluRBVgI
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Inappropriate Behaviour,spotify:album:5ba8H8cdgeBRItvryKyzoY,Lime Cordiale,spotify:artist:6yrtCy4XJHXM6tczo4RlTs,1,253066,Inappropriate Behaviour,59,false,spotify:track:0Ma58HrmhNi0UrOCnAXXBt,https://api.spotify.com/v1/tracks/0Ma58HrmhNi0UrOCnAXXBt
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Purple Hat,spotify:album:4L9MrIcjiPN4luIoWP8XgG,Sofi Tukker,spotify:artist:586uxXMyD5ObPuzjtrzO1Q,1,178369,Purple Hat,73,false,spotify:track:0bGH7ezs7WdDwpqnsvGf1z,https://api.spotify.com/v1/tracks/0bGH7ezs7WdDwpqnsvGf1z
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Never Seen the Rain,spotify:album:1BYByciKxjYwhRSrWlEjWu,Tones And I,spotify:artist:2NjfBq1NflQcKSeiDooVjY,1,200755,Never Seen the Rain,66,false,spotify:track:2grAr8pWMuLWn8ZYEE9wDV,https://api.spotify.com/v1/tracks/2grAr8pWMuLWn8ZYEE9wDV
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,everything i wanted,spotify:album:4i3rAwPw7Ln2YrKDusaWyT,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,1,245425,everything i wanted,87,false,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,https://api.spotify.com/v1/tracks/3ZCTVFBt2Brf31RLEnCkWJ
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,I Touch Myself (triple j Like A Version),spotify:album:2e2AsIKRWO0M6WKdXskOVc,Lime Cordiale,spotify:artist:6yrtCy4XJHXM6tczo4RlTs,1,215308,I Touch Myself - triple j Like A Version,60,false,spotify:track:2BrsEZqObLdNQEh6degzqS,https://api.spotify.com/v1/tracks/2BrsEZqObLdNQEh6degzqS
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Borderline,spotify:album:5zGidcaAvNahQrYhyQwAQn,Tame Impala,spotify:artist:5INjqkS1o8h1imAzPqGZBb,1,274293,Borderline,11,false,spotify:track:3O8X1DE9btbzy4UH9cSX9a,https://api.spotify.com/v1/tracks/3O8X1DE9btbzy4UH9cSX9a
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,FIRE ON MARZZ,spotify:album:6pTMhQX8gt1xegiIwo3Ekb,BENEE,spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4,1,180146,Glitter,75,false,spotify:track:23TPP1eeElFfvYVznskwCY,https://api.spotify.com/v1/tracks/23TPP1eeElFfvYVznskwCY
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Silver,spotify:album:7sLvNttS5lCrfnUarPA6I4,DMA'S,spotify:artist:1iUTUix5kea176M0uJTsh4,1,259858,Silver,48,false,spotify:track:4btMH7yHiugUpIpKLvDLFa,https://api.spotify.com/v1/tracks/4btMH7yHiugUpIpKLvDLFa
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,The Clap,spotify:album:7xdPI2oOZc3ohmtwnrvqeN,The Chats,spotify:artist:1aQ7P3HtKOQFW16ebjiks1,1,145840,Pub Feed,27,true,spotify:track:4AvqbWlfQPoUlr6BdPfu1I,https://api.spotify.com/v1/tracks/4AvqbWlfQPoUlr6BdPfu1I
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Free Time,spotify:album:6b5iXFsc488so2TO4kUHfr,Ruel,spotify:artist:5xkAtLTf309LAGZTbvULBn,1,213506,Painkiller,76,false,spotify:track:1YlulsUKDduOmC7WxvXYPW,https://api.spotify.com/v1/tracks/1YlulsUKDduOmC7WxvXYPW
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,IGOR,spotify:album:5zi7WsKlIiUXv09tbGLKsE,"Tyler, The Creator",spotify:artist:4V8LLVI7PbaPR0K2TGSxFF,1,190066,EARFQUAKE,81,true,spotify:track:5hVghJ4KaYES3BFUATCYn0,https://api.spotify.com/v1/tracks/5hVghJ4KaYES3BFUATCYn0
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Infinity,spotify:album:1rUd6nwEBnbY6oOIOJnenZ,Ocean Alley,spotify:artist:18lpwfiys4GtdHWNUu9qQr,1,233466,Infinity,54,false,spotify:track:65wl0TYoyrBFJtotwJiDHl,https://api.spotify.com/v1/tracks/65wl0TYoyrBFJtotwJiDHl
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,STELLA & STEVE,spotify:album:3ZJSoxsPMkNC9eb6gUn0Q8,BENEE,spotify:artist:0Cp8WN4V8Tu4QJQwCN5Md4,1,192613,Find an Island,67,false,spotify:track:4Ve0Jx7MXjU4aPrFHJRZK7,https://api.spotify.com/v1/tracks/4Ve0Jx7MXjU4aPrFHJRZK7
spotify:playlist:2fvJzgA7Sajgj8tjPxvFQK,Johnny Run Away,spotify:album:7xXGPdbrUMXClnSMOIdTlW,Tones And I,spotify:artist:2NjfBq1NflQcKSeiDooVjY,1,193450,Johnny Run Away,58,false,spotify:track:0vHmuAr3iAuGBAqMmraa05,https://api.spotify.com/v1/tracks/0vHmuAr3iAuGBAqMmraa05
