playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,True Colours,spotify:album:4PV25yINyoxdyK8GIJNZoh,Split Enz,spotify:artist:0Upmz8QvuLAkKAfRlJYWTL,1,209440,I Got You,55,false,spotify:track:6GDsiYn5LvddnJjkJ2H0p5,https://api.spotify.com/v1/tracks/6GDsiYn5LvddnJjkJ2H0p5
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,Turning Japanese - Best Of The Vapors,spotify:album:24Qpjb4s9cf0HI6VsQgl39,The Vapors,spotify:artist:4K3NWDwBIxgktui14SccR2,1,225186,Turning Japanese,52,false,spotify:track:30cHDhxUqgnHq78hv5UjMx,https://api.spotify.com/v1/tracks/30cHDhxUqgnHq78hv5UjMx
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,The Game (2011 Remaster),spotify:album:58alCatewkjNm9IM1Ucj67,Queen,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,1,163373,Crazy Little Thing Called Love - Remastered 2011,74,false,spotify:track:6xdLJrVj4vIXwhuG8TMopk,https://api.spotify.com/v1/tracks/6xdLJrVj4vIXwhuG8TMopk
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,A Collection Of Great Dance Songs,spotify:album:2YRKb8nnxH7FFe9Vwtd0Ql,Pink Floyd,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,1,230866,"Another Brick in the Wall, Pt. 2",34,false,spotify:track:09BINxFxiDeywjfC39nRFi,https://api.spotify.com/v1/tracks/09BINxFxiDeywjfC39nRFi
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,Pretenders (Expanded & Remastered),spotify:album:4oDYsMBe7KtOu12VNMO75k,Pretenders,spotify:artist:0GByy3DcfbQwDvXGCWmzv9,1,185960,Brass in Pocket - 2006 Remaster,66,false,spotify:track:2hvOsGJc6qll4WzW8Ljqc3,https://api.spotify.com/v1/tracks/2hvOsGJc6qll4WzW8Ljqc3
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,Can't Stop the Music (Original Soundtrack 1980),spotify:album:4oIOg6AgN5cTIQPk00RAWS,Village People,spotify:artist:0dCKce6tJJdHvlWnDMwzPW,1,218000,Can't Stop the Music,48,false,spotify:track:6Zt8AY95aCa2ZfF2omg3jY,https://api.spotify.com/v1/tracks/6Zt8AY95aCa2ZfF2omg3jY
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,Space Invaders,spotify:album:1c0sHG15Zh8J4si9DUMPwM,Player 1,spotify:artist:6msUfcWG8ncvGbWfDUeHwD,1,344221,Space Invaders,25,false,spotify:track:3L0mVxjD0YZ2a47CJpz9sI,https://api.spotify.com/v1/tracks/3L0mVxjD0YZ2a47CJpz9sI
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,Have You Ever Been In Love,spotify:album:4RCRnNfAuLvHefHdxSPx39,Leo Sayer,spotify:artist:04LIHk1SobiQwt2tlupoAV,1,222666,More Than I Can Say,43,false,spotify:track:4IPIBUz5SU0xVbgVetqPVo,https://api.spotify.com/v1/tracks/4IPIBUz5SU0xVbgVetqPVo
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,'80s Pop #1's,spotify:album:4Z1n0xes29RVzPttal9QOY,Lipps Inc.,spotify:artist:0lwRI7lvmlRY5DiA5Xa6wQ,1,245413,Funkytown - Single Version,46,false,spotify:track:0B5kY9i9bmP7554oU4jRoO,https://api.spotify.com/v1/tracks/0B5kY9i9bmP7554oU4jRoO
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,Do You Wanna Go Party,spotify:album:3veSKEBvveTdMZk35f6QBs,KC & The Sunshine Band,spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo,1,230440,Please Don't Go,59,false,spotify:track:4zoZQvmST8gliv9S9L8lUw,https://api.spotify.com/v1/tracks/4zoZQvmST8gliv9S9L8lUw
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,Tired of Toein' the Line,spotify:album:7Hrd2DWOXmb2kTtNthbaFW,Rocky Burnette,spotify:artist:6JGUkLiRAWMNYaHdUCIUvC,1,223373,Tired of Toein' the Line,42,false,spotify:track:3E3K8IXR3o7XOBvaGE2e55,https://api.spotify.com/v1/tracks/3E3K8IXR3o7XOBvaGE2e55
spotify:playlist:2jJRQb9kK1ascWqMgwMP8t,The Essential Michael Jackson,spotify:album:77dNyQA0z8dV33M4so4eRY,Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,1,351346,Don't Stop 'Til You Get Enough - Single Version,44,false,spotify:track:6AZZzlQD1FThgAcWIgu3g1,https://api.spotify.com/v1/tracks/6AZZzlQD1FThgAcWIgu3g1
