playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:2lutut73NrLGdbaxUPs4l4,Eaten Alive,spotify:album:1Sj3WCDLJc8N9EYyS6wnLD,Diana Ross,spotify:artist:3MdG05syQeRYPPcClLaUGl,1,230533,Chain Reaction,58,false,spotify:track:1it9umP1j9qSqzKbSLLqqy,https://api.spotify.com/v1/tracks/1it9umP1j9qSqzKbSLLqqy
spotify:playlist:2lutut73NrLGdbaxUPs4l4,The Very Best of Billy Ocean,spotify:album:7n4OT3zEZaEiyKKd6mFAhi,Billy Ocean,spotify:artist:5IDs1CK15HegSAhGEbSYXo,1,248000,"When the Going Gets Tough, The Tough Get Going",63,false,spotify:track:5UU5FbITNm5OunvHQdsKME,https://api.spotify.com/v1/tracks/5UU5FbITNm5OunvHQdsKME
spotify:playlist:2lutut73NrLGdbaxUPs4l4,Touch Me,spotify:album:3BfE57vIoC1YSLbqkDoaWC,Samantha Fox,spotify:artist:0ym94xKp2PIOJtTZKpxbAa,1,225986,Touch Me (I Want Your Body),47,false,spotify:track:0z3WXu8NBUDOOLlLqFU6qT,https://api.spotify.com/v1/tracks/0z3WXu8NBUDOOLlLqFU6qT
spotify:playlist:2lutut73NrLGdbaxUPs4l4,True Confessions (Collector's Edition),spotify:album:6CVuruIUWoYViZM97wgq9h,Bananarama,spotify:artist:3sc7iUG1Wwpwx7bHeZolgx,1,229164,Venus,65,false,spotify:track:4XX1pFUkQOZTYp6Hb6a6Ae,https://api.spotify.com/v1/tracks/4XX1pFUkQOZTYp6Hb6a6Ae
spotify:playlist:2lutut73NrLGdbaxUPs4l4,Wa Wa Nee,spotify:album:4oA6B7kcWN3xfmhDIPPKjP,Wa Wa Nee,spotify:artist:5h3WBrCy3VcEj0IGf347dz,1,235760,Stimulation,29,false,spotify:track:6gpi2XrYL2CGOZKkdTB7vu,https://api.spotify.com/v1/tracks/6gpi2XrYL2CGOZKkdTB7vu
spotify:playlist:2lutut73NrLGdbaxUPs4l4,Top Gun - Motion Picture Soundtrack (Special Expanded Edition),spotify:album:6K8iDZW8jPaoiqSzFFebJA,Berlin,spotify:artist:2aS6jYh7ysTL1ZUsHneNgM,1,255733,"Take My Breath Away - Love Theme from ""Top Gun""",71,false,spotify:track:15MJ5NThPjj6xhPcts8MiY,https://api.spotify.com/v1/tracks/15MJ5NThPjj6xhPcts8MiY
spotify:playlist:2lutut73NrLGdbaxUPs4l4,Top Of The Pops - 1986,spotify:album:2SFyhk0Mk8am1XMgdcAtGM,Cliff Richard,spotify:artist:2nvKpWcP8etYTq4JrRiUiy,2,257000,Living Doll,21,false,spotify:track:4YSB6XYTw4YFchE0Q6DhJb,https://api.spotify.com/v1/tracks/4YSB6XYTw4YFchE0Q6DhJb
spotify:playlist:2lutut73NrLGdbaxUPs4l4,Top Of The Pops - 1986,spotify:album:2SFyhk0Mk8am1XMgdcAtGM,The Young Ones,spotify:artist:4H33gMULrlY7pIWJnwYTpy,2,257000,Living Doll,21,false,spotify:track:4YSB6XYTw4YFchE0Q6DhJb,https://api.spotify.com/v1/tracks/4YSB6XYTw4YFchE0Q6DhJb
spotify:playlist:2lutut73NrLGdbaxUPs4l4,Top Of The Pops - 1986,spotify:album:2SFyhk0Mk8am1XMgdcAtGM,Hank Marvin,spotify:artist:3Bet1o6dTKJG8o4HcrbI37,2,257000,Living Doll,21,false,spotify:track:4YSB6XYTw4YFchE0Q6DhJb,https://api.spotify.com/v1/tracks/4YSB6XYTw4YFchE0Q6DhJb
spotify:playlist:2lutut73NrLGdbaxUPs4l4,Feargal Sharkey,spotify:album:1fnuPLerUrbVfzcHyY6H5N,Feargal Sharkey,spotify:artist:3zk5lgbVEre0rKRBqiKt0T,1,281800,A Good Heart,59,false,spotify:track:4umQbcdBF3YVsNBvvnFLiX,https://api.spotify.com/v1/tracks/4umQbcdBF3YVsNBvvnFLiX
