playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,"Greatest Remix Hits, Vol. 2",spotify:album:2BgVGKUP2FFUr0fiunNtAg,Kylie Minogue,spotify:artist:4RVnAU35WRWra6OZ3CbbMA,1,195866,The Loco-Motion,4,false,spotify:track:59RiBJyBigEVyTXZKhtmJV,https://api.spotify.com/v1/tracks/59RiBJyBigEVyTXZKhtmJV
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,La Bamba (Original Motion Picture Soundtrack),spotify:album:1WXtfqXeeROVckzEtoYvdk,Los Lobos,spotify:artist:6OWapcJm9xd55ci9CYbAuT,1,174200,La Bamba,50,false,spotify:track:1LeDn7zwuFLzqbqNiZ53an,https://api.spotify.com/v1/tracks/1LeDn7zwuFLzqbqNiZ53an
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,Ultimate Hits: Rock And Roll Never Forgets,spotify:album:5HLuIHrmhJ64gTWAFgNj9Z,Bob Seger,spotify:artist:485uL27bPomh29R4JmQehQ,1,195253,Old Time Rock And Roll - Remastered,41,false,spotify:track:5jQI0mj9xWX6m8TymhzWll,https://api.spotify.com/v1/tracks/5jQI0mj9xWX6m8TymhzWll
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,Beside You,spotify:album:6PtsG1TZhAWMz4Vl28cuES,Dave Dobbyn,spotify:artist:5bYfbDXaMVCxEt7hOAvEWc,1,277266,Slice of Heaven,1,false,spotify:track:2DLkQzNRBgaAbCX4MscyTC,https://api.spotify.com/v1/tracks/2DLkQzNRBgaAbCX4MscyTC
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,F.L.M. (Deluxe Edition),spotify:album:6mrIxuwdKXXao4SOgte0Lv,Mel & Kim,spotify:artist:4k7b3DWqBnYpobDWbNWLdM,1,202640,Respectable,51,false,spotify:track:1q8yOvrVNiZtMuEujDuSPP,https://api.spotify.com/v1/tracks/1q8yOvrVNiZtMuEujDuSPP
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,Another Step,spotify:album:7g47QK9nosKX9B2zdd8yTs,Kim Wilde,spotify:artist:73a6pNH4YtLNgDbPQwXveo,1,255220,You Keep Me Hangin On,61,false,spotify:track:1wEeNtO7z41aUqC80shxqK,https://api.spotify.com/v1/tracks/1wEeNtO7z41aUqC80shxqK
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,Different Light,spotify:album:7v7kpwwk6JXKS3klilqXV7,The Bangles,spotify:artist:51l0uqRxGaczYr4271pVIC,1,204933,Walk Like an Egyptian,51,false,spotify:track:5ZEKq8JRtVVXZXEZ9eI9Wf,https://api.spotify.com/v1/tracks/5ZEKq8JRtVVXZXEZ9eI9Wf
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,Man Of Colours,spotify:album:5Pf2kkz10HySmJjWu2Fhd4,ICEHOUSE,spotify:artist:3IUisqn0mluZR0LITs8Sqk,1,263680,Electric Blue,58,false,spotify:track:5aWvinQcbc1W1WdP0GQ6J1,https://api.spotify.com/v1/tracks/5aWvinQcbc1W1WdP0GQ6J1
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,Boom Boom,spotify:album:5We3nvfti9OU3hJcxZkuXf,Paul Lekakis,spotify:artist:5T5nmu5zNxNJHGdWMfcUkx,1,416426,Boom Boom,39,false,spotify:track:6QypjtLLKmIyLZqnOli07s,https://api.spotify.com/v1/tracks/6QypjtLLKmIyLZqnOli07s
spotify:playlist:2oE9VgA9outsqKnF8Ilgda,The Final Countdown (Expanded Edition),spotify:album:5Jkd47JEaCU1g4DcGBnHm3,Europe,spotify:artist:7Js6Lde8thlIHXggv2SCBz,1,310333,The Final Countdown,76,false,spotify:track:3MrRksHupTVEQ7YbA0FsZK,https://api.spotify.com/v1/tracks/3MrRksHupTVEQ7YbA0FsZK
