playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,Recovery,spotify:album:47BiFcV59TQi2s9SkBo2pb,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,1,263373,Love The Way You Lie,81,true,spotify:track:15JINEqzVMv3SvJTAXAKED,https://api.spotify.com/v1/tracks/15JINEqzVMv3SvJTAXAKED
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,Recovery,spotify:album:47BiFcV59TQi2s9SkBo2pb,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,1,263373,Love The Way You Lie,81,true,spotify:track:15JINEqzVMv3SvJTAXAKED,https://api.spotify.com/v1/tracks/15JINEqzVMv3SvJTAXAKED
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,Raymond v Raymond (Expanded Edition),spotify:album:6A1F3Fkq5dYeYYNkXflcTX,Usher,spotify:artist:23zg3TcAtWQy7J6upgbUnj,1,269493,OMG (feat. will.i.am),71,false,spotify:track:1bM50INir8voAkVoKuvEUI,https://api.spotify.com/v1/tracks/1bM50INir8voAkVoKuvEUI
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,Raymond v Raymond (Expanded Edition),spotify:album:6A1F3Fkq5dYeYYNkXflcTX,will.i.am,spotify:artist:085pc2PYOi8bGKj0PNjekA,1,269493,OMG (feat. will.i.am),71,false,spotify:track:1bM50INir8voAkVoKuvEUI,https://api.spotify.com/v1/tracks/1bM50INir8voAkVoKuvEUI
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,Rokstarr (Special Edition),spotify:album:7CCqoU4oEIV3bSLm75IL5n,Taio Cruz,spotify:artist:6MF9fzBmfXghAz953czmBC,1,202626,Dynamite,55,false,spotify:track:4lYKuF88iTBrppJoq03ujE,https://api.spotify.com/v1/tracks/4lYKuF88iTBrppJoq03ujE
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,"Save Me, San Francisco (Golden Gate Edition)",spotify:album:1CwXS6MAz8Wo7K4TzW9iuR,Train,spotify:artist:3FUY2gzHeIiaesXtOAdB7A,1,216773,"Hey, Soul Sister",83,false,spotify:track:4HlFJV71xXKIGcU3kRyttv,https://api.spotify.com/v1/tracks/4HlFJV71xXKIGcU3kRyttv
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,Teenage Dream: The Complete Confection,spotify:album:4zLOhyT4XIzyyl7KoSHWcE,Katy Perry,spotify:artist:6jJ0s89eD6GaHleKKya26X,1,234653,California Gurls,41,false,spotify:track:7DjQUa8BrQevCPtQc0YwmL,https://api.spotify.com/v1/tracks/7DjQUa8BrQevCPtQc0YwmL
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,Teenage Dream: The Complete Confection,spotify:album:4zLOhyT4XIzyyl7KoSHWcE,Snoop Dogg,spotify:artist:7hJcb9fa4alzcOq3EaNPoG,1,234653,California Gurls,41,false,spotify:track:7DjQUa8BrQevCPtQc0YwmL,https://api.spotify.com/v1/tracks/7DjQUa8BrQevCPtQc0YwmL
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,Ocean Eyes,spotify:album:3vf65wfk1EEjVhy6BjENsS,Owl City,spotify:artist:07QEuhtrNmmZ0zEcqE9SF6,1,228346,Fireflies,79,false,spotify:track:3DamFFqW32WihKkTVlwTYQ,https://api.spotify.com/v1/tracks/3DamFFqW32WihKkTVlwTYQ
spotify:playlist:35AzQATJbDOQaLoFIxGhVG,Loud,spotify:album:7vN82vd1Vq44fjlhjfvHJp,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,1,235493,Only Girl (In The World),72,false,spotify:track:0AH6WMe3OlAlUb5miXt2FQ,https://api.spotify.com/v1/tracks/0AH6WMe3OlAlUb5miXt2FQ
