playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,The Untouchable,spotify:album:7vdGNd7La8onpnF4k6EUR9,Alvin Stardust,spotify:artist:2yoCXbhsq5CqLCnzDR7a7l,1,165719,My Coo Ca Choo,40,false,spotify:track:4LDjgf7egcQGxeGRjEfrSk,https://api.spotify.com/v1/tracks/4LDjgf7egcQGxeGRjEfrSk
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,Billy Don't Be A Hero,spotify:album:4wcSa3LqH3JOQC7DTVIzpp,Paper Lace,spotify:artist:33W24YuaMUEk85MwRX6cRs,1,210120,Billy Don’t Be A Hero,43,false,spotify:track:48RP92BBNCGybHpdQ8NuIO,https://api.spotify.com/v1/tracks/48RP92BBNCGybHpdQ8NuIO
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,Hard Road,spotify:album:2Slr9ZSZ8MEGdsJpLz0d1Y,Stevie Wright,spotify:artist:4tyua0wKtVDZVBVlRwyBRl,1,240000,Evie (Part One),55,false,spotify:track:0rSckbp0aam2nGy1ri9Aty,https://api.spotify.com/v1/tracks/0rSckbp0aam2nGy1ri9Aty
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,Billy Don't Be A Hero,spotify:album:4wcSa3LqH3JOQC7DTVIzpp,Paper Lace,spotify:artist:33W24YuaMUEk85MwRX6cRs,1,203333,The Night Chicago Died,52,false,spotify:track:4f4RRYN3R7glPElFjeoUnC,https://api.spotify.com/v1/tracks/4f4RRYN3R7glPElFjeoUnC
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,70s 100 Hits,spotify:album:1k7WkNHGPNPnri2tsowvtg,Terry Jacks,spotify:artist:09dDdtfi4mWLdC2BHOrIrl,1,205586,Seasons in the Sun,53,false,spotify:track:6AhUX0ObPgTnS5GGFrRidN,https://api.spotify.com/v1/tracks/6AhUX0ObPgTnS5GGFrRidN
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,Australian TV's Greatest Hits,spotify:album:6bGpzRxQXiSqMiXunhhH90,Grahame Bond,spotify:artist:5RbZTXmqcxoaORHCcaaoED,1,91946,"Farewell Aunty Jack (Theme From The ""Aunty Jack Show"")",0,false,spotify:track:6M4auxnE2Eh20nuKcEmDwN,https://api.spotify.com/v1/tracks/6M4auxnE2Eh20nuKcEmDwN
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,Good Times: Celebrating 50 Years of Albert Productions (Deluxe Edition),spotify:album:0t7lNxzMv9MlDg0N7qTODh,William Shakespeare,spotify:artist:0xZ9fVp0OnYjYPeX9Z3c8x,3,192946,Can't Stop Myself from Loving You,0,false,spotify:track:0Hst1J9zYm2eLaJbuZxI4F,https://api.spotify.com/v1/tracks/0Hst1J9zYm2eLaJbuZxI4F
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,Long Hard Climb,spotify:album:50qDHoXQ1QASk26kNQTW5l,Helen Reddy,spotify:artist:0Sq7oGrYEe0BDmb13wgjOO,1,207826,Leave Me Alone (Ruby Red Dress),24,false,spotify:track:1Am9G7F2qJq4EtD65ALTEf,https://api.spotify.com/v1/tracks/1Am9G7F2qJq4EtD65ALTEf
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,Sweet Best,spotify:album:710mrF7sQJjTraiDVjVE49,Sweet,spotify:artist:3JaAGmSTpJK35DqWrDUzBz,1,241746,The Ballroom Blitz,48,false,spotify:track:61ZVP6ytLwYnbLonbJtzR6,https://api.spotify.com/v1/tracks/61ZVP6ytLwYnbLonbJtzR6
spotify:playlist:3GxlQrYDedjZBHZMDEj7ow,Hopelessly Devoted: The Hits,spotify:album:4LZhAy9UsJ0EiqqeKyrlts,Olivia Newton-John,spotify:artist:4BoRxUdrcgbbq1rxJvvhg9,1,217665,I Honestly Love You,52,false,spotify:track:2iTpAjIM15wHKpV36xKG1e,https://api.spotify.com/v1/tracks/2iTpAjIM15wHKpV36xKG1e
