playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,Anthony Callea,spotify:album:3TMFDmGy36fjZ3LePYnU91,Anthony Callea,spotify:artist:4ajzEXRIqw9kvEQQR4femH,1,255360,The Prayer,36,false,spotify:track:2r9LMUnfsxtDqIZF8ByZ8n,https://api.spotify.com/v1/tracks/2r9LMUnfsxtDqIZF8ByZ8n
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,PCD,spotify:album:53zV9rZ5yfWgigsmuJtYpG,The Pussycat Dolls,spotify:artist:6wPhSqRtPu1UhRCDX5yaDJ,1,272080,Don't Cha,71,false,spotify:track:0BxfFnk0YzONqvmrkO0QrB,https://api.spotify.com/v1/tracks/0BxfFnk0YzONqvmrkO0QrB
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,PCD,spotify:album:53zV9rZ5yfWgigsmuJtYpG,Busta Rhymes,spotify:artist:1YfEcTuGvBQ8xSD1f53UnK,1,272080,Don't Cha,71,false,spotify:track:0BxfFnk0YzONqvmrkO0QrB,https://api.spotify.com/v1/tracks/0BxfFnk0YzONqvmrkO0QrB
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,Trouble,spotify:album:6rlTdXLpnOufwfL0SbWLDf,Akon,spotify:artist:0z4gvV4rjIZ9wHck67ucSV,1,235800,Lonely,67,true,spotify:track:1IpYDWB31L1CxDQZztadSi,https://api.spotify.com/v1/tracks/1IpYDWB31L1CxDQZztadSi
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,Axel F,spotify:album:5x9RcfEnSFlFlwk7LtkkUp,Crazy Frog,spotify:artist:4J3wzDMI97AlGimdiVcaLb,1,174173,Axel F - Radio Edit,37,false,spotify:track:0l4TlcPYMS9SibM8O7zzLU,https://api.spotify.com/v1/tracks/0l4TlcPYMS9SibM8O7zzLU
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,Suit,spotify:album:7xt2MWlSFHNP2NcHWE4W3b,Nelly,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw,1,253933,Over And Over,61,true,spotify:track:2b8QQqf8Vwb7bfz22ja8Fk,https://api.spotify.com/v1/tracks/2b8QQqf8Vwb7bfz22ja8Fk
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,Suit,spotify:album:7xt2MWlSFHNP2NcHWE4W3b,Tim McGraw,spotify:artist:6roFdX1y5BYSbp60OTJWMd,1,253933,Over And Over,61,true,spotify:track:2b8QQqf8Vwb7bfz22ja8Fk,https://api.spotify.com/v1/tracks/2b8QQqf8Vwb7bfz22ja8Fk
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,Lost And Found,spotify:album:2Zn6qjbnBEy1f6KRBk2S93,Will Smith,spotify:artist:41qil2VaGbD194gaEcmmyx,1,196653,Switch,57,false,spotify:track:2bmxx16hNi3W5FGzfFO9xX,https://api.spotify.com/v1/tracks/2bmxx16hNi3W5FGzfFO9xX
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,Turning Point,spotify:album:0aihmuRLi1gBkxk4mbNfcv,Mario,spotify:artist:20s0P9QLxGqKuCsGwFsp7w,1,249120,Let Me Love You,67,false,spotify:track:7GaFYUqP2WdR4KTPk7cXoP,https://api.spotify.com/v1/tracks/7GaFYUqP2WdR4KTPk7cXoP
spotify:playlist:3N56DG6VPJAiJlItN1UsgV,Players Paradise,spotify:album:2lHRloMQCncHNgBZWOvwBm,Nitty,spotify:artist:0kEcxP5ezzvP5RcO51TCBD,1,248466,Nasty Girl - Main,44,false,spotify:track:4BEMCMVRloo4lv5Wak50Go,https://api.spotify.com/v1/tracks/4BEMCMVRloo4lv5Wak50Go
