playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,The Best Of Racey,spotify:album:7Lj60heeynLtuvguh42sEY,Racey,spotify:artist:1W4SfNO5hb1tdX0wQ87zxl,1,197906,Lay Your Love on Me,40,false,spotify:track:1as0uTeW3VLa9ifg8Gi9Fe,https://api.spotify.com/v1/tracks/1as0uTeW3VLa9ifg8Gi9Fe
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,Dynasty,spotify:album:4FA68GsblSfvKZZRfM1tI1,KISS,spotify:artist:07XSN3sPlIlB2L2XNcTwJw,1,271240,I Was Made For Lovin' You,79,false,spotify:track:07q0QVgO56EorrSGHC48y3,https://api.spotify.com/v1/tracks/07q0QVgO56EorrSGHC48y3
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,Heart Of Glass,spotify:album:2vzwQELxR1wxXJWACtbvsW,Blondie,spotify:artist:4tpUmLEVLCGFr93o8hFFIB,1,252893,Heart Of Glass - Single Version / Remastered,39,false,spotify:track:5lQOzJmQladWC4kLQClssB,https://api.spotify.com/v1/tracks/5lQOzJmQladWC4kLQClssB
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,The Best Of Racey,spotify:album:7Lj60heeynLtuvguh42sEY,Racey,spotify:artist:1W4SfNO5hb1tdX0wQ87zxl,1,207480,Some Girls,47,false,spotify:track:4areksgU8Nn6bf0kIAY8q0,https://api.spotify.com/v1/tracks/4areksgU8Nn6bf0kIAY8q0
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,Born to Be Alive,spotify:album:0kVK9lFFTzhnEb4ETElbCD,Patrick Hernandez,spotify:artist:1CcEgi464SWZsKY5579u7z,1,188133,Born to Be Alive,67,false,spotify:track:3XIEWK1V9n25PS9Vb6axj5,https://api.spotify.com/v1/tracks/3XIEWK1V9n25PS9Vb6axj5
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,The Fine Art Of Surfacing,spotify:album:5XRmSuESYUZSa7HauZ71ts,The Boomtown Rats,spotify:artist:40oYPr305MsT2lsiXr9fX9,1,259093,I Don't Like Mondays,64,false,spotify:track:7JFoeg0arawADjGcz9gBnq,https://api.spotify.com/v1/tracks/7JFoeg0arawADjGcz9gBnq
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,Blondes Have More Fun,spotify:album:38tXOrjXUUfQWWV2DRwMio,Rod Stewart,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,1,331333,Da Ya Think I'm Sexy?,69,false,spotify:track:4z7maGZkAonDlXlwo8q69f,https://api.spotify.com/v1/tracks/4z7maGZkAonDlXlwo8q69f
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,Good Times: The Very Best Of Chic & Sister Sledge,spotify:album:5kPejohrlhJVzEBxMObjDU,CHIC,spotify:artist:0Xf8oDAJYd2D0k3NLI19OV,1,212426,Le Freak - Edit,27,false,spotify:track:1RSsSlJToDavQIXZRr8hN1,https://api.spotify.com/v1/tracks/1RSsSlJToDavQIXZRr8hN1
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,Knock On Wood: The Anthology,spotify:album:6brPlzSCD2ucBdhqmasvdf,Amii Stewart,spotify:artist:7GPNaPWw3STF8NYp39pd8G,1,227733,"Knock on Wood - 7"" Edit",43,false,spotify:track:7vMRj40Rw8PPgZiDcbyUdj,https://api.spotify.com/v1/tracks/7vMRj40Rw8PPgZiDcbyUdj
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,Sing Street (Original Motion Picture Soundtrack),spotify:album:5GudCwtzhNLH4K9juCxnMi,M,spotify:artist:4ZYjW9vY2BTk1er3xomkwI,1,196613,Pop Muzik,0,false,spotify:track:2s6NUf9GkCeUtYbHdgMcVk,https://api.spotify.com/v1/tracks/2s6NUf9GkCeUtYbHdgMcVk
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,Get The Knack,spotify:album:6H0wsYDvFlATzXHn0IqVpi,The Knack,spotify:artist:0Nn9YwJzcaeuU1jJL06e3r,1,295400,My Sharona,73,false,spotify:track:1HOMkjp0nHMaTnfAkslCQj,https://api.spotify.com/v1/tracks/1HOMkjp0nHMaTnfAkslCQj
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,Feels Like I'm In Love,spotify:album:0uUf16kcNCOOYb65ZFFQuu,Kelly Marie,spotify:artist:5lD4NOWjS7yf69zIK46Chy,1,258279,Make Love to Me,17,false,spotify:track:6UVAFdrsnVTUzhkI1uJEOK,https://api.spotify.com/v1/tracks/6UVAFdrsnVTUzhkI1uJEOK
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,More Than a Game - the Footy Album,spotify:album:55gg2Fcvk5a1hR1zDkiSKT,"Two Man Band, The",spotify:artist:24a0mSTRh1lwYq7DqR3AoD,1,170800,Up There Cazaly,38,false,spotify:track:0IddqJw5uVK0nKrmdiIo6J,https://api.spotify.com/v1/tracks/0IddqJw5uVK0nKrmdiIo6J
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,Promises,spotify:album:5sY8E2EcFhYEJBRL4QjyTJ,Promises,spotify:artist:2c4srBOs5cFc2giau5Rxop,1,229417,Baby It's You,42,false,spotify:track:6aSB6i7gxdmPwa2SfpaTpK,https://api.spotify.com/v1/tracks/6aSB6i7gxdmPwa2SfpaTpK
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,YMCA,spotify:album:3I3YSq7ArvlwK3l49pq4oE,Village People,spotify:artist:0dCKce6tJJdHvlWnDMwzPW,1,286800,YMCA - Original Version 1978,70,false,spotify:track:54OR1VDpfkBuOY5zZjhZAY,https://api.spotify.com/v1/tracks/54OR1VDpfkBuOY5zZjhZAY
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,The Very Best of Suzi Quatro,spotify:album:3NsZev3pxengJeEoTeuzGb,Suzi Quatro,spotify:artist:15jHZ1EZwmm2QDjKctvqJQ,1,239240,Stumblin' In,58,false,spotify:track:2NKZe36oAGEpBx26OoBFLj,https://api.spotify.com/v1/tracks/2NKZe36oAGEpBx26OoBFLj
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,The Very Best of Suzi Quatro,spotify:album:3NsZev3pxengJeEoTeuzGb,Chris Norman,spotify:artist:2Pawr6MMX9VBIQ9oUHg7jc,1,239240,Stumblin' In,58,false,spotify:track:2NKZe36oAGEpBx26OoBFLj,https://api.spotify.com/v1/tracks/2NKZe36oAGEpBx26OoBFLj
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,Summer: The Original Hits,spotify:album:2TNGyJVlzMUsD5mry6qsw2,Donna Summer,spotify:artist:2eogQKWWoohI3BSnoG7E2U,1,229026,Hot Stuff - Single Version,24,false,spotify:track:1h8cxttp9L7oLTctzleZf5,https://api.spotify.com/v1/tracks/1h8cxttp9L7oLTctzleZf5
spotify:playlist:3RJDMxxT2WEbSBi7QhLZVT,Video Killed The Radio Star / Kid Dynamo,spotify:album:03mEmnXflyWoGIb9aB9ajq,The Buggles,spotify:artist:057gc1fxmJ2vkctjQJ7Tal,1,197906,Video Killed The Radio Star - Single Version,59,false,spotify:track:7nm8w9dMwTjlWDosdnxBSn,https://api.spotify.com/v1/tracks/7nm8w9dMwTjlWDosdnxBSn
