playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Alegria Y Cosabuena,spotify:album:1Q9ij11CdNvogM0IPG1KNc,Los Del Rio,spotify:artist:2JXn03fudjyRkQ1Ye9f5rk,1,253106,Macarena - Bayside Boys Remix,62,false,spotify:track:2df5QsXucx4VLiHNGusXD5,https://api.spotify.com/v1/tracks/2df5QsXucx4VLiHNGusXD5
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,The Score (Expanded Edition),spotify:album:18XFe4CPBgVezXkxZP6rTb,Fugees,spotify:artist:2WKdxPFRD7IqZvlIAvhMgY,1,298773,Killing Me Softly With His Song,78,false,spotify:track:0Q0IVlqMV64kNLlwjPj0Hl,https://api.spotify.com/v1/tracks/0Q0IVlqMV64kNLlwjPj0Hl
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Falling Into You,spotify:album:55UPmpHLvZKGgTPUD1woES,Céline Dion,spotify:artist:4S9EykWXhStSc15wEx8QFK,1,273666,"Because You Loved Me (Theme from ""Up Close and Personal"")",5,false,spotify:track:1NOeZ7ZIVKMebuza26rofd,https://api.spotify.com/v1/tracks/1NOeZ7ZIVKMebuza26rofd
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,How Bizarre (Deluxe),spotify:album:3CwsEC1FP4XUgECfy1z479,OMC,spotify:artist:4vdt8TD56jjQfmxFCmhubX,1,225699,How Bizarre,66,false,spotify:track:46q5BtHso0ECuTKeq70ZhW,https://api.spotify.com/v1/tracks/46q5BtHso0ECuTKeq70ZhW
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Greatest Hits,spotify:album:2XLpqfYjGTecYQJQU9wFxG,Spice Girls,spotify:artist:0uq5PttqEjj3IH1bzwcrXF,1,174160,Wannabe,28,false,spotify:track:6php91A59VFhwtv6qU6Bkh,https://api.spotify.com/v1/tracks/6php91A59VFhwtv6qU6Bkh
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Relish,spotify:album:1qgjfFOO3IMDimAuAWZLLt,Joan Osborne,spotify:artist:0djV4iaxhNfYWpH60ia85o,1,320466,One Of Us,66,false,spotify:track:1xNmF1Uep5OGutizZSbKvd,https://api.spotify.com/v1/tracks/1xNmF1Uep5OGutizZSbKvd
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Missing (Remixes),spotify:album:21iwczqjbjthphPXrRHoBL,Everything But The Girl,spotify:artist:13ccXrK7AmXb4TddMkE7jy,1,296560,Missing - Todd Terry Club Mix,50,false,spotify:track:6yN3hWcmAVNHSyUFsNcdX4,https://api.spotify.com/v1/tracks/6yN3hWcmAVNHSyUFsNcdX4
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Missing (Remixes),spotify:album:21iwczqjbjthphPXrRHoBL,Todd Terry,spotify:artist:3dE92yGWcrboP1kC5SWyqu,1,296560,Missing - Todd Terry Club Mix,50,false,spotify:track:6yN3hWcmAVNHSyUFsNcdX4,https://api.spotify.com/v1/tracks/6yN3hWcmAVNHSyUFsNcdX4
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Return of the Mack,spotify:album:6plavTFCGXv5vpy0jZVtOV,Mark Morrison,spotify:artist:6V3F8MZrOKdT9fU686ybE9,1,213093,Return of the Mack,73,false,spotify:track:3jDdpx9PMlfMBS5tOBHFm9,https://api.spotify.com/v1/tracks/3jDdpx9PMlfMBS5tOBHFm9
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Take A Look Over Your Shoulder (Reality),spotify:album:59JiwsQ9p5dJWWcBEGB5Np,Warren G,spotify:artist:2B4ZHz4QDWJTXPFPgO5peE,1,255040,What's Love Got To Do With It,51,false,spotify:track:7DjHbZFUdDtuklH6nfXoaL,https://api.spotify.com/v1/tracks/7DjHbZFUdDtuklH6nfXoaL
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Take A Look Over Your Shoulder (Reality),spotify:album:59JiwsQ9p5dJWWcBEGB5Np,Adina Howard,spotify:artist:266SmBZTt4zRzaKEANWbfQ,1,255040,What's Love Got To Do With It,51,false,spotify:track:7DjHbZFUdDtuklH6nfXoaL,https://api.spotify.com/v1/tracks/7DjHbZFUdDtuklH6nfXoaL
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Secrets,spotify:album:6rxtWZH5ua9eANwWdwwf9o,Toni Braxton,spotify:artist:3X458ddYA2YcVWuVIGGOYe,1,267440,You're Makin' Me High,58,false,spotify:track:5bJ796cOnGBzSN5bm4mwMj,https://api.spotify.com/v1/tracks/5bJ796cOnGBzSN5bm4mwMj
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,X-Files Theme,spotify:album:1NkCLh2VHjJCHcxLY78xve,Triple X,spotify:artist:3lns6yFKCjlELCxlzWNpmz,1,210333,X-Files Theme (Skitz Radio Mix),11,false,spotify:track:3enW9b6zYr7LSZ0szG131u,https://api.spotify.com/v1/tracks/3enW9b6zYr7LSZ0szG131u
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,X-Files Theme,spotify:album:1NkCLh2VHjJCHcxLY78xve,Nick Skitz,spotify:artist:0b56YzqAu22jh2CDUYvbbx,1,210333,X-Files Theme (Skitz Radio Mix),11,false,spotify:track:3enW9b6zYr7LSZ0szG131u,https://api.spotify.com/v1/tracks/3enW9b6zYr7LSZ0szG131u
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Savage Garden,spotify:album:64peTvbTLBDeSBu0GsCRE4,Savage Garden,spotify:artist:3NRFinRTEqUCfaTTZmk8ek,1,232066,I Want You,63,false,spotify:track:3XorCFmcupSm5QS6hA9g4N,https://api.spotify.com/v1/tracks/3XorCFmcupSm5QS6hA9g4N
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Now In A Minute,spotify:album:1VzYTrtId9CgUTo7VQBFbL,Donna Lewis,spotify:artist:2EfG2EoT8GFJrMiilbTVl2,1,239960,I Love You Always Forever,69,false,spotify:track:1PEqh7awkpuepLBSq8ZwqD,https://api.spotify.com/v1/tracks/1PEqh7awkpuepLBSq8ZwqD
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Macarena (Wil Veloz),spotify:album:6Z06vuXSwzkJG7XFF3yrkY,Los Del Mar,spotify:artist:3W9geOv9EsI71zPr8b78BW,1,230173,Macarena - Radio Mix,28,false,spotify:track:0Rmj0wREQDbwuAQtb22ZC7,https://api.spotify.com/v1/tracks/0Rmj0wREQDbwuAQtb22ZC7
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Macarena (Wil Veloz),spotify:album:6Z06vuXSwzkJG7XFF3yrkY,Wil Veloz,spotify:artist:5unKMTkFXL1KYbAvWNEyAW,1,230173,Macarena - Radio Mix,28,false,spotify:track:0Rmj0wREQDbwuAQtb22ZC7,https://api.spotify.com/v1/tracks/0Rmj0wREQDbwuAQtb22ZC7
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,New Beginning,spotify:album:3XsOzkIBoHsxZ7jP3QF2oB,Tracy Chapman,spotify:artist:7oPgCQqMMXEXrNau5vxYZP,1,268333,Give Me One Reason,69,false,spotify:track:4vDBJeeQCbhP9FaPPMsYkY,https://api.spotify.com/v1/tracks/4vDBJeeQCbhP9FaPPMsYkY
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Boombastic,spotify:album:40rtksAqnwebfPKWzSL6Iv,Shaggy,spotify:artist:5EvFsr3kj42KNv97ZEnqij,1,249933,Boombastic,67,false,spotify:track:4fxF8ljwryMZX5c9EKrLFE,https://api.spotify.com/v1/tracks/4fxF8ljwryMZX5c9EKrLFE
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Take Your Time,spotify:album:5kXUU0nlx87s8eT22TtRDO,Max-A-Million,spotify:artist:5QpTf4jao06WPoX4HKl5x6,1,243613,Sexual Healing,36,false,spotify:track:4eeq2yQUeYn8Us9JwPS46y,https://api.spotify.com/v1/tracks/4eeq2yQUeYn8Us9JwPS46y
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Sweet Dreams,spotify:album:4adqftIYavKgrnLyOD5gxZ,La Bouche,spotify:artist:488v7rQzthLNK22r0UvMie,1,240266,Be My Lover,62,false,spotify:track:7FoUzKTSQp25oe32pY9z5p,https://api.spotify.com/v1/tracks/7FoUzKTSQp25oe32pY9z5p
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,(What's The Story) Morning Glory? [Remastered],spotify:album:1VW1MFNstaJuygaoTPkdCk,Oasis,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4,1,258773,Wonderwall - Remastered,78,false,spotify:track:5qqabIl2vWzo9ApSC317sa,https://api.spotify.com/v1/tracks/5qqabIl2vWzo9ApSC317sa
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Older,spotify:album:45evuVVrY9LzPez8geNEIF,George Michael,spotify:artist:19ra5tSw0tWufvUp8GotLo,1,324666,"Fastlove, Pt. 1",63,false,spotify:track:6SaeXxdt0Id6ZzmX0ZGTQK,https://api.spotify.com/v1/tracks/6SaeXxdt0Id6ZzmX0ZGTQK
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Theme From Mission: Impossible,spotify:album:62qBtOk1Nzn6y8h4gE0t72,Adam Clayton,spotify:artist:4VNYuBtDAKCIisEyieUVzc,1,208773,Theme From Mission: Impossible,9,false,spotify:track:2BVueDW1REKHYpWkB9KbDF,https://api.spotify.com/v1/tracks/2BVueDW1REKHYpWkB9KbDF
spotify:playlist:3aa0BZSnymnpDmDg5F0xj2,Theme From Mission: Impossible,spotify:album:62qBtOk1Nzn6y8h4gE0t72,Larry Mullen,spotify:artist:7pXqR1naGFkoVEcFHjn3jb,1,208773,Theme From Mission: Impossible,9,false,spotify:track:2BVueDW1REKHYpWkB9KbDF,https://api.spotify.com/v1/tracks/2BVueDW1REKHYpWkB9KbDF
