playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,Gangsta's Paradise,spotify:album:0fYctMs4EvoEqzDh8Kmg5g,Coolio,spotify:artist:3y24n3XhZ96wgwRXjvS17T,1,240693,Gangsta's Paradise,81,false,spotify:track:7lQWRAjyhTpCWFC0jmclT4,https://api.spotify.com/v1/tracks/7lQWRAjyhTpCWFC0jmclT4
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,Gangsta's Paradise,spotify:album:0fYctMs4EvoEqzDh8Kmg5g,L.V.,spotify:artist:2LhsePRtgCo4THVKULQBL7,1,240693,Gangsta's Paradise,81,false,spotify:track:7lQWRAjyhTpCWFC0jmclT4,https://api.spotify.com/v1/tracks/7lQWRAjyhTpCWFC0jmclT4
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,Stayin' Alive,spotify:album:0XgOO1wZhtLHQFWe4VlvJr,N-Trance,spotify:artist:45InkbGypoMk5nVX6dsHkt,1,245906,Stayin' Alive,48,false,spotify:track:7pcjhiKODADooP7IFPgetr,https://api.spotify.com/v1/tracks/7pcjhiKODADooP7IFPgetr
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,Stayin' Alive,spotify:album:0XgOO1wZhtLHQFWe4VlvJr,Ricardo Da Force,spotify:artist:7oofaqs3ZPfzIuamtI4cSw,1,245906,Stayin' Alive,48,false,spotify:track:7pcjhiKODADooP7IFPgetr,https://api.spotify.com/v1/tracks/7pcjhiKODADooP7IFPgetr
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,Seal,spotify:album:1mSECpFqHRW6leG4idqTE1,Seal,spotify:artist:5GtMEZEeFFsuHY8ad4kOxv,1,288426,Kiss from a Rose,73,false,spotify:track:3YKptz29AsOlm7WAVnztBh,https://api.spotify.com/v1/tracks/3YKptz29AsOlm7WAVnztBh
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,The Garden,spotify:album:3p5TJ1ksja0twSGpqPUU19,Merril Bainbridge,spotify:artist:0lSDlT2Z5EvUGNIl7WQ7k0,1,205733,Mouth,44,false,spotify:track:11Ki2bHWXTEug0DAfKcDDD,https://api.spotify.com/v1/tracks/11Ki2bHWXTEug0DAfKcDDD
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,Another Night,spotify:album:4SJ6x0Hlml18n0Ur9hnWNU,Real McCoy,spotify:artist:2vRfKzjQYJQd67X8x49MOh,1,236600,Another Night,47,false,spotify:track:3DL3P7ZMOu5gApQwaUtseF,https://api.spotify.com/v1/tracks/3DL3P7ZMOu5gApQwaUtseF
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,18 Til I Die,spotify:album:29t8lxRlQIyG4K5Xaydt46,Bryan Adams,spotify:artist:3Z02hBLubJxuFJfhacLSDc,1,291666,Have You Ever Really Loved A Woman?,69,false,spotify:track:32Gf5A7Hr8RdgggXG0Fdks,https://api.spotify.com/v1/tracks/32Gf5A7Hr8RdgggXG0Fdks
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,No Need To Argue,spotify:album:5GugLrmYMl5VRoe2zNgLGp,The Cranberries,spotify:artist:7t0rwkOPGlDPEhaOcVtOt9,1,306426,Zombie,80,false,spotify:track:2IZZqH4K02UIYg5EohpNHF,https://api.spotify.com/v1/tracks/2IZZqH4K02UIYg5EohpNHF
spotify:playlist:3cH11GTXRfKsYZLwxtOoBG,Glide With Me,spotify:album:6Kd7nCf0mH1OB3gtZDrmJm,CDB,spotify:artist:7EUjDdRgLHcgFIL4sfhvFo,1,257266,Let's Groove,30,false,spotify:track:7K4AUODt2GjZdizNkJkJ1c,https://api.spotify.com/v1/tracks/7K4AUODt2GjZdizNkJkJ1c
