playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,Born In The U.S.A.,spotify:album:0PMasrHdpaoIRuHuhHp72O,Bruce Springsteen,spotify:artist:3eqjTLE0HfPfh78zjh6TqT,1,241306,Dancing In the Dark,77,false,spotify:track:7FwBtcecmlpc1sLySPXeGE,https://api.spotify.com/v1/tracks/7FwBtcecmlpc1sLySPXeGE
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,The Very Best Of Richie,spotify:album:5uiTYpdwBGw4POJRFAsOsr,The 12th Man,spotify:artist:0IDBBKhe33nSK0gnDq0I1J,1,323685,It's Just Not Cricket,6,true,spotify:track:1a9xl4pIr7abbkLrmqQTum,https://api.spotify.com/v1/tracks/1a9xl4pIr7abbkLrmqQTum
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,Ghostbusters (Original Motion Picture Soundtrack),spotify:album:0epcJ1L57tp3SF30aKyeWa,Ray Parker Jr.,spotify:artist:0NyzfcGDZZ6GM25EBG9BYK,1,245253,Ghostbusters,54,false,spotify:track:3m0y8qLoznUYi73SUBP8GI,https://api.spotify.com/v1/tracks/3m0y8qLoznUYi73SUBP8GI
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,The Final,spotify:album:6ZJD7uT643TvniNyAk90bd,George Michael,spotify:artist:19ra5tSw0tWufvUp8GotLo,1,302600,Careless Whisper,60,false,spotify:track:2R7858bg0GHuBBxjTyOL7N,https://api.spotify.com/v1/tracks/2R7858bg0GHuBBxjTyOL7N
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,The Final,spotify:album:6ZJD7uT643TvniNyAk90bd,Wham!,spotify:artist:5lpH0xAS4fVfLkACg9DAuM,1,230666,Wake Me Up Before You Go-Go,32,false,spotify:track:7q4CGgjO9YsxSUvvId8iUu,https://api.spotify.com/v1/tracks/7q4CGgjO9YsxSUvvId8iUu
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,The Definitive Collection,spotify:album:4E1itnJOhTMRSATNaxh0Sq,Stevie Wonder,spotify:artist:7guDJrEfX3qb6FEbdPA5qi,1,262360,I Just Called To Say I Love You - Single Version,33,false,spotify:track:2W8J9Gfw5q8tSvsuWSnMBl,https://api.spotify.com/v1/tracks/2W8J9Gfw5q8tSvsuWSnMBl
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,The Essential Kenny Loggins,spotify:album:68ZonGoyvksZu4sqqNXect,Kenny Loggins,spotify:artist:3Y3xIwWyq5wnNHPp5gPjOW,2,226293,"Footloose - From ""Footloose"" Soundtrack",68,false,spotify:track:4YR6Dextuoc3I8nJ0XgzKI,https://api.spotify.com/v1/tracks/4YR6Dextuoc3I8nJ0XgzKI
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,Can't Slow Down,spotify:album:5U0NU0T1JKIJwgq2ZDWb2T,Lionel Richie,spotify:artist:3gMaNLQm7D9MornNILzdSl,1,246933,Hello,68,false,spotify:track:6HMvJcdw6qLsyV1b5x29sa,https://api.spotify.com/v1/tracks/6HMvJcdw6qLsyV1b5x29sa
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,She's So Unusual,spotify:album:1FvdZ1oizXwF9bxogujoF0,Cyndi Lauper,spotify:artist:2BTZIqw0ntH9MvilQ3ewNY,1,238266,Girls Just Want to Have Fun,77,false,spotify:track:4y1LsJpmMti1PfRQV9AWWe,https://api.spotify.com/v1/tracks/4y1LsJpmMti1PfRQV9AWWe
spotify:playlist:3oCOd1S0CVKbjlGYmGOhly,Pure & Simple,spotify:album:0Qk5ItMuEF2zYoHN8J1sKT,Dolly Parton,spotify:artist:32vWCbZh0xZ4o9gkz4PsEU,2,250053,Islands in the Stream,68,false,spotify:track:6apPqjW8ezpKEicAkkBlvO,https://api.spotify.com/v1/tracks/6apPqjW8ezpKEicAkkBlvO
