playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,I Do Not Want What I Haven't Got,spotify:album:34hQFIwGTLf03BZQmGL0iy,Sinéad O'Connor,spotify:artist:4sD9znwiVFx9cgRPZ42aQ1,1,280040,Nothing Compares 2 U,74,false,spotify:track:3nvuPQTw2zuFAVuLsC9IYQ,https://api.spotify.com/v1/tracks/3nvuPQTw2zuFAVuLsC9IYQ
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,Please Hammer Don't Hurt 'Em,spotify:album:4r1WecJyt5FOhglysp9zhN,MC Hammer,spotify:artist:2rblp9fJo16ZPTcKDtlmKW,1,257360,U Can't Touch This,73,false,spotify:track:1B75hgRqe7A4fwee3g3Wmu,https://api.spotify.com/v1/tracks/1B75hgRqe7A4fwee3g3Wmu
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,Vogue,spotify:album:4TOE2rwaoCsdIgtGlQmsnX,Madonna,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,1,263000,Vogue,30,false,spotify:track:4vNuuqBFdid5yTSWtppBYx,https://api.spotify.com/v1/tracks/4vNuuqBFdid5yTSWtppBYx
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,The 30 Biggest Hits XXX,spotify:album:0z27R5fO6NqnZhPUiH9ykZ,Roxette,spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY,1,258786,"It Must Have Been Love - From the Film ""Pretty Woman""",38,false,spotify:track:7JzMTYL7xDXA1zRduvJZZy,https://api.spotify.com/v1/tracks/7JzMTYL7xDXA1zRduvJZZy
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,The 30 Biggest Hits XXX,spotify:album:0z27R5fO6NqnZhPUiH9ykZ,Humberto Gattica,spotify:artist:4n4n8qkO2VxxG2Q6MZsnWQ,1,258786,"It Must Have Been Love - From the Film ""Pretty Woman""",38,false,spotify:track:7JzMTYL7xDXA1zRduvJZZy,https://api.spotify.com/v1/tracks/7JzMTYL7xDXA1zRduvJZZy
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,Brigade,spotify:album:5CuSWXFhWielWXrXK8Sd8m,Heart,spotify:artist:34jw2BbxjoYalTp8cJFCPv,1,310893,All I Wanna Do Is Make Love To You,66,false,spotify:track:5YjKdeES9QRJ8NmF4Xc8pV,https://api.spotify.com/v1/tracks/5YjKdeES9QRJ8NmF4Xc8pV
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,Greatest Hits,spotify:album:5ErMAHjqmxLoQ5fJTcbVBk,Paula Abdul,spotify:artist:4PpmBoqphQusNFsxuVKb6j,1,230240,"Opposites Attract - 7"" Edit",33,false,spotify:track:4mbyVgqUfyajwkXp4GnWFG,https://api.spotify.com/v1/tracks/4mbyVgqUfyajwkXp4GnWFG
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,Greatest Hits,spotify:album:5ErMAHjqmxLoQ5fJTcbVBk,The Wild Pair,spotify:artist:534DkmX9XrQ2MwyRYKarhm,1,230240,"Opposites Attract - 7"" Edit",33,false,spotify:track:4mbyVgqUfyajwkXp4GnWFG,https://api.spotify.com/v1/tracks/4mbyVgqUfyajwkXp4GnWFG
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,Soul Provider,spotify:album:5g9LXOhTPW9Iow6GZPRg2D,Michael Bolton,spotify:artist:6YHEMoNPbcheiWS2haGzkn,1,255666,How Am I Supposed to Live Without You,70,false,spotify:track:3RMeOetCdXttthQK0clPuz,https://api.spotify.com/v1/tracks/3RMeOetCdXttthQK0clPuz
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,The Very Best Of The Righteous Brothers - Unchained Melody,spotify:album:5CFmNamq1ceXn8RFJ9i7p6,The Righteous Brothers,spotify:artist:4b0WsB47XCa9F83BmwQ7WX,1,216266,Unchained Melody,65,false,spotify:track:1jFhnVoJkcB4lf9tT0rSZS,https://api.spotify.com/v1/tracks/1jFhnVoJkcB4lf9tT0rSZS
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,Greatest Hits,spotify:album:3sOy91gU770rkA494FbWWV,Milli Vanilli,spotify:artist:3vRclCt9VnNhYIxFMQCxuM,1,239640,I'm Gonna Miss You,43,false,spotify:track:1y97KFwJKZqYA7Rwg1hcRH,https://api.spotify.com/v1/tracks/1y97KFwJKZqYA7Rwg1hcRH
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,Love Shack [edit] / Channel Z [Digital 45],spotify:album:4ugIloQYMfDhN7lOtEWezy,The B-52's,spotify:artist:3gdbcIdNypBsYNu3iiCjtN,1,257519,Love Shack - Edit,57,false,spotify:track:64B4UbGRLtGRBtiN2m8OvF,https://api.spotify.com/v1/tracks/64B4UbGRLtGRBtiN2m8OvF
spotify:playlist:3rGa7t9ETWXUjsRtOjImBT,Greatest Hits,spotify:album:3Wb8A5pBe48hSPUVXaoWzI,Wilson Phillips,spotify:artist:1yMYjh77WgOVafRkI50mim,1,221333,Hold On - Single Edit,0,false,spotify:track:1gLesvBM5Q9pjGitHWJEM4,https://api.spotify.com/v1/tracks/1gLesvBM5Q9pjGitHWJEM4
