playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Ivy & The Big Apples,spotify:album:39vgclyyab7l2WMMUTmdmC,Spiderbait,spotify:artist:6P7kkhED6EPrfoZuxz20Fo,1,104173,Buy Me A Pony,51,false,spotify:track:7sPZ3hc9iLplBBVCW5jJOI,https://api.spotify.com/v1/tracks/7sPZ3hc9iLplBBVCW5jJOI
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Ænima,spotify:album:6yWMN087PgSimbcVmHLEwG,TOOL,spotify:artist:2yEwvVSSSUkcLeSTNyHKh8,1,312120,Stinkfist,65,false,spotify:track:0pwObEOHolQZSldJ2q1wpy,https://api.spotify.com/v1/tracks/0pwObEOHolQZSldJ2q1wpy
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Ben Folds Five,spotify:album:2zNa1aZ0VaGfuiNqDbrQET,Ben Folds Five,spotify:artist:44gRHbEm4Uqa0ykW0rDTNk,1,251293,Underground,40,false,spotify:track:08nT8qF5kq55XBypRz8wzJ,https://api.spotify.com/v1/tracks/08nT8qF5kq55XBypRz8wzJ
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Electriclarryland,spotify:album:7nawZF1eeyTGbrL9OsOCwz,Butthole Surfers,spotify:artist:62BcWP4fzR8axESibNQEhs,1,297266,Pepper,66,false,spotify:track:1ng36571Iyov4HBxUClySn,https://api.spotify.com/v1/tracks/1ng36571Iyov4HBxUClySn
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Sixteen Stone (Remastered),spotify:album:2EVR73AnIDeYLxVDJIqObQ,Bush,spotify:artist:78SHxLdtysAXgywQ4vE0Oa,1,266493,Glycerine - Remastered,63,false,spotify:track:5buITai6eMzU8rJonMEI6e,https://api.spotify.com/v1/tracks/5buITai6eMzU8rJonMEI6e
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Double Allergic,spotify:album:1GNUq8MXJUQ67dYmc0wEZ3,Powderfinger,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,1,259373,Pick You Up,47,false,spotify:track:53C1LPb2wOPry7mk3WtDdi,https://api.spotify.com/v1/tracks/53C1LPb2wOPry7mk3WtDdi
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Breathe,spotify:album:1ujcgJVnrX23dfUbIkHKms,The Prodigy,spotify:artist:4k1ELeJKT1ISyDv8JivPpB,1,240933,Breathe (Edit),27,false,spotify:track:74TZplaXdEl3Y9zI0u5wnf,https://api.spotify.com/v1/tracks/74TZplaXdEl3Y9zI0u5wnf
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,The Ballad Of The Skeletons,spotify:album:4bpPE1ah0kN9UHefsXHFbB,Allen Ginsberg,spotify:artist:1yA9QiqL6p9Qo3nHFb8DkT,1,250626,Ballad of the Skeletons - Edit,0,false,spotify:track:230GAVfwHwlk3EeWUfEIP5,https://api.spotify.com/v1/tracks/230GAVfwHwlk3EeWUfEIP5
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,The Ballad Of The Skeletons,spotify:album:4bpPE1ah0kN9UHefsXHFbB,Paul McCartney,spotify:artist:4STHEaNw4mPZ2tzheohgXB,1,250626,Ballad of the Skeletons - Edit,0,false,spotify:track:230GAVfwHwlk3EeWUfEIP5,https://api.spotify.com/v1/tracks/230GAVfwHwlk3EeWUfEIP5
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,The Ballad Of The Skeletons,spotify:album:4bpPE1ah0kN9UHefsXHFbB,Philip Glass,spotify:artist:69lxxQvsfAIoQbB20bEPFC,1,250626,Ballad of the Skeletons - Edit,0,false,spotify:track:230GAVfwHwlk3EeWUfEIP5,https://api.spotify.com/v1/tracks/230GAVfwHwlk3EeWUfEIP5
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,The Ballad Of The Skeletons,spotify:album:4bpPE1ah0kN9UHefsXHFbB,Lenny Kaye,spotify:artist:0eoGWjtUjl9EaMWs1ZFqs5,1,250626,Ballad of the Skeletons - Edit,0,false,spotify:track:230GAVfwHwlk3EeWUfEIP5,https://api.spotify.com/v1/tracks/230GAVfwHwlk3EeWUfEIP5
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Pinkerton,spotify:album:3jWhmYMAWw5NvHTTeiQtfl,Weezer,spotify:artist:3jOstUTkEu2JkjvRdBA5Gu,1,243466,El Scorcho,55,false,spotify:track:3g2gQMeeQAEPztiQKMlGSl,https://api.spotify.com/v1/tracks/3g2gQMeeQAEPztiQKMlGSl
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Ugly Beautiful,spotify:album:1jDQR7dZB0TrGIZJ4vcrLb,Babybird,spotify:artist:1QCANeffsBIHjzhMqUIxBh,1,222440,You're Gorgeous,54,false,spotify:track:5COBer69wpwkCPPaLr1gFb,https://api.spotify.com/v1/tracks/5COBer69wpwkCPPaLr1gFb
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,311,spotify:album:6VIeIM5tetuv7FrYxISffU,311,spotify:artist:41Q0HrwWBtuUkJc7C1Rp6K,1,172160,Down,59,false,spotify:track:0HDaKOlVAfUWXdFR2RhBtN,https://api.spotify.com/v1/tracks/0HDaKOlVAfUWXdFR2RhBtN
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Born Slippy (Nuxx) [Radio Edit],spotify:album:6p7gQ5S39dLxMvyqqnP9Qd,Underworld,spotify:artist:1PXHzxRDiLnjqNrRn2Xbsa,1,264187,Born Slippy (Nuxx) - Radio Edit,56,false,spotify:track:3bUNyRrTFJDd4mqvUcb1Aa,https://api.spotify.com/v1/tracks/3bUNyRrTFJDd4mqvUcb1Aa
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Mellon Collie And The Infinite Sadness (Deluxe Edition),spotify:album:55RhFRyQFihIyGf61MgcfV,The Smashing Pumpkins,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,2,266200,1979 - Remastered 2012,75,false,spotify:track:5QLHGv0DfpeXLNFo7SFEy1,https://api.spotify.com/v1/tracks/5QLHGv0DfpeXLNFo7SFEy1
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Come Find Yourself,spotify:album:4U0j2a6r5avOlqkeYHY6i5,Fun Lovin' Criminals,spotify:artist:0hWRiJV8KlRZvsZeemUJVv,1,184000,Scooby Snacks,56,true,spotify:track:0AwxXvGoYpioYfJeafgvTD,https://api.spotify.com/v1/tracks/0AwxXvGoYpioYfJeafgvTD
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Tu-Plang,spotify:album:3sScP5vSCKBsNhBn4Sxm3h,Regurgitator,spotify:artist:6n3YUZcayLRuAunJUUelvz,1,181133,Kong Foo Sing,39,false,spotify:track:0tQLJssKmS3zYc9QW4nikt,https://api.spotify.com/v1/tracks/0tQLJssKmS3zYc9QW4nikt
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,The Boy With The X-Ray Eyes,spotify:album:3I2iUIqkNP4qsh9XDDxLO2,Babylon Zoo,spotify:artist:3k7uMwc8FLJmH8RHMh2HF8,1,242493,Spaceman,50,false,spotify:track:0uQcP7QVoLvaFsORsdrgNh,https://api.spotify.com/v1/tracks/0uQcP7QVoLvaFsORsdrgNh
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Firestarter,spotify:album:7z4LhD2WMhHwlGOCTwSWuJ,The Prodigy,spotify:artist:4k1ELeJKT1ISyDv8JivPpB,1,227426,Firestarter,30,false,spotify:track:2uvqg13i9F1LuIW7ddLBEV,https://api.spotify.com/v1/tracks/2uvqg13i9F1LuIW7ddLBEV
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Double Allergic,spotify:album:1GNUq8MXJUQ67dYmc0wEZ3,Powderfinger,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,1,210493,d.a.f,44,false,spotify:track:4itLOfCbRg1kBxqCyPYpzu,https://api.spotify.com/v1/tracks/4itLOfCbRg1kBxqCyPYpzu
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Razorblade Suitcase (Remastered),spotify:album:4cEtSMK8OSQpxGk17nvR3W,Bush,spotify:artist:78SHxLdtysAXgywQ4vE0Oa,1,291053,Swallowed - Remastered,51,false,spotify:track:2EYnvZoSEkwiC8ynBcjLyi,https://api.spotify.com/v1/tracks/2EYnvZoSEkwiC8ynBcjLyi
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Future Spa,spotify:album:4yoA1A2fhVsXHiuDRTYw9m,The Fauves,spotify:artist:5j1ov1SWSFCelDDg4VygwI,1,168880,Dogs Are The Best People,37,false,spotify:track:6aQLduHmIwxyd4Iev9wvYf,https://api.spotify.com/v1/tracks/6aQLduHmIwxyd4Iev9wvYf
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,The Colour And The Shape (Special Edition),spotify:album:3woBtPnPoZx6mtJWau0PDf,Foo Fighters,spotify:artist:7jy3rLJdDQY21OgRLCZ9sD,1,248840,Down In The Park,0,false,spotify:track:2XQhg63DQeOUOBxBXDWRuZ,https://api.spotify.com/v1/tracks/2XQhg63DQeOUOBxBXDWRuZ
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,1977 [Collectors Edition],spotify:album:1XZ0Qb4Rrz0j2SMFmELVRH,Ash,spotify:artist:2evydP72Z45DouM4uMGsIE,1,285466,Oh Yeah - 2008 Remastered Version,17,false,spotify:track:3zafqYYcOMboHD4m8Kustq,https://api.spotify.com/v1/tracks/3zafqYYcOMboHD4m8Kustq
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Tu-Plang,spotify:album:3sScP5vSCKBsNhBn4Sxm3h,Regurgitator,spotify:artist:6n3YUZcayLRuAunJUUelvz,1,156226,I Sucked a Lot of Cock to Get Where I Am,32,true,spotify:track:33axnrbaqDgsrVVfK36xo1,https://api.spotify.com/v1/tracks/33axnrbaqDgsrVVfK36xo1
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Sparkle And Fade,spotify:album:27qNa5ef0TpYV17dBY01U0,Everclear,spotify:artist:694QW15WkebjcrWgQHzRYF,1,191506,Santa Monica,65,false,spotify:track:37EJtTS7jT5WUyXGZzrwnI,https://api.spotify.com/v1/tracks/37EJtTS7jT5WUyXGZzrwnI
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Tragic Kingdom,spotify:album:22MtHr01EzeL6jmc5uwpHC,No Doubt,spotify:artist:0cQbJU1aAzvbEmTuljWLlF,1,208400,Just A Girl,64,false,spotify:track:1VA38sp5Jr6vWxgoIcnxKN,https://api.spotify.com/v1/tracks/1VA38sp5Jr6vWxgoIcnxKN
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Setting Sun,spotify:album:5phYK3qyUNiQe6rshQtSvf,The Chemical Brothers,spotify:artist:1GhPHrq36VKCY3ucVaZCfo,1,240066,Setting Sun - Radio Edit,11,false,spotify:track:4jgTeDwcvLdGtMhvgojIvD,https://api.spotify.com/v1/tracks/4jgTeDwcvLdGtMhvgojIvD
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Fashion Nugget,spotify:album:6kPOXxCYCdXBzEbb9dqE90,Cake,spotify:artist:6A43Djmhbe9100UwnI7epV,1,179600,The Distance,60,false,spotify:track:0fsz7tJ7UKXT9hliLfO7aE,https://api.spotify.com/v1/tracks/0fsz7tJ7UKXT9hliLfO7aE
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Mellon Collie And The Infinite Sadness (Deluxe Edition),spotify:album:55RhFRyQFihIyGf61MgcfV,The Smashing Pumpkins,spotify:artist:40Yq4vzPs9VNUrIBG5Jr2i,1,160173,Zero - Remastered 2012,63,true,spotify:track:4YFcGTdgmEuw8xTO4XrxbB,https://api.spotify.com/v1/tracks/4YFcGTdgmEuw8xTO4XrxbB
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Odelay,spotify:album:3PpTsdpZmaLUh6RvViu9G7,Beck,spotify:artist:3vbKDsSS70ZX9D2OcvbZmS,1,192933,Devils Haircut,52,false,spotify:track:7h69nvFshbhUpesEXBPH0w,https://api.spotify.com/v1/tracks/7h69nvFshbhUpesEXBPH0w
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Future Spa,spotify:album:4yoA1A2fhVsXHiuDRTYw9m,The Fauves,spotify:artist:5j1ov1SWSFCelDDg4VygwI,1,174080,Self Abuser,24,false,spotify:track:4b0scpxWucQ5xOvpnHwbT3,https://api.spotify.com/v1/tracks/4b0scpxWucQ5xOvpnHwbT3
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Lucky?,spotify:album:59iIWMdqRbjhCYu7q1bp4l,Skin,spotify:artist:2twFUPBFAf6wTnfI7X9z0j,1,99133,Muppet Song (Mah-Na-Mah-Na),21,false,spotify:track:034KVH2fRRr5HEjjbolLJt,https://api.spotify.com/v1/tracks/034KVH2fRRr5HEjjbolLJt
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Double Allergic,spotify:album:1GNUq8MXJUQ67dYmc0wEZ3,Powderfinger,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,1,205466,Living Type,34,false,spotify:track:5VZsVS1ilzlUPwmj0yJpHB,https://api.spotify.com/v1/tracks/5VZsVS1ilzlUPwmj0yJpHB
spotify:playlist:3y0gG2pbKH57b1heWfg9Y7,Greatest Hits,spotify:album:3PO9OtQdvCDJN8zDLtZiYd,2Pac,spotify:artist:1ZwdS5xdxEREPySFridCfh,2,285026,California Love - Original Version,57,false,spotify:track:1JClFT74TYSXlzpagbmj0S,https://api.spotify.com/v1/tracks/1JClFT74TYSXlzpagbmj0S
