playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:440FJI2U21t2GPnb7HBG8E,Celebration,spotify:album:3cc9LPeZ2WB7qtMuGbkwbG,Madonna,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,1,342680,Like a Prayer,34,false,spotify:track:37PPB2oW67yjvArQPYQxRU,https://api.spotify.com/v1/tracks/37PPB2oW67yjvArQPYQxRU
spotify:playlist:440FJI2U21t2GPnb7HBG8E,The 30 Biggest Hits XXX,spotify:album:0z27R5fO6NqnZhPUiH9ykZ,Roxette,spotify:artist:2SHhfs4BiDxGQ3oxqf0UHY,1,237320,The Look,35,false,spotify:track:1Pf6bdSTw4EpyDY9H5I2Eg,https://api.spotify.com/v1/tracks/1Pf6bdSTw4EpyDY9H5I2Eg
spotify:playlist:440FJI2U21t2GPnb7HBG8E,Sunshine on Leith,spotify:album:5sK78apv4yOoXjxRL4kOdJ,The Proclaimers,spotify:artist:1A92IAcd7A6npCA33oGM5i,1,219466,I'm Gonna Be (500 Miles),70,false,spotify:track:67iAlVNDDdddxqSD2EZhFs,https://api.spotify.com/v1/tracks/67iAlVNDDdddxqSD2EZhFs
spotify:playlist:440FJI2U21t2GPnb7HBG8E,Everything,spotify:album:3BH0mUvl0IrLMXd9lxJyEO,The Bangles,spotify:artist:51l0uqRxGaczYr4271pVIC,1,238773,Eternal Flame,53,false,spotify:track:5J1TCBAWhDZ272GLJmxoDY,https://api.spotify.com/v1/tracks/5J1TCBAWhDZ272GLJmxoDY
spotify:playlist:440FJI2U21t2GPnb7HBG8E,Heart Of Stone,spotify:album:3srdrIrP3V7LTmRujRfLhK,Cher,spotify:artist:72OaDtakiy6yFqkt4TsiFt,1,239826,If I Could Turn Back Time,72,false,spotify:track:6mYrhCAGWzTdF8QnKuchXM,https://api.spotify.com/v1/tracks/6mYrhCAGWzTdF8QnKuchXM
spotify:playlist:440FJI2U21t2GPnb7HBG8E,The Raw & The Cooked,spotify:album:6CoeDRu0SmpFtLZMcRTO2F,Fine Young Cannibals,spotify:artist:20p5D2KrE8CGuOjHtxsyTp,1,215773,She Drives Me Crazy,72,false,spotify:track:4d6eqRtpDX7tydHJGDZUBQ,https://api.spotify.com/v1/tracks/4d6eqRtpDX7tydHJGDZUBQ
spotify:playlist:440FJI2U21t2GPnb7HBG8E,True Romantic - The Best of Kate Ceberano,spotify:album:2l1jRXYk5UrPgliMZHrTot,Kate Ceberano,spotify:artist:6E4eoLJTZYyIC5cZVg6fDx,1,236933,Bedroom Eyes,40,false,spotify:track:4gLz8C5muA3c4cKPWpcPjE,https://api.spotify.com/v1/tracks/4gLz8C5muA3c4cKPWpcPjE
spotify:playlist:440FJI2U21t2GPnb7HBG8E,Greatest Hits,spotify:album:5kIqSIJhdFkCb9gsCUi0qS,New Kids On The Block,spotify:artist:55qiaow2sDYtjqu1mwRua6,1,250746,You Got It (The Right Stuff),43,false,spotify:track:2BEL2ySEBDO02FLo3lOIZT,https://api.spotify.com/v1/tracks/2BEL2ySEBDO02FLo3lOIZT
spotify:playlist:440FJI2U21t2GPnb7HBG8E,Greatest Hits,spotify:album:77YBl020A0guYeVdTNXGXK,The Beach Boys,spotify:artist:3oDbviiivRWhXwIE8hxkVV,1,215573,Kokomo,65,false,spotify:track:2OZyDYkNED6mIDi8RXLnWy,https://api.spotify.com/v1/tracks/2OZyDYkNED6mIDi8RXLnWy
spotify:playlist:440FJI2U21t2GPnb7HBG8E,The Singles 1985 - 2014,spotify:album:2Peabe7TLRvGqjpN3zlo1N,Mike & The Mechanics,spotify:artist:2yTUYhIf8fxptTIy3KLuJD,1,322506,The Living Years - 2014 Remastered,35,false,spotify:track:32SKjVoVKJOyieTdojEBBX,https://api.spotify.com/v1/tracks/32SKjVoVKJOyieTdojEBBX
