playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,Smile...It Confuses People,spotify:album:2vh0Lg3vwmArk6KI0m9eb5,Sandi Thom,spotify:artist:3xnfpcM4DC9zeHVuDhYICB,1,151640,I Wish I Was a Punk Rocker (with Flowers in My Hair),61,false,spotify:track:4mnTMsp8Cgf9TNiQMhH11L,https://api.spotify.com/v1/tracks/4mnTMsp8Cgf9TNiQMhH11L
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,Flaunt It,spotify:album:0o9NfqoCvNWMsh81Zh3yDw,TV Rock,spotify:artist:1umoTEAL97Q6OAS1KX2RX3,1,208960,Flaunt It - Radio Edit,45,true,spotify:track:2G6ovzv7TOm8lZL1kQlYi8,https://api.spotify.com/v1/tracks/2G6ovzv7TOm8lZL1kQlYi8
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,Flaunt It,spotify:album:0o9NfqoCvNWMsh81Zh3yDw,Seany B,spotify:artist:3Nt2NcCHdJFvvSoowWH4jL,1,208960,Flaunt It - Radio Edit,45,true,spotify:track:2G6ovzv7TOm8lZL1kQlYi8,https://api.spotify.com/v1/tracks/2G6ovzv7TOm8lZL1kQlYi8
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,"Oral Fixation, Vol. 2 (Expanded Edition)",spotify:album:5ppnlEoj4HdRRdRihnY3jU,Shakira,spotify:artist:0EmeFodog0BfCgMzAIvKQp,1,218093,Hips Don't Lie (feat. Wyclef Jean),82,false,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,"Oral Fixation, Vol. 2 (Expanded Edition)",spotify:album:5ppnlEoj4HdRRdRihnY3jU,Wyclef Jean,spotify:artist:7aBzpmFXB4WWpPl2F7RjBe,1,218093,Hips Don't Lie (feat. Wyclef Jean),82,false,spotify:track:3ZFTkvIE7kyPt6Nu3PEa7V,https://api.spotify.com/v1/tracks/3ZFTkvIE7kyPt6Nu3PEa7V
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,FutureSex/LoveSounds,spotify:album:51lCQxAHpJHuqvvK0z12zp,Justin Timberlake,spotify:artist:31TPClRtHm23RisEBtV3X7,1,242733,SexyBack,0,true,spotify:track:40VAYnnGBDLQVXD8D1ager,https://api.spotify.com/v1/tracks/40VAYnnGBDLQVXD8D1ager
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,FutureSex/LoveSounds,spotify:album:51lCQxAHpJHuqvvK0z12zp,Timbaland,spotify:artist:5Y5TRrQiqgUO4S36tzjIRZ,1,242733,SexyBack,0,true,spotify:track:40VAYnnGBDLQVXD8D1ager,https://api.spotify.com/v1/tracks/40VAYnnGBDLQVXD8D1ager
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,I Don't Feel Like Dancin',spotify:album:6LPpLYrjQYKtMfDUT1qjOz,Scissor Sisters,spotify:artist:3Y10boYzeuFCJ4Qgp53w6o,1,248640,I Don't Feel Like Dancin' - Radio Edit,68,false,spotify:track:1qEHgdFqUxFebMPk8s2HLY,https://api.spotify.com/v1/tracks/1qEHgdFqUxFebMPk8s2HLY
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,Young Divas,spotify:album:6uMZgyfpavnYnGa9pOWA70,Young Divas,spotify:artist:3KT9AeoTUPHKnntwQxlP9S,1,234453,This Time I Know It's For Real,40,false,spotify:track:3pTYRUFEzU21WMpqsULLwU,https://api.spotify.com/v1/tracks/3pTYRUFEzU21WMpqsULLwU
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,Casino Twilight Dogs,spotify:album:7JgWdCGMBwJkYb91oiFzxd,Youth Group,spotify:artist:51K48NCxjB11t9eqUWWoIq,1,239120,Forever Young,53,false,spotify:track:3tFECpGckFpp0HpQje78gi,https://api.spotify.com/v1/tracks/3tFECpGckFpp0HpQje78gi
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,What's Wrong With This Picture?,spotify:album:2ur5tutx8q4cteH9Wnp6dt,Lee Harding,spotify:artist:7eIoAymVZ9RQZidZgt4e7t,1,180333,Wasabi,34,false,spotify:track:2nYR8mMHG0ViIdHtS9hJ6w,https://api.spotify.com/v1/tracks/2nYR8mMHG0ViIdHtS9hJ6w
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,I'm Not Dead,spotify:album:2gccJPbfddWfxNdvsRxL8J,P!nk,spotify:artist:1KCSPY1glIKqW2TotWuXOR,1,208493,Who Knew,0,false,spotify:track:7FpoD2ZlcBSj05rEHSZoiB,https://api.spotify.com/v1/tracks/7FpoD2ZlcBSj05rEHSZoiB
spotify:playlist:4EM6OHusylkUeeOhuwn5nv,Loose (International Version),spotify:album:2yboV2QBcVGEhcRlYuPpDT,Nelly Furtado,spotify:artist:2jw70GZXlAI8QzWeY2bgRc,1,242293,Promiscuous,72,false,spotify:track:2gam98EZKrF9XuOkU13ApN,https://api.spotify.com/v1/tracks/2gam98EZKrF9XuOkU13ApN
