playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,Franz Ferdinand,spotify:album:0mUEGMT2YlzCWGeWOJjBKD,Franz Ferdinand,spotify:artist:0XNa1vTidXlvJ2gHSsRi4A,1,237026,Take Me Out,74,false,spotify:track:6ooluO7DiEhI1zmK94nRCM,https://api.spotify.com/v1/tracks/6ooluO7DiEhI1zmK94nRCM
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,The Sound Of White,spotify:album:5Dd14nVQOJIUg9UgKkVyIQ,Missy Higgins,spotify:artist:6aP8ry8w3bSNyfyqhE8rGf,1,213733,Scar,59,false,spotify:track:0Xxww5aUyamJlEm8GkP21i,https://api.spotify.com/v1/tracks/0Xxww5aUyamJlEm8GkP21i
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,A Song Is A City,spotify:album:3qUUxffTYleIODTFlc2CXh,Eskimo Joe,spotify:artist:3yW6jTzGjHUUkLvLkjLOVn,1,202906,From The Sea,52,false,spotify:track:1GR1U3xkN1gf8dzvcyGxfa,https://api.spotify.com/v1/tracks/1GR1U3xkN1gf8dzvcyGxfa
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,Hot Fuss,spotify:album:4OHNH3sDzIxnmUADXzv2kT,The Killers,spotify:artist:0C0XlULifJtAgn6ZNCW2eu,1,197280,Somebody Told Me,63,false,spotify:track:3twNvmDtFQtAd5gMKedhLD,https://api.spotify.com/v1/tracks/3twNvmDtFQtAd5gMKedhLD
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,Tonight Alright,spotify:album:5WqHoLszhaCZHgtTebMx8X,Spiderbait,spotify:artist:6P7kkhED6EPrfoZuxz20Fo,1,205973,Black Betty - Edit,62,false,spotify:track:7uSsHbBFFAnkRQR1rDwP3L,https://api.spotify.com/v1/tracks/7uSsHbBFFAnkRQR1rDwP3L
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,The Sound Of White,spotify:album:5Dd14nVQOJIUg9UgKkVyIQ,Missy Higgins,spotify:artist:6aP8ry8w3bSNyfyqhE8rGf,1,226186,Ten Days,44,false,spotify:track:2G8jB4liJQPELoUMRY1Gv8,https://api.spotify.com/v1/tracks/2G8jB4liJQPELoUMRY1Gv8
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,Somethings Gotta Give,spotify:album:3bcxTItMmeBkeQH7zh81v0,John Butler Trio,spotify:artist:6fBF4MULW5yMzyGaon1kUt,1,188880,Somethings Gotta Give,27,false,spotify:track:4O8CRygHpS1Im1qBCHxGsm,https://api.spotify.com/v1/tracks/4O8CRygHpS1Im1qBCHxGsm
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,Bigbiglove,spotify:album:7wh19LzDSohvOYpH8o7O5d,Little Birdy,spotify:artist:3h18aXqdmm2F13t6LIbTpq,1,209693,Beautiful To Me,38,false,spotify:track:2oDbNu0S9oaZoItnUT6vgO,https://api.spotify.com/v1/tracks/2oDbNu0S9oaZoItnUT6vgO
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,Fingerprints & Footprints - The Ultimate Collection,spotify:album:3TDimUGd7RULilf8dvoGXf,Powderfinger,spotify:artist:6LBCQo20ri3tsvbsWWLmr6,1,246320,Bless My Soul,41,false,spotify:track:3RlBQYrKM4n7TpmOoSqnfH,https://api.spotify.com/v1/tracks/3RlBQYrKM4n7TpmOoSqnfH
spotify:playlist:4TeWL0KtGDtcSPn6fGotvC,Jolene (Live Under Blackpool Lights),spotify:album:5MD6u9iHpdf77CoWeI1YX2,The White Stripes,spotify:artist:4F84IBURUo98rz4r61KF70,1,198880,Jolene (Live Under Blackpool Lights),43,false,spotify:track:5yJ0SuWENiGiHRpP7ckpC6,https://api.spotify.com/v1/tracks/5yJ0SuWENiGiHRpP7ckpC6
