playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:4waAzspl6A8eY3VaNh852a,Not That Kind,spotify:album:4lCN7JEjQdvWsxW39lZs4E,Anastacia,spotify:artist:2siHvYaxjaW5rKVRiIrMYH,1,242773,I'm Outta Love,25,false,spotify:track:2376IJzmJ9UJY5wWLTce2I,https://api.spotify.com/v1/tracks/2376IJzmJ9UJY5wWLTce2I
spotify:playlist:4waAzspl6A8eY3VaNh852a,"Songs From Dawson's Creek, Vol. II",spotify:album:187HV0h26fG3mkRsySp5Lj,Wheatus,spotify:artist:4mYFgEjpQT4IKOrjOUKyXu,1,241840,Teenage Dirtbag,70,true,spotify:track:3LI4MmibTkXH5cGpCGZgyw,https://api.spotify.com/v1/tracks/3LI4MmibTkXH5cGpCGZgyw
spotify:playlist:4waAzspl6A8eY3VaNh852a,Pure... Dancefloor,spotify:album:6B3ZiCj8iO85ObTBaNKH7m,Bomfunk MC's,spotify:artist:0NeC6ploeJUq8oDwYQjNPS,4,172333,Freestyler - Radio Edit,11,true,spotify:track:0V0A9vbHOLHbXKWE0oVBUC,https://api.spotify.com/v1/tracks/0V0A9vbHOLHbXKWE0oVBUC
spotify:playlist:4waAzspl6A8eY3VaNh852a,Music,spotify:album:1V342k6sinWc4y4R2iReOu,Madonna,spotify:artist:6tbjWDEIzxoDsBA1FuhfPW,1,225973,Music,59,false,spotify:track:2fzykVsO2Di5jnofUNX3YE,https://api.spotify.com/v1/tracks/2fzykVsO2Di5jnofUNX3YE
spotify:playlist:4waAzspl6A8eY3VaNh852a,The Writing's On The Wall,spotify:album:283NWqNsCA9GwVHrJk59CG,Destiny's Child,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,1,271333,Say My Name,76,false,spotify:track:7H6ev70Weq6DdpZyyTmUXk,https://api.spotify.com/v1/tracks/7H6ev70Weq6DdpZyyTmUXk
spotify:playlist:4waAzspl6A8eY3VaNh852a,Bardot,spotify:album:3lBBB7gJFwcxn6EKQpB4A3,Bardot,spotify:artist:6jaSo7MeMbXQCUOrNCF8tj,1,200253,Poison,35,false,spotify:track:6gzrTG4OkeNnGks5R1bffM,https://api.spotify.com/v1/tracks/6gzrTG4OkeNnGks5R1bffM
spotify:playlist:4waAzspl6A8eY3VaNh852a,No Strings Attached,spotify:album:5hMd4vAfSUT1cbYCnRUako,*NSYNC,spotify:artist:6Ff53KvcvAj5U7Z1vojB5o,1,200560,Bye Bye Bye,67,false,spotify:track:4r8lRYnoOGdEi6YyI5OC1o,https://api.spotify.com/v1/tracks/4r8lRYnoOGdEi6YyI5OC1o
spotify:playlist:4waAzspl6A8eY3VaNh852a,Polyester Embassy,spotify:album:4zXbBABLuCKuohCc2RPq3I,Madison Avenue,spotify:artist:6otgz5gkB40UnWFwTy0VDh,1,215093,Who The Hell Are You,42,false,spotify:track:1WzPIvTHX1ThXzXlUnFDLW,https://api.spotify.com/v1/tracks/1WzPIvTHX1ThXzXlUnFDLW
spotify:playlist:4waAzspl6A8eY3VaNh852a,Wonder's Dancefloor,spotify:album:6KxK53DkN0o2JfC6nemjkL,Spiller,spotify:artist:4bmymFwDu9zLCiTRUmrewb,1,450455,Groovejet,58,false,spotify:track:7iSYsQq0ywuHw03JBEf5HO,https://api.spotify.com/v1/tracks/7iSYsQq0ywuHw03JBEf5HO
spotify:playlist:4waAzspl6A8eY3VaNh852a,Thankful,spotify:album:2CW02evpO85vRxOSYx7zcP,Mary Mary,spotify:artist:12Kgt2eahvxNWhD5PnSUde,1,196240,Shackles (Praise You),57,false,spotify:track:5siee1e4lz8uF51OokjglA,https://api.spotify.com/v1/tracks/5siee1e4lz8uF51OokjglA
