playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,Eye Of The Tiger,spotify:album:1v8q5oFweXG7AH9kjCoMyX,Survivor,spotify:artist:26bcq2nyj5GB7uRr558iQg,1,243773,Eye of the Tiger,59,false,spotify:track:28P5HAF0Kll9Xd9dX4qw7A,https://api.spotify.com/v1/tracks/28P5HAF0Kll9Xd9dX4qw7A
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,Days of Innocence,spotify:album:0vme3wJfRI2sTxHP3YHVrl,Moving Pictures,spotify:artist:089zDeJWWSaHm6JE4V3ser,1,211533,What About Me?,28,false,spotify:track:1K7VLA9S2ZyFiEV7oeTc5g,https://api.spotify.com/v1/tracks/1K7VLA9S2ZyFiEV7oeTc5g
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,Tainted Love / Where Did Our Love Go,spotify:album:1GfUA3buY8Ref28escKLrC,Soft Cell,spotify:artist:6aq8T2RcspxVOGgMrTzjWc,1,156906,Tainted Love,55,false,spotify:track:1tVzVPIcCFz5QUMGLPHJEc,https://api.spotify.com/v1/tracks/1tVzVPIcCFz5QUMGLPHJEc
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,Freeze Frame,spotify:album:48joW5905AMbTFLvy8ZWch,The J. Geils Band,spotify:artist:69Mj3u4FTUrpyeGNSIaU6F,1,216533,Centerfold,72,false,spotify:track:1ynmMEK1fkyiZ6Z6F3ThEt,https://api.spotify.com/v1/tracks/1ynmMEK1fkyiZ6Z6F3ThEt
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,Just Another Day in Paradise,spotify:album:0EVRwTd2fEIgupTxZTcWRN,Bertie Higgins,spotify:artist:4qzZ6bMrjK27yHGVjs4Pvq,1,200173,Key Largo,19,false,spotify:track:3tuXXVxJgEgDV02OE28i9u,https://api.spotify.com/v1/tracks/3tuXXVxJgEgDV02OE28i9u
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,Mickey: The Very Best Of Toni Basil,spotify:album:1gFkSr7JzUqVvKcSUk4HeC,Toni Basil,spotify:artist:59hMeIYY3k3NoX54rrVGPv,1,253199,Mickey,57,false,spotify:track:4Gnl12vioGd6lgIjeYcMCl,https://api.spotify.com/v1/tracks/4Gnl12vioGd6lgIjeYcMCl
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,I Love Rock 'N' Roll (Expanded Edition),spotify:album:555qwe1qUgLdee80TZ2CQt,Joan Jett & The Blackhearts,spotify:artist:1Fmb52lZ6Jv7FMWXXTPO3K,1,175173,I Love Rock 'N Roll,73,false,spotify:track:2Cdvbe2G4hZsnhNMKyGrie,https://api.spotify.com/v1/tracks/2Cdvbe2G4hZsnhNMKyGrie
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,Law and Order,spotify:album:38UhlwlFmxKBRVCUdaY21m,Lindsey Buckingham,spotify:artist:3Dzj993UEz8Z5ovxuirzFO,1,236533,Trouble,54,false,spotify:track:04ijIUVdT4Qy1SBWFUPROY,https://api.spotify.com/v1/tracks/04ijIUVdT4Qy1SBWFUPROY
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,America's Greatest Hero,spotify:album:5jB7KIzjiExzi01MF8NXCQ,Joey Scarbury,spotify:artist:5V9pNqcN25JXuH88g7lq2o,1,195293,"Believe It or Not (Theme from ""Greatest American Hero"")",53,false,spotify:track:375ntCG12wzCyfzclwYFwG,https://api.spotify.com/v1/tracks/375ntCG12wzCyfzclwYFwG
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,"The Best of Chicago, 40th Anniversary Edition",spotify:album:13etqTFFO9ZKGD3LeRMROL,Chicago,spotify:artist:3iDD7bnsjL9J4fO298r0L0,2,221413,Hard to Say I'm Sorry - 2007 Remaster,68,false,spotify:track:7boKWlaNVmrhJdX8IbzUdD,https://api.spotify.com/v1/tracks/7boKWlaNVmrhJdX8IbzUdD
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,Big Motown Hits & Hard To Find Classics - Volume 2,spotify:album:0VCMGKYEQmc3vr6ueFrJe9,Charlene,spotify:artist:52o9SO5Qt09Vr9bDCbTbmu,1,230720,I've Never Been To Me,45,false,spotify:track:5UoUV0hl7XaO71Er2VtnFn,https://api.spotify.com/v1/tracks/5UoUV0hl7XaO71Er2VtnFn
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,Come On Eileen / Dubious,spotify:album:2fZF9yZ8e7Q7CJCjpN0VIK,Dexys Midnight Runners,spotify:artist:4QTVePrFu1xuGM9K0kNXkk,1,205933,Come On Eileen,68,false,spotify:track:6nWcEzyxDozQcmxMoNJtYx,https://api.spotify.com/v1/tracks/6nWcEzyxDozQcmxMoNJtYx
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,Ultimate Hits,spotify:album:0BrWPR65e6OpUPdsMOqTSP,Steve Miller Band,spotify:artist:6QtGlUje9TIkLrgPZrESuk,1,307909,Abracadabra - Remastered 2017,27,false,spotify:track:2amtGwpm9fo7HSL9INBn9t,https://api.spotify.com/v1/tracks/2amtGwpm9fo7HSL9INBn9t
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,One On One,spotify:album:1TgcbIUPhCpHEkEkYbAP7w,Cheap Trick,spotify:artist:1LB8qB5BPb3MHQrfkvifXU,1,215720,If You Want My Love,44,false,spotify:track:4y3clu5ma91RfOLO5YYOIA,https://api.spotify.com/v1/tracks/4y3clu5ma91RfOLO5YYOIA
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,The Best Of,spotify:album:5vNkh7F0xILBYpwkry5I2G,A Flock Of Seagulls,spotify:artist:0uAjBatvB4ubpd4kCfjmNt,1,307400,I Ran (So Far Away),41,false,spotify:track:2ABwxq8apC7uJkd38PByPc,https://api.spotify.com/v1/tracks/2ABwxq8apC7uJkd38PByPc
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,American Fool,spotify:album:4gouGcdQn9OvjX42xnWrF0,John Mellencamp,spotify:artist:3lPQ2Fk5JOwGWAF3ORFCqH,1,218960,Hurts So Good,71,false,spotify:track:67eX1ovaHyVPUinMHeUtIM,https://api.spotify.com/v1/tracks/67eX1ovaHyVPUinMHeUtIM
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,Beauty And The Beat,spotify:album:1L4HE00En7eNK74voVZums,The Go-Go's,spotify:artist:2mG8HHQ9S9kcbjcrb5N1FE,1,167960,Our Lips Are Sealed - Single Version,58,false,spotify:track:1GVnAD8Iz45rux6EC657Yv,https://api.spotify.com/v1/tracks/1GVnAD8Iz45rux6EC657Yv
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,Time And Tide,spotify:album:0VzEBmxy3fwUztnKnwyGvk,Split Enz,spotify:artist:0Upmz8QvuLAkKAfRlJYWTL,1,261306,Six Months in a Leaky Boat,50,false,spotify:track:1rSNjTJf2AsXnlj1I9a1fh,https://api.spotify.com/v1/tracks/1rSNjTJf2AsXnlj1I9a1fh
spotify:playlist:4zxbBleovpMynhj4K8jDQQ,Deep Sea Skiving (Collector's Edition),spotify:album:4v3E9sT3n9mz3MWlrtmtVw,Bananarama,spotify:artist:3sc7iUG1Wwpwx7bHeZolgx,1,193780,Shy Boy,43,false,spotify:track:3YsjLfBqaMeX9vFIiQlnvk,https://api.spotify.com/v1/tracks/3YsjLfBqaMeX9vFIiQlnvk
