playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:527BlW4koD42o92YquTbWn,Portrait Of Donny,spotify:album:6quP8dKzcKp5JON8hWKkeD,Donny Osmond,spotify:artist:5ZEAzHE2TzAwUcOj6jMIgf,1,184973,Puppy Love,43,false,spotify:track:7HWH4kGaHR3ZwKNFPT4dSW,https://api.spotify.com/v1/tracks/7HWH4kGaHR3ZwKNFPT4dSW
spotify:playlist:527BlW4koD42o92YquTbWn,Nilsson Schmilsson,spotify:album:3EfpOFKjotrMQTFTnxrXaB,Harry Nilsson,spotify:artist:3RTzAwFprBqiskp550eSJX,1,201000,Without You,66,false,spotify:track:6MrILERJLA3Jcq0E9poZsp,https://api.spotify.com/v1/tracks/6MrILERJLA3Jcq0E9poZsp
spotify:playlist:527BlW4koD42o92YquTbWn,28 Big Ones,spotify:album:5A8Yx93pjDI0gi8HhmI3v6,Hot Butter,spotify:artist:2vaRrv3i7PDOXPEue24qe5,1,151440,Popcorn,47,false,spotify:track:6Z5wWOqBfk4G3bP1KF2Vbj,https://api.spotify.com/v1/tracks/6Z5wWOqBfk4G3bP1KF2Vbj
spotify:playlist:527BlW4koD42o92YquTbWn,American Pie,spotify:album:10jsW2NYd9blCrDITMh2zS,Don McLean,spotify:artist:1gRNBaI4yn6wCCTvRhGWh8,1,516893,American Pie,76,false,spotify:track:1fDsrQ23eTAVFElUMaf38X,https://api.spotify.com/v1/tracks/1fDsrQ23eTAVFElUMaf38X
spotify:playlist:527BlW4koD42o92YquTbWn,The Very Best Of The Mom and Dads,spotify:album:3QrOaSGRrFncyBEA7bSbqg,The Mom & Dads,spotify:artist:6qQuq3ESDPn2AdRfJq91ap,1,134200,The Rangers Waltz,10,false,spotify:track:2e9adbItriC7hhThtU7EsI,https://api.spotify.com/v1/tracks/2e9adbItriC7hhThtU7EsI
spotify:playlist:527BlW4koD42o92YquTbWn,Boppin' the Blues,spotify:album:3w429Qp8bdNe55VCzKPLNu,Blackfeather,spotify:artist:67dnqvT66VC7F7EEMbhfWS,1,192093,Boppin' the Blues,22,false,spotify:track:5up9KPZw2576erDQ3xCmlc,https://api.spotify.com/v1/tracks/5up9KPZw2576erDQ3xCmlc
spotify:playlist:527BlW4koD42o92YquTbWn,Boppin' the Blues,spotify:album:3w429Qp8bdNe55VCzKPLNu,Neale Johns,spotify:artist:6kWGNWHotbmfa8nT5qQPYY,1,192093,Boppin' the Blues,22,false,spotify:track:5up9KPZw2576erDQ3xCmlc,https://api.spotify.com/v1/tracks/5up9KPZw2576erDQ3xCmlc
spotify:playlist:527BlW4koD42o92YquTbWn,The Best Of Wayne Newton,spotify:album:36WJKCqLTXQ4kdbVrpwI2a,Wayne Newton,spotify:artist:5NX29TmuYrENlpvz6IgYMJ,1,206333,Daddy Don't You Walk So Fast,15,false,spotify:track:3QCATKyR7mzqvQB750qNxs,https://api.spotify.com/v1/tracks/3QCATKyR7mzqvQB750qNxs
spotify:playlist:527BlW4koD42o92YquTbWn,First Take,spotify:album:2ARWEOvaUgm4FSj25MpY6F,Roberta Flack,spotify:artist:0W498bDDNlJIrYMKXdpLHA,1,260666,The First Time Ever I Saw Your Face,65,false,spotify:track:0SxFyA4FqmEQqZVuAlg8lf,https://api.spotify.com/v1/tracks/0SxFyA4FqmEQqZVuAlg8lf
spotify:playlist:527BlW4koD42o92YquTbWn,The Definitive Collection,spotify:album:4Ze1fA73mUq8aEKK2fa3Ih,David Cassidy,spotify:artist:0isDnZYMWbwDz7hzw0XRjt,1,227266,Cherish - remastered,36,false,spotify:track:4a3mIp7Mrmom2SXd3S81m7,https://api.spotify.com/v1/tracks/4a3mIp7Mrmom2SXd3S81m7
spotify:playlist:527BlW4koD42o92YquTbWn,70s 100 Hits,spotify:album:1k7WkNHGPNPnri2tsowvtg,The Pipes And Drums Of The Military Band Of The Royal Scots Dragoon Guards,spotify:artist:0ixoQEGQlpDWv7I8oRDd0E,1,199813,Amazing Grace,30,false,spotify:track:39KVdXz6ZlBhv9pv1fGuun,https://api.spotify.com/v1/tracks/39KVdXz6ZlBhv9pv1fGuun
spotify:playlist:527BlW4koD42o92YquTbWn,Beautiful People: The Greatest Hits of Melanie,spotify:album:0d0QHnq1JlNiBTQhC1eKRS,Melanie,spotify:artist:6sOP8RUFR0q0nBOBOXGdBK,1,144866,Brand New Key,52,false,spotify:track:3tm6LVXZJg0lG4hQm5ytrT,https://api.spotify.com/v1/tracks/3tm6LVXZJg0lG4hQm5ytrT
