playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,Tuneweaving,spotify:album:3mrqSIFeycc3CccoaHR0Tq,Dawn,spotify:artist:1vjeJ712UQutRhn6WJI4sF,1,206253,Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando) - Digitally Remastered 1998,51,false,spotify:track:12UzVR0M7asW2MHAZRJk0I,https://api.spotify.com/v1/tracks/12UzVR0M7asW2MHAZRJk0I
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,Tuneweaving,spotify:album:3mrqSIFeycc3CccoaHR0Tq,Tony Orlando,spotify:artist:6PNZ6ZfwWLiUA2BrranFl3,1,206253,Tie a Yellow Ribbon Round the Ole Oak Tree (feat. Tony Orlando) - Digitally Remastered 1998,51,false,spotify:track:12UzVR0M7asW2MHAZRJk0I,https://api.spotify.com/v1/tracks/12UzVR0M7asW2MHAZRJk0I
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,"Never, Never, Never",spotify:album:7zYhvOnolaETW70A7bTFwX,Shirley Bassey,spotify:artist:090VebphoycdEyH165iMqc,1,218600,"Never, Never, Never (Grande, Grande, Grande)",46,false,spotify:track:4C4vwiOFwWFD4GW7oL2uOp,https://api.spotify.com/v1/tracks/4C4vwiOFwWFD4GW7oL2uOp
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,No Secrets,spotify:album:79x0PRGIZv33znrCkPkCZ5,Carly Simon,spotify:artist:4FtSnMlCVxCswABUmdhwpm,1,258411,You're so Vain,75,false,spotify:track:2DnJjbjNTV9Nd5NOa1KGba,https://api.spotify.com/v1/tracks/2DnJjbjNTV9Nd5NOa1KGba
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,Music For Cruizin' - Those Were The Days,spotify:album:0inIR0Jc0O0P4iNbLdIQij,Col Joye,spotify:artist:0qwJS5OuHA4ce2OqjHaZb7,2,164346,Heaven is My Woman's Love,0,false,spotify:track:4KLeKsGjuhusSMxY8pcRY8,https://api.spotify.com/v1/tracks/4KLeKsGjuhusSMxY8pcRY8
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,Don't Shoot Me I'm Only The Piano Player,spotify:album:1reJ8DttK5EGwdyf7y9FBR,Elton John,spotify:artist:3PhoLpVuITZKcymswpck5b,1,235440,Crocodile Rock,70,false,spotify:track:6WCeFNVAXUtNczb7lqLiZU,https://api.spotify.com/v1/tracks/6WCeFNVAXUtNczb7lqLiZU
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,Long Hard Climb,spotify:album:50qDHoXQ1QASk26kNQTW5l,Helen Reddy,spotify:artist:0Sq7oGrYEe0BDmb13wgjOO,1,190506,Delta Dawn,45,false,spotify:track:53RGKUb4zvhHaDCmjgUrIP,https://api.spotify.com/v1/tracks/53RGKUb4zvhHaDCmjgUrIP
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,Suzi Quatro,spotify:album:06HJVlWlwBfMKf8BE0eAHW,Suzi Quatro,spotify:artist:15jHZ1EZwmm2QDjKctvqJQ,1,214400,Can the Can,48,false,spotify:track:6K0kK40E7PA2i9LsGmVCfK,https://api.spotify.com/v1/tracks/6K0kK40E7PA2i9LsGmVCfK
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,Of A Simple Man,spotify:album:27rTUUNLERkGxzXxBr1d1u,Lobo,spotify:artist:1sldhz8tzC100cRAdfnMht,1,247640,I'd Love You to Want Me,65,false,spotify:track:71CXzHYYOyNqgtVFpNdeCS,https://api.spotify.com/v1/tracks/71CXzHYYOyNqgtVFpNdeCS
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,20 Greatest Hits Vol.2,spotify:album:1mU5hekuGrW6SB2VC9c1eZ,Perry Como,spotify:artist:5v8jlSmAQfrkTjAlpUfWtu,1,198960,And I Love You So,22,false,spotify:track:5KN7anq8hxbUj7rgGJgg5b,https://api.spotify.com/v1/tracks/5KN7anq8hxbUj7rgGJgg5b
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,Classic Masters: '70s Pop Playlist,spotify:album:0KK7oepHMfVIrv6ApHVZXv,Jud Strunk,spotify:artist:3Q68nynET81w3iLWZYEBVU,1,169333,Daisy a Day,17,false,spotify:track:6fIyAkFRc73W3CxuxxtNdj,https://api.spotify.com/v1/tracks/6fIyAkFRc73W3CxuxxtNdj
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,20th Century Masters: The Millennium Collection: Best of Donna Fargo,spotify:album:5ePUbZUcoVmk1gBOAgcAKM,Donna Fargo,spotify:artist:4tIQ6BeFRvYApoAyJmaeVC,1,164000,Funny Face - Single Version,15,false,spotify:track:0ddvRfQNzDeej0w9WVT44t,https://api.spotify.com/v1/tracks/0ddvRfQNzDeej0w9WVT44t
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,Ben,spotify:album:3j7pUFDRub9Q5NztcYKyaR,Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,1,165160,Ben - Single Version,59,false,spotify:track:3vZMkLS1jP7NdNhzqGfUSW,https://api.spotify.com/v1/tracks/3vZMkLS1jP7NdNhzqGfUSW
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,I Am Woman,spotify:album:1gzSC9J3Ffyl2m2MCVO4c1,Helen Reddy,spotify:artist:0Sq7oGrYEe0BDmb13wgjOO,1,205880,I Am Woman,54,false,spotify:track:3l2hbXdvmaH3tUd3qWLKgm,https://api.spotify.com/v1/tracks/3l2hbXdvmaH3tUd3qWLKgm
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,A Song For You,spotify:album:1nA6Exnq2mWD8678q3E4Ov,Carpenters,spotify:artist:1eEfMU2AhEo7XnKgL7c304,1,179173,Top Of The World,65,false,spotify:track:1Ehdm1PDlKrdfyBsjwEvd1,https://api.spotify.com/v1/tracks/1Ehdm1PDlKrdfyBsjwEvd1
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,The Heart and Soul Of,spotify:album:1qewBUrJ8amCG46TnQlhoi,Barbara Ray,spotify:artist:4kxdPfFuWL6fPZpkCRLKh1,1,156493,I Don't Wanna Play House,22,false,spotify:track:2eQPLfiQEos0sFEOZGRzQu,https://api.spotify.com/v1/tracks/2eQPLfiQEos0sFEOZGRzQu
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,Hits Of The 70's,spotify:album:54zcgY3o34crjFfG1V4MuG,Maureen McGovern,spotify:artist:3bnf5pPVQFWv762IiavilV,1,139226,The Morning After - Single Version,43,false,spotify:track:3gAdXCoPRBhIGRoa7XdyUq,https://api.spotify.com/v1/tracks/3gAdXCoPRBhIGRoa7XdyUq
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,Killing Me Softly,spotify:album:4GxrvKiysSiDU1HHifh1PA,Roberta Flack,spotify:artist:0W498bDDNlJIrYMKXdpLHA,1,286920,Killing Me Softly with His Song,73,false,spotify:track:3gsCAGsWr6pUm1Vy7CPPob,https://api.spotify.com/v1/tracks/3gsCAGsWr6pUm1Vy7CPPob
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,The Night the Lights Went out in Georgia (Deluxe Edition),spotify:album:0qwOXO4R8bxSXP874yfIB5,Vicki Lawrence,spotify:artist:3PNGsgUFOuNvwagyBCo2Rg,1,150053,He Did With Me,13,false,spotify:track:1yUG9IGqlsocIfxcAZ132X,https://api.spotify.com/v1/tracks/1yUG9IGqlsocIfxcAZ132X
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,Goats Head Soup (Remastered 2009),spotify:album:6iVOz2hudE6dv5Yrcsw2c9,The Rolling Stones,spotify:artist:22bE4uQ6baNwSHPVcDxLCe,1,272000,Angie,73,false,spotify:track:1GcVa4jFySlun4jLSuMhiq,https://api.spotify.com/v1/tracks/1GcVa4jFySlun4jLSuMhiq
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,Edward Bear,spotify:album:5FAXcoUIANhIKaW3SJlQIw,Edward Bear,spotify:artist:5IVNNR05uQhrkBIogJtQD8,1,195120,Last Song,40,false,spotify:track:7cbYx1iSCstX5W0YkKDK0c,https://api.spotify.com/v1/tracks/7cbYx1iSCstX5W0YkKDK0c
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,Halloween Party Songs,spotify:album:1fuhAoWdCjTNFkAf0QyaHC,"Bobby ""Boris"" Pickett",spotify:artist:42MRYPhQfcEXqb18dl5ERX,1,191800,Monster Mash,36,false,spotify:track:3V6i8cMWu7Vd4Vk9BiUOiV,https://api.spotify.com/v1/tracks/3V6i8cMWu7Vd4Vk9BiUOiV
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,Halloween Party Songs,spotify:album:1fuhAoWdCjTNFkAf0QyaHC,The Crypt-Kickers,spotify:artist:4frDtYgwXXKkbyQzjOmJG5,1,191800,Monster Mash,36,false,spotify:track:3V6i8cMWu7Vd4Vk9BiUOiV,https://api.spotify.com/v1/tracks/3V6i8cMWu7Vd4Vk9BiUOiV
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,10cc,spotify:album:1NefUKCblMkMNlspyQrJEH,10cc,spotify:artist:6i6WlGzQtXtz7GcC5H5st5,1,318853,Rubber Bullets,47,false,spotify:track:1QQgSUKCG8GakzMOwi4lFS,https://api.spotify.com/v1/tracks/1QQgSUKCG8GakzMOwi4lFS
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,Greatest,spotify:album:12qedoBqTlYcQOYLxjzzkX,Barry Blue,spotify:artist:6ea0ZyKO8ONgRBNCjrea7d,1,192466,(Dancin’) On A Saturday Night,39,false,spotify:track:3TK5wUTKTBJZ8GqhedjTtv,https://api.spotify.com/v1/tracks/3TK5wUTKTBJZ8GqhedjTtv
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,Red Rose Speedway,spotify:album:0ht0PyiPPsG3mYqvFhTfgD,Wings,spotify:artist:3sFhA6G1N0gG1pszb6kk1m,1,247733,My Love - 2018 Remaster,61,false,spotify:track:0Oj0TT23GBH2XuHAaSsloH,https://api.spotify.com/v1/tracks/0Oj0TT23GBH2XuHAaSsloH
spotify:playlist:5GukqTmf4N5gDtwmkiidHQ,New Ragtime Follies,spotify:album:3VVewTnDOIwecO59w2DsNz,Dawn,spotify:artist:1vjeJ712UQutRhn6WJI4sF,1,172160,"Say, Has Anybody Seen My Sweet Gypsy Rose (feat. Tony Orlando) - Digitally Remastered 1998",26,false,spotify:track:1IbElKiARztcn0HvvKP28Z,https://api.spotify.com/v1/tracks/1IbElKiARztcn0HvvKP28Z
