playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,Arrival,spotify:album:1V6a99EbTTIegOhWoPxYI9,ABBA,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,1,252960,Fernando,63,false,spotify:track:4BM8yJ0PzBi2ZewpMTOxtx,https://api.spotify.com/v1/tracks/4BM8yJ0PzBi2ZewpMTOxtx
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,A Night At The Opera (2011 Remaster),spotify:album:1GbtB4zTqAsyfZEsm1RZfx,Queen,spotify:artist:1dfeR4HaWDbWqFHLkxsg1d,1,354320,Bohemian Rhapsody - 2011 Mix,82,false,spotify:track:4u7EnebtmKWzUH433cf5Qv,https://api.spotify.com/v1/tracks/4u7EnebtmKWzUH433cf5Qv
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,Arrival,spotify:album:1V6a99EbTTIegOhWoPxYI9,ABBA,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,1,230400,Dancing Queen,76,false,spotify:track:0GjEhVFGZW8afUYGChu3Rr,https://api.spotify.com/v1/tracks/0GjEhVFGZW8afUYGChu3Rr
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,Howzat,spotify:album:4liRYil0nws0o7QfPehI71,Sherbet,spotify:artist:45NevEaV0GyRopWoADDPr2,1,225560,Howzat,0,false,spotify:track:78K0CsNamJ1LdSrWO7CxCn,https://api.spotify.com/v1/tracks/78K0CsNamJ1LdSrWO7CxCn
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,Rock Of The Westies,spotify:album:4ObsEU7mIXbo2n9A31yfds,Elton John,spotify:artist:3PhoLpVuITZKcymswpck5b,1,275440,Don't Go Breaking My Heart,75,false,spotify:track:7HW5WIw7ZgZORCzUxv5gW5,https://api.spotify.com/v1/tracks/7HW5WIw7ZgZORCzUxv5gW5
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,Rock Of The Westies,spotify:album:4ObsEU7mIXbo2n9A31yfds,Kiki Dee,spotify:artist:4vjGlQWexbru6aOUCLTVir,1,275440,Don't Go Breaking My Heart,75,false,spotify:track:7HW5WIw7ZgZORCzUxv5gW5,https://api.spotify.com/v1/tracks/7HW5WIw7ZgZORCzUxv5gW5
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,The Essential Ted Mulry Gang,spotify:album:4ide5Gp9T9L8b5WrSYt7Rc,Ted Mulry Gang,spotify:artist:1o711LqmNPfr4wUF9KEJIE,1,180066,Jump in My Car,0,false,spotify:track:1XIXkp7bJDMQeINqrKgMjq,https://api.spotify.com/v1/tracks/1XIXkp7bJDMQeINqrKgMjq
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,Arrival,spotify:album:1V6a99EbTTIegOhWoPxYI9,ABBA,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV,1,186426,"Money, Money, Money",58,false,spotify:track:3lKN03PDeBnXZS7sDukRBt,https://api.spotify.com/v1/tracks/3lKN03PDeBnXZS7sDukRBt
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,Best of Fox,spotify:album:0qJDL0ydx380AAotBFG19z,Fox,spotify:artist:5ezs1quhJaLV7bq3FmNWxu,1,232946,S-S-S-Single Bed,30,false,spotify:track:5PoMpQ3ItAwMWCyHI7OpuO,https://api.spotify.com/v1/tracks/5PoMpQ3ItAwMWCyHI7OpuO
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,Street Life - 20 Greatest Hits,spotify:album:25W21S4pFiEcEQWqguzHk0,Bryan Ferry,spotify:artist:5RNFFojXkPRmlJZIwXeKQC,1,179200,Let's Stick Together,31,false,spotify:track:7l71t0NxtRMm8mpcSkruB7,https://api.spotify.com/v1/tracks/7l71t0NxtRMm8mpcSkruB7
spotify:playlist:5MLSOTUEAJjJNxkFf0SZ72,C.W. McCall's Greatest Hits,spotify:album:6XbZ0Hc2LQaLJuUaFrHfTY,C.W. McCall,spotify:artist:0iTkPxRldzi5lmS6qZ70JV,1,230600,Convoy,60,false,spotify:track:6dGWq08LXuIw6T2oUeHECh,https://api.spotify.com/v1/tracks/6dGWq08LXuIw6T2oUeHECh
