playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,A Little Bit of Mambo,spotify:album:13BmLGhVCLBn3XzKB8HIai,Lou Bega,spotify:artist:46lnlnlU0dXTDpoAUmH6Qx,1,220293,Mambo No. 5 (a Little Bit of...),76,false,spotify:track:6x4tKaOzfNJpEJHySoiJcs,https://api.spotify.com/v1/tracks/6x4tKaOzfNJpEJHySoiJcs
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,...Baby One More Time (Digital Deluxe Version),spotify:album:3WNxdumkSMGMJRhEgK80qx,Britney Spears,spotify:artist:26dSoYclwsYLMAKD3tpOr4,1,211066,...Baby One More Time,77,false,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,https://api.spotify.com/v1/tracks/3MjUtNVVq3C8Fn0MP3zhXa
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,Blue (Da Ba Dee),spotify:album:3j90eFnVFEYzOVt024QCTf,Eiffel 65,spotify:artist:64rxQRJsLgZwHHyWKB8fiF,1,219618,Blue (Da Ba Dee) - Gabry Ponte Video Edit,59,false,spotify:track:7lMIJ4EFWRVoAIPDpeGyM3,https://api.spotify.com/v1/tracks/7lMIJ4EFWRVoAIPDpeGyM3
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,Blue (Da Ba Dee),spotify:album:3j90eFnVFEYzOVt024QCTf,Gabry Ponte,spotify:artist:5ENS85nZShljwNgg4wFD7D,1,219618,Blue (Da Ba Dee) - Gabry Ponte Video Edit,59,false,spotify:track:7lMIJ4EFWRVoAIPDpeGyM3,https://api.spotify.com/v1/tracks/7lMIJ4EFWRVoAIPDpeGyM3
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,Last Kiss,spotify:album:11BDZR6NRHwPiPy1WQr4Jf,Pearl Jam,spotify:artist:1w5Kfo2jwwIPruYS2UWh56,1,195466,Last Kiss,71,false,spotify:track:0QnONzv3TvHAWk294h6DaQ,https://api.spotify.com/v1/tracks/0QnONzv3TvHAWk294h6DaQ
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,Americana,spotify:album:2RNTBrSO8U8XjjEj9RVvZ5,The Offspring,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,1,188666,Pretty Fly (For A White Guy),72,false,spotify:track:3SFXsFpeGmBTtQvKiwYMDA,https://api.spotify.com/v1/tracks/3SFXsFpeGmBTtQvKiwYMDA
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,Believe,spotify:album:0jZfbz0dNfDjPSg0hYJNth,Cher,spotify:artist:72OaDtakiy6yFqkt4TsiFt,1,239026,Believe,76,false,spotify:track:2goLsvvODILDzeeiT4dAoR,https://api.spotify.com/v1/tracks/2goLsvvODILDzeeiT4dAoR
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,Polyester Embassy,spotify:album:2PDOwjTK5XuuvvMkfoIRfY,Madison Avenue,spotify:artist:6otgz5gkB40UnWFwTy0VDh,1,227026,Don't Call Me Baby (Original Mix Edit),0,false,spotify:track:3qmXmmRlYJUw0oDmasNRu9,https://api.spotify.com/v1/tracks/3qmXmmRlYJUw0oDmasNRu9
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,Greatest Hits,spotify:album:02SQS3hERbgOjnZc0hmWKk,Shania Twain,spotify:artist:5e4Dhzv426EvQe3aDb64jL,1,267200,That Don't Impress Me Much - Dance Mix,47,false,spotify:track:4OzQg5IcAkBxQV6Awq2T0y,https://api.spotify.com/v1/tracks/4OzQg5IcAkBxQV6Awq2T0y
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,Americana,spotify:album:2RNTBrSO8U8XjjEj9RVvZ5,The Offspring,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ,1,172466,Why Don't You Get A Job,71,true,spotify:track:0sNKiz82ATCvT3f3XVVUUj,https://api.spotify.com/v1/tracks/0sNKiz82ATCvT3f3XVVUUj
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,Christina Aguilera (Expanded Edition),spotify:album:6fpPZS13ImRVpr7Tqs6yP9,Christina Aguilera,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,1,217573,Genie In a Bottle,72,false,spotify:track:11mwFrKvLXCbcVGNxffGyP,https://api.spotify.com/v1/tracks/11mwFrKvLXCbcVGNxffGyP
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,Supernatural (Remastered),spotify:album:10aiDpdFGyfCFEcqpx6XTq,Santana,spotify:artist:6GI52t8N5F02MxU0g5U69P,1,294986,Smooth (feat. Rob Thomas),70,false,spotify:track:0n2SEXB2qoRQg171q7XqeW,https://api.spotify.com/v1/tracks/0n2SEXB2qoRQg171q7XqeW
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,Supernatural (Remastered),spotify:album:10aiDpdFGyfCFEcqpx6XTq,Rob Thomas,spotify:artist:3aBkeBhwadnWMWoVJ2CxJC,1,294986,Smooth (feat. Rob Thomas),70,false,spotify:track:0n2SEXB2qoRQg171q7XqeW,https://api.spotify.com/v1/tracks/0n2SEXB2qoRQg171q7XqeW
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,Fanmail,spotify:album:1CvjjpvqVMoyprsf74bpYW,TLC,spotify:artist:0TImkz4nPqjegtVSMZnMRq,1,214400,No Scrubs,79,false,spotify:track:1KGi9sZVMeszgZOWivFpxs,https://api.spotify.com/v1/tracks/1KGi9sZVMeszgZOWivFpxs
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,Greatest Hits,spotify:album:5jSAkaiC1BBKZQSZ7wFYOY,Five,spotify:artist:6rEzedK7cKWjeQWdAYvWVG,1,179933,If Ya Gettin' Down,33,false,spotify:track:3cd1ImkXWJdXmWQnpvvUEC,https://api.spotify.com/v1/tracks/3cd1ImkXWJdXmWQnpvvUEC
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,S Club,spotify:album:6Aw5MrjWmWcjECqpsp1Fz5,S Club 7,spotify:artist:1kM5rgJvkiDMOoKX56H6pX,1,214400,Bring It All Back,64,false,spotify:track:3v0uXfyMEZ1lGvBOv1Y4ar,https://api.spotify.com/v1/tracks/3v0uXfyMEZ1lGvBOv1Y4ar
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,Ronan,spotify:album:3T9Imnmd2Amt5lyDMqlFq9,Ronan Keating,spotify:artist:3nlHsNqwCSvT988ZfSW1Yh,1,256826,When You Say Nothing At All,74,false,spotify:track:0gcjc7Vt5xtcfmJgf6g2IO,https://api.spotify.com/v1/tracks/0gcjc7Vt5xtcfmJgf6g2IO
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,On The 6,spotify:album:3Gby5NNeNYkMgAnrtEA3lc,Jennifer Lopez,spotify:artist:2DlGxzQSjYe5N6G9nkYghR,1,266000,If You Had My Love,64,false,spotify:track:3x4yV0hW5Ve3TKhFkXSqFn,https://api.spotify.com/v1/tracks/3x4yV0hW5Ve3TKhFkXSqFn
spotify:playlist:5SA3GPMUdsVL8scMIx5KXc,Greatest Hits!,spotify:album:5t02mTYT9ks9sOC1ihea4a,Vengaboys,spotify:artist:0cwmNvclzPd8mQnoHuIksj,1,222458,We like to Party! (The Vengabus),9,false,spotify:track:3UL6Lzsocv9Ucizgzid2B0,https://api.spotify.com/v1/tracks/3UL6Lzsocv9Ucizgzid2B0
