playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:5i3AavIAQhagT11NJta6y4,Unmasked: The Platinum Collection,spotify:album:48bF9Lb9Bmy1SZLZ3WisFN,Julie Covington,spotify:artist:4v3l77BOnLGn6WiegeRVLf,1,324813,"Don't Cry For Me Argentina - From ""Evita""",11,false,spotify:track:2GZTjCNuL89Y1KbxmoI1Ka,https://api.spotify.com/v1/tracks/2GZTjCNuL89Y1KbxmoI1Ka
spotify:playlist:5i3AavIAQhagT11NJta6y4,The Way That You Do It,spotify:album:4sYS8IGtQOzPjnkDqUbYwg,Pussyfoot,spotify:artist:0OOtGN2toWc4doft9Dci9E,1,189946,The Way That You Do It,6,false,spotify:track:00uBp4pBeqVI6n02GYdjV9,https://api.spotify.com/v1/tracks/00uBp4pBeqVI6n02GYdjV9
spotify:playlist:5i3AavIAQhagT11NJta6y4,Flowing Rivers,spotify:album:65bUF3YLGrSqGfkquOCDHg,Andy Gibb,spotify:artist:4YPqbAiLzBg5DIfsgQZ8QK,1,225666,I Just Want To Be Your Everything,52,false,spotify:track:4uDJdDSIARqTRf6qZhwYR6,https://api.spotify.com/v1/tracks/4uDJdDSIARqTRf6qZhwYR6
spotify:playlist:5i3AavIAQhagT11NJta6y4,Shaun Cassidy,spotify:album:2hmAwFaEuQ7NTR23H9fvjQ,Shaun Cassidy,spotify:artist:6XJ5IHDtW2OkjtwVllkANt,1,176173,That's Rock 'N' Roll,35,false,spotify:track:0VZ8HejqjGgKtotIvBfvd9,https://api.spotify.com/v1/tracks/0VZ8HejqjGgKtotIvBfvd9
spotify:playlist:5i3AavIAQhagT11NJta6y4,The Original Smokie Gold,spotify:album:4owYZafXDrppX9A4COxBAe,Smokie,spotify:artist:5rIqOJspxDq89aBBCUda1X,2,207693,Living Next Door to Alice,56,false,spotify:track:4a8ZMNLB75047bY2I7oABt,https://api.spotify.com/v1/tracks/4a8ZMNLB75047bY2I7oABt
spotify:playlist:5i3AavIAQhagT11NJta6y4,Taught By Experts,spotify:album:3TGewCKkjcPNdmanYvpBzb,Peter Allen,spotify:artist:6748v9yNrbb4PPJuvfoMRa,1,202426,I Go To Rio,40,false,spotify:track:4w6yOgvvdY3tcG3tlOV4lG,https://api.spotify.com/v1/tracks/4w6yOgvvdY3tcG3tlOV4lG
spotify:playlist:5i3AavIAQhagT11NJta6y4,Essential Memories Of Love,spotify:album:1EQEIZIv1DAyo62wmQlDhY,Mary MacGregor,spotify:artist:6GlDsAkQHOmNgtUZdJ4Amq,2,230426,Torn Between Two Lovers,54,false,spotify:track:4VIpspaQ1frWWzTj8suyHR,https://api.spotify.com/v1/tracks/4VIpspaQ1frWWzTj8suyHR
spotify:playlist:5i3AavIAQhagT11NJta6y4,Completely Hooked,spotify:album:0UQeeHZSz95cijW6o07wib,Dr. Hook,spotify:artist:2Mhi3jfuRSdbVZPdjqsnnN,1,187066,Walk Right In,41,false,spotify:track:0iyFZC2XuPdLpfQpUeli4H,https://api.spotify.com/v1/tracks/0iyFZC2XuPdLpfQpUeli4H
spotify:playlist:5i3AavIAQhagT11NJta6y4,Carole Bayer Sager,spotify:album:5tW3pVPPCwv5gLFKMgXTdP,Carole Bayer Sager,spotify:artist:6yjU0SoX3vxPV7KoopXlWe,1,215053,You're Moving out Today,36,false,spotify:track:6nSt8n7r0bznM8PCvHEmPj,https://api.spotify.com/v1/tracks/6nSt8n7r0bznM8PCvHEmPj
spotify:playlist:5i3AavIAQhagT11NJta6y4,Chicago X,spotify:album:4asBn7hzIq2Ka7rDzJN24P,Chicago,spotify:artist:3iDD7bnsjL9J4fO298r0L0,1,235373,If You Leave Me Now,74,false,spotify:track:0KMGxYKeUzK9wc5DZCt3HT,https://api.spotify.com/v1/tracks/0KMGxYKeUzK9wc5DZCt3HT
spotify:playlist:5i3AavIAQhagT11NJta6y4,David Soul,spotify:album:3bK8cxPBLUFkeBeoqzoWtx,David Soul,spotify:artist:2eFkm34OMSYRUwP4RAtXaT,1,218946,Don't give up on us,62,false,spotify:track:23IWhAK0cYRwnBT5EE8i3u,https://api.spotify.com/v1/tracks/23IWhAK0cYRwnBT5EE8i3u
spotify:playlist:5i3AavIAQhagT11NJta6y4,Silk Degrees,spotify:album:7DysI4j6UqK00RTfETKXqs,Boz Scaggs,spotify:artist:46njgd2Rq9tZc4ZjeQMgbh,1,180693,What Can I Say,53,false,spotify:track:4WSbbEjRQ7uE3IT9crL10B,https://api.spotify.com/v1/tracks/4WSbbEjRQ7uE3IT9crL10B
spotify:playlist:5i3AavIAQhagT11NJta6y4,Lace and Whiskey,spotify:album:0lAB4vs5qeYbHwpLR7Ptai,Alice Cooper,spotify:artist:3EhbVgyfGd7HkpsagwL9GS,1,306573,You and Me,42,false,spotify:track:5k68ZFktJA3JlRfenOJA9y,https://api.spotify.com/v1/tracks/5k68ZFktJA3JlRfenOJA9y
spotify:playlist:5i3AavIAQhagT11NJta6y4,"DISCO - 100 Hit's - Dance floor fillers from the 70s and 80s inc. The Jacksons, Boney M & Earth Wind & Fire",spotify:album:50M2o5oVvrG0LEt6ecgJXy,Tina Charles,spotify:artist:7Jbs4wPCLaKXPxrTxZ2zaa,1,186413,Dance Little Lady Dance,29,false,spotify:track:2FSlHgry6H7n54e57SBycW,https://api.spotify.com/v1/tracks/2FSlHgry6H7n54e57SBycW
spotify:playlist:5i3AavIAQhagT11NJta6y4,Endless Flight,spotify:album:1dwBwg4BjtCAoi1mxr26OG,Leo Sayer,spotify:artist:04LIHk1SobiQwt2tlupoAV,1,253533,When I Need You,48,false,spotify:track:4GBfMdLT6EFDNGjk03S78s,https://api.spotify.com/v1/tracks/4GBfMdLT6EFDNGjk03S78s
spotify:playlist:5i3AavIAQhagT11NJta6y4,Dreams Of A Love,spotify:album:4UlgciIWneztjVvlyWgPOt,The Ferrets,spotify:artist:3nJsM5uIME4qqS0dD0K0mo,1,195160,Don't Fall In Love,35,false,spotify:track:6zU7qPbE6S9ShTSToWTgEp,https://api.spotify.com/v1/tracks/6zU7qPbE6S9ShTSToWTgEp
spotify:playlist:5i3AavIAQhagT11NJta6y4,Summer: The Original Hits,spotify:album:2TNGyJVlzMUsD5mry6qsw2,Donna Summer,spotify:artist:2eogQKWWoohI3BSnoG7E2U,1,226906,I Feel Love - Edit,53,false,spotify:track:4lvNaO9CiRQN5AgGvBmuKx,https://api.spotify.com/v1/tracks/4lvNaO9CiRQN5AgGvBmuKx
spotify:playlist:5i3AavIAQhagT11NJta6y4,Diamantina Cocktail (2010 Remaster),spotify:album:6CIFONNOVR9frrraKZpiPi,Little River Band,spotify:artist:6clbbhnIqpHnqxwtOWcilg,1,247506,Help Is On Its Way - 2010 Digital Remaster,56,false,spotify:track:64RnIqEMPUPx3MTzPwcfKO,https://api.spotify.com/v1/tracks/64RnIqEMPUPx3MTzPwcfKO
spotify:playlist:5i3AavIAQhagT11NJta6y4,Complete Seventies,spotify:album:3jECHnZdJq6NHtlMA4QJBH,Supercharge,spotify:artist:5W5GrEqHK9wZ4v0bcgnnNQ,1,176986,You've Gotta Get Up And Dance,0,false,spotify:track:0pTCPxNzli6HYQ5lNowOiO,https://api.spotify.com/v1/tracks/0pTCPxNzli6HYQ5lNowOiO
spotify:playlist:5i3AavIAQhagT11NJta6y4,All The Best (UK Version),spotify:album:0jXLd4eGxSh8TIGEdRbdH4,Wings,spotify:artist:3sFhA6G1N0gG1pszb6kk1m,1,283626,Mull Of Kintyre,38,false,spotify:track:7t4c2dRPcikOFVODa0qlQu,https://api.spotify.com/v1/tracks/7t4c2dRPcikOFVODa0qlQu
spotify:playlist:5i3AavIAQhagT11NJta6y4,The Best Of,spotify:album:6lap95wPl0DwJva1FLGIfx,Thelma Houston,spotify:artist:3sgUnR8TF35euWEV07RPyO,1,217733,Don't Leave Me This Way,57,false,spotify:track:4Af8yzidDPc520TFd4TmkE,https://api.spotify.com/v1/tracks/4Af8yzidDPc520TFd4TmkE
spotify:playlist:5i3AavIAQhagT11NJta6y4,Gotcha,spotify:album:53LW4egesNuc8bTWxir285,Joe Tex,spotify:artist:5TbXjzD8tYgMD5JU2g2F8q,1,396906,Aint Gonna Bump No More,11,false,spotify:track:2oaJTPQIN7sBX64DCBHjxy,https://api.spotify.com/v1/tracks/2oaJTPQIN7sBX64DCBHjxy
spotify:playlist:5i3AavIAQhagT11NJta6y4,Foot Loose & Fancy Free,spotify:album:5WphcZoWlcSvc1ljahqYYg,Rod Stewart,spotify:artist:2y8Jo9CKhJvtfeKOsYzRdT,1,270960,You're in My Heart (The Final Acclaim),51,false,spotify:track:2pkPeaj86ZEVHhgAEncfp0,https://api.spotify.com/v1/tracks/2pkPeaj86ZEVHhgAEncfp0
spotify:playlist:5i3AavIAQhagT11NJta6y4,The Essential Boney M.,spotify:album:3qanmly9I3vfv593JutFbB,Boney M.,spotify:artist:54R6Y0I7jGUCveDTtI21nb,1,274773,Ma Baker,52,false,spotify:track:4wr2LEc4Inxv0M1Fch9uVj,https://api.spotify.com/v1/tracks/4wr2LEc4Inxv0M1Fch9uVj
spotify:playlist:5i3AavIAQhagT11NJta6y4,Kenny Rogers,spotify:album:5LYk7eiOau7NSQn6GQbF9k,Kenny Rogers,spotify:artist:4tw2Lmn9tTPUv7Gy7mVPI4,1,220866,Lucille,59,false,spotify:track:15ADURMdkO25JGD5mIcodM,https://api.spotify.com/v1/tracks/15ADURMdkO25JGD5mIcodM
spotify:playlist:5i3AavIAQhagT11NJta6y4,Collection,spotify:album:0P9q63bMtm9s8VDQp6cJSK,Flash and the Pan,spotify:artist:573nSltoBinkbQXk5JSY9U,1,264626,Hey St. Peter,46,false,spotify:track:0LjtuCIQ9VNBnNgH1Wpe7S,https://api.spotify.com/v1/tracks/0LjtuCIQ9VNBnNgH1Wpe7S
spotify:playlist:5i3AavIAQhagT11NJta6y4,A New World Record,spotify:album:7a35UzxXYuKQGMGImyB0Un,Electric Light Orchestra,spotify:artist:7jefIIksOi1EazgRTfW2Pk,1,212306,Livin' Thing,69,false,spotify:track:2hdNya0b6Cc2YJ8IyaQIWp,https://api.spotify.com/v1/tracks/2hdNya0b6Cc2YJ8IyaQIWp
spotify:playlist:5i3AavIAQhagT11NJta6y4,Anytime... Anywhere,spotify:album:3IcnPxM10hCMb6W2gCapAY,Rita Coolidge,spotify:artist:1vnIL4DMlivP55ioM6KitW,1,241720,(Your Love Has Lifted Me) Higher And Higher,46,false,spotify:track:39iKJpLPhsDTOzH2lXliWF,https://api.spotify.com/v1/tracks/39iKJpLPhsDTOzH2lXliWF
spotify:playlist:5i3AavIAQhagT11NJta6y4,In Your Mind (Remastered 1999),spotify:album:5mop3U7FxoJDAP3AACa5x2,Bryan Ferry,spotify:artist:5RNFFojXkPRmlJZIwXeKQC,1,220133,This Is Tomorrow,34,false,spotify:track:7utcI11TJOG04Vl3noomNX,https://api.spotify.com/v1/tracks/7utcI11TJOG04Vl3noomNX
spotify:playlist:5i3AavIAQhagT11NJta6y4,Coming Out,spotify:album:3f2PjYXAvGMoXcYHT7JMaQ,The Manhattan Transfer,spotify:artist:2dogRElUKV20C2khRHqjRc,1,173280,Chanson d'Amour,46,false,spotify:track:477ZS8JpUEMuitVoJJmtcI,https://api.spotify.com/v1/tracks/477ZS8JpUEMuitVoJJmtcI
spotify:playlist:5i3AavIAQhagT11NJta6y4,Graham Bonnet,spotify:album:71FLFUHY747CEA70b6ErXK,Graham Bonnet,spotify:artist:5eygg59PhcYgy4ekBgbDA1,1,251093,"It's All Over Now, Baby Blue",41,false,spotify:track:2KJOPifru1cNmhLgU3nR65,https://api.spotify.com/v1/tracks/2KJOPifru1cNmhLgU3nR65
spotify:playlist:5i3AavIAQhagT11NJta6y4,Blue For You,spotify:album:16MjanaRhBF4JEP9Tn5sho,Status Quo,spotify:artist:4gIdjgLlvgEOz7MexDZzpM,1,198493,Wild Side Of Life,39,false,spotify:track:7FOcu94jz6V90KW4Y7Vdyc,https://api.spotify.com/v1/tracks/7FOcu94jz6V90KW4Y7Vdyc
spotify:playlist:5i3AavIAQhagT11NJta6y4,The Best of Emerson Lake & Palmer,spotify:album:3uYhG442MU4ca3ZsovlGVh,"Emerson, Lake & Palmer",spotify:artist:0nCiidE5GgDrc5kWN3NZgZ,1,179360,Fanfare for the Common Man - Single Edit,48,false,spotify:track:0dkL8m14x0wecbq04QfBKs,https://api.spotify.com/v1/tracks/0dkL8m14x0wecbq04QfBKs
spotify:playlist:5i3AavIAQhagT11NJta6y4,A Star Is Born,spotify:album:435mubtZvkoTYIPXWy3seP,Barbra Streisand,spotify:artist:7jmTilWYlKOuavFfmQAcu6,1,184800,"Evergreen (Love Theme from, ""A Star Is Born"")",64,false,spotify:track:2IcqY68BxP1ONPi3ME6aje,https://api.spotify.com/v1/tracks/2IcqY68BxP1ONPi3ME6aje
spotify:playlist:5i3AavIAQhagT11NJta6y4,The Essential Boney M.,spotify:album:3qanmly9I3vfv593JutFbB,Boney M.,spotify:artist:54R6Y0I7jGUCveDTtI21nb,1,207893,Daddy Cool,40,false,spotify:track:0Wif6GC74X6oWrGrPoru4K,https://api.spotify.com/v1/tracks/0Wif6GC74X6oWrGrPoru4K
spotify:playlist:5i3AavIAQhagT11NJta6y4,Blondie (Remastered),spotify:album:54V45InMvJ6uVtRtO6h1Co,Blondie,spotify:artist:4tpUmLEVLCGFr93o8hFFIB,1,153133,In The Flesh - Remastered,38,false,spotify:track:4D7ZvtLOG19HmtqKC8l0BI,https://api.spotify.com/v1/tracks/4D7ZvtLOG19HmtqKC8l0BI
spotify:playlist:5i3AavIAQhagT11NJta6y4,Deceptive Bends,spotify:album:6D3RQD5AQZ4P2aDzsZmBI4,10cc,spotify:artist:6i6WlGzQtXtz7GcC5H5st5,1,207573,The Things We Do For Love,64,false,spotify:track:6KEWtSOGKpIXGw6l1uJgsR,https://api.spotify.com/v1/tracks/6KEWtSOGKpIXGw6l1uJgsR
spotify:playlist:5i3AavIAQhagT11NJta6y4,100 Greatest 70s,spotify:album:2aLyJlx2FQ0UE3lF25CGSt,Alan O'Day,spotify:artist:63f6RFsOlwDMnAuDwjB58Y,1,211226,Undercover Angel,11,false,spotify:track:5EVWUYe2v6jQMQ6sSkA7SD,https://api.spotify.com/v1/tracks/5EVWUYe2v6jQMQ6sSkA7SD
spotify:playlist:5i3AavIAQhagT11NJta6y4,Haynes Ultimate Guide to 70s,spotify:album:4h5mADWuDd0epN5PcpvKCd,Tina Charles,spotify:artist:7Jbs4wPCLaKXPxrTxZ2zaa,1,182813,Dr Love,5,false,spotify:track:2dBjigZVUmxz93XZ4xaQf4,https://api.spotify.com/v1/tracks/2dBjigZVUmxz93XZ4xaQf4
spotify:playlist:5i3AavIAQhagT11NJta6y4,Infinite Tuesday: Autobiographical Riffs,spotify:album:7ojx9MEKXXbl4Xbto2fi1S,Michael Nesmith,spotify:artist:5Tic1bWAbmRoLrqaJ5SxU2,1,370493,Rio,36,false,spotify:track:5R2pfvbDbgp584poAmGieP,https://api.spotify.com/v1/tracks/5R2pfvbDbgp584poAmGieP
spotify:playlist:5i3AavIAQhagT11NJta6y4,The Essential,spotify:album:3OWloNx2gY95VXXpotMvky,Marcia Hines,spotify:artist:7pUbbv62ajr1JDVFaftZJT,1,197080,What I Did For Love,15,false,spotify:track:2yzeMIdIFLV6eLLGJ0ADfy,https://api.spotify.com/v1/tracks/2yzeMIdIFLV6eLLGJ0ADfy
spotify:playlist:5i3AavIAQhagT11NJta6y4,Elvis 30 #1 Hits,spotify:album:0QVoYzGd1p8Z3ohEaM0lsc,Elvis Presley,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,1,157333,Way Down,49,false,spotify:track:1Ya87xcJInskhE5joOq9tP,https://api.spotify.com/v1/tracks/1Ya87xcJInskhE5joOq9tP
spotify:playlist:5i3AavIAQhagT11NJta6y4,Arabian Nights,spotify:album:1JuWjbZz8k7NCneHAyPkWo,The Ritchie Family,spotify:artist:3FxBwdg0z5WkLdlAbe7GHq,1,401026,The Best Disco In Town,39,false,spotify:track:79eNiy8GqOx646aVCNtPd1,https://api.spotify.com/v1/tracks/79eNiy8GqOx646aVCNtPd1
spotify:playlist:5i3AavIAQhagT11NJta6y4,50th Anniversary Album,spotify:album:1zwUZLK2soBICLi5DuWReQ,Marty Rhone,spotify:artist:2No2vspr2KORUEcZKH4xUi,1,215600,A Mean Pair of Jeans,20,false,spotify:track:2QJTdq9kvrTfXGPobpdi7V,https://api.spotify.com/v1/tracks/2QJTdq9kvrTfXGPobpdi7V
spotify:playlist:5i3AavIAQhagT11NJta6y4,The Essential Daryl Hall & John Oates,spotify:album:0gCDvloPR42pZRZhmbGYVI,Daryl Hall & John Oates,spotify:artist:77tT1kLj6mCWtFNqiOmP9H,1,144333,Rich Girl,69,false,spotify:track:5E3P9e1hvjyIOlFyqNB5eD,https://api.spotify.com/v1/tracks/5E3P9e1hvjyIOlFyqNB5eD
spotify:playlist:5i3AavIAQhagT11NJta6y4,Dreamboat Annie,spotify:album:2N0AgtWbCmVoNUl2GN1opH,Heart,spotify:artist:34jw2BbxjoYalTp8cJFCPv,1,328360,Magic Man,59,false,spotify:track:4sUlsy0tPv9n5nqrqeA0lE,https://api.spotify.com/v1/tracks/4sUlsy0tPv9n5nqrqeA0lE
spotify:playlist:5i3AavIAQhagT11NJta6y4,Moody Blue,spotify:album:08bROKoMarHS0jRzZOEv08,Elvis Presley,spotify:artist:43ZHCT0cAZBISjO8DG9PnE,1,169320,Moody Blue,52,false,spotify:track:5nP6bZZpeT9hbtvePmy9ko,https://api.spotify.com/v1/tracks/5nP6bZZpeT9hbtvePmy9ko
