playlist_uri,album,album_uri,artist,artist_uri,disc_number,duration_ms,name,popularity,explicit,uri,link
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,7 EP,spotify:album:4IRiXE5NROxknUSAUSjMoO,Lil Nas X,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,1,157066,Old Town Road - Remix,83,false,spotify:track:2YpeDb67231RjR0MgVLzsG,https://api.spotify.com/v1/tracks/2YpeDb67231RjR0MgVLzsG
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,7 EP,spotify:album:4IRiXE5NROxknUSAUSjMoO,Billy Ray Cyrus,spotify:artist:60rpJ9SgigSd16DOAG7GSa,1,157066,Old Town Road - Remix,83,false,spotify:track:2YpeDb67231RjR0MgVLzsG,https://api.spotify.com/v1/tracks/2YpeDb67231RjR0MgVLzsG
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,Dance Monkey,spotify:album:31IDBea3eEs57a0joX6TjN,Tones And I,spotify:artist:2NjfBq1NflQcKSeiDooVjY,1,209754,Dance Monkey,70,false,spotify:track:1rgnBhdG2JDFTbYkYRZAku,https://api.spotify.com/v1/tracks/1rgnBhdG2JDFTbYkYRZAku
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",spotify:album:0S0KGZnfBGSIssfF54WSJh,Billie Eilish,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,1,194087,bad guy,88,false,spotify:track:2Fxmhks0bxGSBdJ92vM42m,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,Hollywood's Bleeding,spotify:album:4g1ZRSobMefqF6nelkgibi,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,1,157560,Sunflower - Spider-Man: Into the Spider-Verse,82,false,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,https://api.spotify.com/v1/tracks/0RiRZpuVRbi7oqRdSMwhQY
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,Hollywood's Bleeding,spotify:album:4g1ZRSobMefqF6nelkgibi,Swae Lee,spotify:artist:1zNqQNIdeOUZHb8zbZRFMX,1,157560,Sunflower - Spider-Man: Into the Spider-Verse,82,false,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,https://api.spotify.com/v1/tracks/0RiRZpuVRbi7oqRdSMwhQY
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,Divinely Uninspired To A Hellish Extent,spotify:album:5658aM19fA3JVwTK6eQX70,Lewis Capaldi,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB,1,182160,Someone You Loved,91,false,spotify:track:7qEHsqek33rTcFNT9PFqLf,https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,I Don't Care (with Justin Bieber),spotify:album:5Nux7ozBJ5KJ02QYWwrneR,Ed Sheeran,spotify:artist:6eUKZXaKkcviH0Ku9w2n3V,1,219946,I Don't Care (with Justin Bieber),83,false,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/tracks/3HVWdVOQ0ZA45FuZGSfvns
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,I Don't Care (with Justin Bieber),spotify:album:5Nux7ozBJ5KJ02QYWwrneR,Justin Bieber,spotify:artist:1uNFoZAHBGtllmzznpCI3s,1,219946,I Don't Care (with Justin Bieber),83,false,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,https://api.spotify.com/v1/tracks/3HVWdVOQ0ZA45FuZGSfvns
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,Hollywood's Bleeding,spotify:album:4g1ZRSobMefqF6nelkgibi,Post Malone,spotify:artist:246dkjvS1zLTtiykXe5h60,1,149546,Wow.,84,true,spotify:track:7xQAfvXzm3AkraOtGPWIZg,https://api.spotify.com/v1/tracks/7xQAfvXzm3AkraOtGPWIZg
spotify:playlist:5mLdKSsYO0gt69XoWXxTU8,Señorita,spotify:album:2ZaX1FdZCwchXl1QZiD4O4,Shawn Mendes,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,1,190960,Señorita,86,false,spotify:track:0TK2YIli7K1leLovkQiNik,https://api.spotify.com/v1/tracks/0TK2YIli7K1leLovkQiNik
